Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
EXOSC5_1_binding,EXOSC5,1,HepG2,chr9_+_114205101_114205146_114205758_114205812_114206251_114206296_ENCSR003EKR_CTRL-1,0.016,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr21_-_44861271_44861162_44856364_44856192_44851627_44849584_ENCSR042QTH_CTRL-1,-0.022,0.0,0.8707916741674891
EXOSC5_1_binding,EXOSC5,1,HepG2,chr9_+_114282456_114282564_114283708_114283762_114284723_114284777_ENCSR067GHD_CTRL-1,-0.001,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr20_-_35664837_35664801_35659014_35658929_35632923_35632794_ENCSR003EKR_CTRL-1,0.086,0.0,0.9279194996282252
EXOSC5_1_binding,EXOSC5,1,HepG2,chr21_+_45488417_45488444_45489485_45489521_45490274_45490346_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr1_+_26696032_26697540_26729650_26729863_26731151_26731318_ENCSR067GHD_CTRL-1,0.037,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_-_74640728_74640306_74637701_74637564_74636498_74634683_ENCSR003EKR_CTRL-1,-0.042,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873709_44873501_44861271_44861162_44856364_44856192_ENCSR067GHD_CTRL-1,-0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873709_44873501_44865447_44865394_44861271_44861162_ENCSR042QTH_CTRL-1,0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr10_-_1049170_1048863_1044171_1043998_1043393_1043300_ENCSR003EKR_CTRL-1,0.003,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr2_-_61537640_61537561_61534678_61534557_61533903_61533771_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_-_74641424_74640306_74637618_74637493_74636498_74636336_ENCSR003EKR_CTRL-1,0.01,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873032_44872853_44865650_44865570_44865447_44865394_ENCSR003EKR_CTRL-1,0.109,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873668_44873501_44865650_44865570_44865447_44865394_ENCSR003EKR_CTRL-1,0.051,0.0,0.9203129279451913
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309509_1309773_1315653_1315726_1320173_1320283_ENCSR237YZT_CTRL-1,-0.0,0.0,1.0
