Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
FXR2_1_binding,FXR2,1,K562,chr17_-_78121164_78121012_78120832_78120652_78119392_78119296_ENCSR031RRO_CTRL-1,0.084,0.0053888094,0.055509768560053706
FXR2_1_binding,FXR2,1,K562,chr3_-_47781881_47781602_47772936_47772816_47745993_47745907_ENCSR031RRO_CTRL-1,-0.121,0.0028426473,0.32742146562778845
FXR2_1_binding,FXR2,1,K562,chr9_+_131473507_131473724_131474453_131476535_131477743_131477949_ENCSR031RRO_CTRL-1,-0.108,0.0046377443,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_1825499_1825396_1817875_1817836_1815862_1815755_ENCSR031RRO_CTRL-1,-0.027,0.008457837,0.19307351782031038
FXR2_1_binding,FXR2,1,K562,chr10_-_32040457_32040383_32039431_32039326_32038826_32038777_ENCSR031RRO_CTRL-1,-0.001,0.0036430229,1.0
FXR2_1_binding,FXR2,1,K562,chr10_+_35336873_35337207_35483403_35483478_35501500_35501535_ENCSR031RRO_CTRL-1,0.035,0.0049396255,0.13177582304861402
FXR2_1_binding,FXR2,1,K562,chr11_+_32583837_32583929_32587045_32587144_32588593_32588732_ENCSR031RRO_CTRL-1,0.014,0.0031579381,1.0
FXR2_1_binding,FXR2,1,K562,chr4_+_1935143_1935262_1938450_1938532_1939653_1939778_ENCSR031RRO_CTRL-1,-0.005,-0.0027870939,1.0
FXR2_1_binding,FXR2,1,K562,chr3_-_47871105_47870812_47869327_47869213_47857512_47857430_ENCSR031RRO_CTRL-1,-0.005,0.009269473,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_19141524_19141346_19140892_19140787_19139220_19139082_ENCSR031RRO_CTRL-1,-0.018,-0.0011235968,1.0
FXR2_1_binding,FXR2,1,K562,chr10_+_100348063_100348346_100352365_100352496_100354426_100354632_ENCSR031RRO_CTRL-1,0.0,0.007766279,1.0
FXR2_1_binding,FXR2,1,K562,chr9_+_33817566_33817934_33886880_33886967_33900173_33900271_ENCSR031RRO_CTRL-1,0.002,0.008394568,1.0
FXR2_1_binding,FXR2,1,K562,chr4_+_1935143_1935262_1939653_1939778_1951071_1951180_ENCSR031RRO_CTRL-1,-0.22,0.003917856,0.08361917834250031
