Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
TRA2A_1_binding,TRA2A,1,K562,chr5_-_157813227_157813062_157809805_157809627_157806112_157805865_ENCSR031RRO_CTRL-1,0.001,-0.0028574213,1.0
TRA2A_1_binding,TRA2A,1,K562,chr6_-_113943506_113943350_113941765_113941707_113941088_113933027_ENCSR031RRO_CTRL-1,-0.001,-0.0026565683,1.0
TRA2A_1_binding,TRA2A,1,K562,chr3_+_9813247_9813345_9818821_9818920_9820545_9820741_ENCSR174OYC_CTRL-2,-0.107,-0.0033150588,1.0
TRA2A_1_binding,TRA2A,1,K562,chr11_+_130122304_130122513_130123611_130123779_130126699_130126830_ENCSR031RRO_CTRL-1,0.071,-0.003660651,0.328373354714898
TRA2A_1_binding,TRA2A,1,K562,chr7_+_158902375_158902595_158905988_158906091_158911549_158911679_ENCSR031RRO_CTRL-1,-0.063,-0.003915576,0.02902798389126614
TRA2A_1_binding,TRA2A,1,K562,chr7_+_158871141_158871562_158876608_158876691_158879683_158879989_ENCSR031RRO_CTRL-1,0.008,-0.0010048163,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_-_56178534_56178403_56178093_56178021_56174764_56174530_ENCSR031RRO_CTRL-1,-0.001,-0.061022054,1.0
TRA2A_1_binding,TRA2A,1,K562,chr21_+_46349683_46349820_46351428_46351540_46353103_46353326_ENCSR031RRO_CTRL-1,0.009,-0.0037268798,1.0
TRA2A_1_binding,TRA2A,1,K562,chr16_+_89885847_89885966_89887651_89887681_89892192_89892275_ENCSR031RRO_CTRL-1,0.03,-0.014785275,1.0
TRA2A_1_binding,TRA2A,1,K562,chr6_-_31889342_31889227_31889070_31888968_31888747_31888598_ENCSR031RRO_CTRL-1,-0.025,0.0039187567,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_40162001_40162153_40162724_40162901_40163480_40163602_ENCSR031RRO_CTRL-1,-0.001,-0.012625138,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_50746541_50746702_50750500_50750641_50750746_50750852_ENCSR031RRO_CTRL-1,0.012,-0.029431531,1.0
