Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
NOLC1_1_binding,NOLC1,1,K562,chr11_+_32593865_32595013_32595965_32596047_32600688_32600793_ENCSR031RRO_CTRL-1,-0.0,0.30274382,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_+_49239220_49239367_49283565_49283718_49292326_49292537_ENCSR031RRO_CTRL-1,-0.031,0.30103022,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_5961949_5961793_5952836_5952699_5948251_5948069_ENCSR143COQ_CTRL-1,-0.007,0.30094504,1.0
NOLC1_1_binding,NOLC1,1,K562,chr3_+_186784563_186784696_186785882_186786051_186786163_186786273_ENCSR031RRO_CTRL-1,0.001,0.3473235,1.0
NOLC1_1_binding,NOLC1,1,K562,chr11_+_62761582_62761660_62761794_62762184_62762866_62763026_ENCSR031RRO_CTRL-1,-0.005,0.3248767,1.0
NOLC1_1_binding,NOLC1,1,K562,chr19_-_39846329_39846290_39840787_39840655_39840515_39840413_ENCSR031RRO_CTRL-1,-0.002,0.31861457,1.0
NOLC1_1_binding,NOLC1,1,K562,chr11_+_63974619_63974794_63986140_63986514_63988336_63988346_ENCSR031RRO_CTRL-1,0.032,0.57339656,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_-_66503529_66503357_66501912_66501787_66501504_66500948_ENCSR084SCN_CTRL-1,-0.0,0.46142483,1.0
NOLC1_1_binding,NOLC1,1,K562,chr20_+_62387610_62387674_62387842_62387914_62388308_62388364_ENCSR031RRO_CTRL-1,-0.002,0.43239194,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,0.5736599,1.0
NOLC1_1_binding,NOLC1,1,K562,chr6_+_158589671_158589782_158605266_158605347_158608332_158608463_ENCSR031RRO_CTRL-1,-0.016,0.32797843,1.0
NOLC1_1_binding,NOLC1,1,K562,chr20_+_49280902_49280964_49281751_49281818_49289044_49289260_ENCSR031RRO_CTRL-1,-0.007,0.31794706,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_+_112574056_112575251_112617870_112617954_112645649_112645822_ENCSR143COQ_CTRL-1,0.062,0.28438267,1.0
NOLC1_1_binding,NOLC1,1,K562,chr17_-_78121711_78121555_78121164_78121012_78113624_78113547_ENCSR143COQ_CTRL-1,-0.012,0.30836514,1.0
NOLC1_1_binding,NOLC1,1,K562,chr14_+_35292442_35292552_35292952_35293277_35307993_35308088_ENCSR031RRO_CTRL-1,0.002,0.11962505,1.0
NOLC1_1_binding,NOLC1,1,K562,chr8_-_100717888_100717772_100715601_100715461_100712789_100712651_ENCSR031RRO_CTRL-1,-0.0,0.29055887,1.0
NOLC1_1_binding,NOLC1,1,K562,chr8_-_100717888_100717772_100713181_100713086_100712789_100712651_ENCSR031RRO_CTRL-1,-0.0,0.2801277,1.0
NOLC1_1_binding,NOLC1,1,K562,chr7_-_54757594_54757494_54755881_54755778_54752420_54752249_ENCSR031RRO_CTRL-1,-0.002,0.15148322,1.0
NOLC1_1_binding,NOLC1,1,K562,chr16_+_85613215_85613398_85633913_85634132_85648551_85648751_ENCSR031RRO_CTRL-1,0.012,0.25410098,1.0
NOLC1_1_binding,NOLC1,1,K562,chr10_-_70213589_70213462_70210419_70210194_70209685_70209644_ENCSR031RRO_CTRL-1,-0.0,0.20458822,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_+_112574056_112575251_112645649_112645822_112659262_112665309_ENCSR143COQ_CTRL-1,0.046,0.30099624,1.0
NOLC1_1_binding,NOLC1,1,K562,chr4_-_120066833_120066661_120065818_120065671_120060977_120060873_ENCSR031RRO_CTRL-1,-0.0,0.3037732,1.0
