Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SDAD1_1_binding,SDAD1,1,HepG2,chr16_-_74892565_74892483_74889815_74889702_74888319_74888168_ENCSR003EKR_CTRL-1,0.006,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_172295362_172295514_172298727_172298787_172307362_172307501_ENCSR003EKR_CTRL-1,0.006,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_9113543_9113359_9112536_9112376_9112211_9112158_ENCSR003EKR_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_133753594_133753703_133754494_133754671_133756830_133756923_ENCSR003EKR_CTRL-1,0.001,0.021256741,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_66228196_66228019_66223774_66223697_66220742_66220553_ENCSR003EKR_CTRL-1,0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_26832781_26832689_26790227_26790156_26725765_26725649_ENCSR067GHD_CTRL-1,0.004,0.03088155,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52803854_52804009_52804725_52804734_52805807_52805840_ENCSR003EKR_CTRL-1,-0.001,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr1_-_19141524_19141346_19140892_19140787_19139220_19139082_ENCSR003EKR_CTRL-1,-0.067,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_+_49280484_49280570_49280902_49280964_49289044_49289260_ENCSR003EKR_CTRL-1,-0.035,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25982477_25982343_ENCSR003EKR_CTRL-1,-0.004,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr11_+_130122304_130122513_130123611_130123779_130126699_130126830_ENCSR003EKR_CTRL-1,-0.004,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215409739_215409562_215408426_215408297_215408197_215408107_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215423526_215423349_215422243_215422090_215414958_215414660_ENCSR104ABF_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr5_-_179620959_179620891_179619360_179619268_179618323_179618144_ENCSR003EKR_CTRL-1,-0.034,0.026450126,0.9307515068626323
SDAD1_1_binding,SDAD1,1,HepG2,chr17_+_50741656_50741731_50743705_50743810_50745719_50746003_ENCSR104ABF_CTRL-1,0.004,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215394719_215394527_215393203_215392930_215391814_215391631_ENCSR003EKR_CTRL-1,0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_133754494_133754671_133755362_133755495_133756830_133756923_ENCSR003EKR_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215433461_215433323_215431964_215431832_215430852_215430714_ENCSR003EKR_CTRL-1,0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73449334_73449467_73450035_73450133_73450614_73450753_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_+_41163173_41163479_41163714_41163833_41163920_41163982_ENCSR246RRQ_CTRL-1,0.003,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_+_21612347_21612451_21614830_21614924_21651672_21651768_ENCSR067GHD_CTRL-1,0.02,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73410311_73410409_73413419_73413634_73415034_73415167_ENCSR237YZT_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215391814_215391631_215388301_215388211_215386958_215386688_ENCSR042QTH_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr14_+_100728395_100728459_100728935_100729066_100732041_100732070_ENCSR067GHD_CTRL-1,-0.006,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_-_62310829_62310664_62310572_62310418_62310311_62310177_ENCSR003EKR_CTRL-1,-0.035,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr16_-_74892565_74892483_74887755_74887682_74886396_74886269_ENCSR003EKR_CTRL-1,0.02,0.03651212,0.9552300469863657
SDAD1_1_binding,SDAD1,1,HepG2,chr7_+_101128392_101128664_101131874_101132069_101133694_101133893_ENCSR067GHD_CTRL-1,0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_+_45488417_45488444_45489485_45489521_45490274_45490346_ENCSR003EKR_CTRL-1,0.01,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215370432_215370293_215368027_215367862_215365630_215365504_ENCSR003EKR_CTRL-1,-0.0,0.030009858,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_+_99836090_99836290_99841966_99842093_99843798_99843900_ENCSR003EKR_CTRL-1,0.026,0.03651212,0.8456319462988909
SDAD1_1_binding,SDAD1,1,HepG2,chr10_+_7709021_7709191_7713180_7713285_7717625_7717788_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73410311_73410409_73411995_73412125_73413419_73413634_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_-_71829077_71828876_71828157_71828013_71825893_71825836_ENCSR003EKR_CTRL-1,-0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25997416_25997187_ENCSR003EKR_CTRL-1,-0.002,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215423526_215423349_215422243_215422090_215420801_215420672_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_133756281_133756337_133756830_133757009_133757768_133757946_ENCSR246RRQ_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr16_-_74892565_74892483_74889815_74889702_74886396_74886269_ENCSR003EKR_CTRL-1,0.028,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_66228196_66228019_66226124_66226027_66220742_66220553_ENCSR042QTH_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52803854_52804009_52805807_52805840_52806102_52806138_ENCSR003EKR_CTRL-1,0.002,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215434824_215434695_215433461_215433323_215431964_215431832_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215394719_215394527_215391814_215391631_215388301_215388211_ENCSR042QTH_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52798965_52799091_52799371_52799488_52799752_52799876_ENCSR042QTH_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_197400434_197400251_197400166_197400054_197398581_197398460_ENCSR135LXL_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_14859484_14859182_14857749_14857552_14851607_14851283_ENCSR003EKR_CTRL-1,0.006,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_3982313_3982245_3982052_3981946_3981452_3981338_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215372015_215371908_215370432_215370293_215368027_215367862_ENCSR003EKR_CTRL-1,0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215378262_215378174_215376674_215376497_215375718_215375628_ENCSR042QTH_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_+_36355925_36356623_36396613_36396787_36441257_36441500_ENCSR003EKR_CTRL-1,0.048,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_+_121318664_121318880_121321267_121321401_121324553_121324644_ENCSR264TUE_CTRL-1,0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_9104400_9104238_9101674_9101446_9101207_9101143_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_21023692_21023524_21023042_21022830_21019905_21019722_ENCSR003EKR_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr13_+_98143179_98143492_98159491_98159598_98213219_98213232_ENCSR003EKR_CTRL-1,-0.03,0.017285619,0.4898712479665836
SDAD1_1_binding,SDAD1,1,HepG2,chr6_+_43770183_43771312_43774340_43774392_43777468_43777665_ENCSR003EKR_CTRL-1,0.008,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_26711268_26711172_26695650_26695605_26686632_26686480_ENCSR003EKR_CTRL-1,0.004,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,-0.042,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215420801_215420672_215419385_215419241_215414958_215414660_ENCSR067GHD_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_-_35714389_35714184_35713857_35713701_35713096_35713018_ENCSR003EKR_CTRL-1,0.013,0.027321821,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215388301_215388211_215386958_215386688_215384976_215384019_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73418087_73418311_73419506_73419639_73420253_73420321_ENCSR003EKR_CTRL-1,-0.0,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_6682229_6682141_6682030_6681940_6680263_6680157_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr7_+_101128392_101128664_101130420_101130654_101131874_101132069_ENCSR042QTH_CTRL-1,0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_-_26022042_26021839_25997416_25997359_25982477_25982343_ENCSR003EKR_CTRL-1,0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859180_81855279_81855141_81847347_81847242_ENCSR003EKR_CTRL-1,0.002,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_66228196_66228019_66226124_66226027_66223774_66223697_ENCSR003EKR_CTRL-1,-0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_21041083_21040937_21038111_21037957_21037255_21037099_ENCSR003EKR_CTRL-1,0.001,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_+_42245504_42245687_42256500_42256630_42261120_42261294_ENCSR067GHD_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr16_+_22297419_22297537_22298952_22299036_22302930_22303004_ENCSR067GHD_CTRL-2,-0.005,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215434824_215434695_215431964_215431832_215430852_215430714_ENCSR104ABF_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73418087_73418311_73419280_73419455_73420253_73420321_ENCSR042QTH_CTRL-1,-0.272,0.026450126,0.06437657943366917
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52804725_52804734_52805807_52805840_52806102_52806138_ENCSR003EKR_CTRL-1,-0.005,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859180_81855505_81855452_81855279_81855141_ENCSR003EKR_CTRL-1,0.001,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_114073026_114072924_114069745_114069698_114062758_114062676_ENCSR003EKR_CTRL-1,0.002,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215434824_215434695_215433461_215433323_215430852_215430714_ENCSR042QTH_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859178_81855279_81855141_81847347_81847242_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_186618535_186618637_186619856_186619940_186620585_186621300_ENCSR003EKR_CTRL-1,0.001,0.026450126,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_114073026_114072924_114069906_114069698_114062758_114062676_ENCSR003EKR_CTRL-1,0.011,0.03564043,0.6630324035115506
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_114061591_114061423_114061098_114060924_114060270_114060126_ENCSR003EKR_CTRL-1,0.006,0.020827986,0.864816438994408
SDAD1_1_binding,SDAD1,1,HepG2,chr6_+_4043812_4044023_4047174_4047248_4049015_4049106_ENCSR003EKR_CTRL-1,-0.032,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215375393_215375213_215373411_215373321_215372375_215371908_ENCSR104ABF_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_6693083_6692923_6690727_6690628_6686902_6686288_ENCSR003EKR_CTRL-1,-0.0,0.03564043,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_+_114282456_114282564_114283708_114283762_114284723_114284777_ENCSR067GHD_CTRL-1,-0.007,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_-_35714251_35714184_35713096_35713018_35709256_35709032_ENCSR003EKR_CTRL-1,0.012,0.027321821,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr16_-_74892565_74892483_74888319_74888168_74887755_74887682_ENCSR003EKR_CTRL-1,-0.005,0.03651212,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215422243_215422090_215420801_215420672_215414958_215414660_ENCSR067GHD_CTRL-1,-0.0,0.03564043,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr2_-_215436067_215435654_215434824_215434695_215431964_215431832_ENCSR093ERJ_CTRL-1,-0.0,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr19_+_572577_572701_579499_579656_580378_580461_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr3_+_133753594_133753703_133754494_133754671_133756830_133756923_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr3_+_186616442_186616527_186617186_186617350_186618535_186618637_ENCSR093ERJ_CTRL-1,-0.0,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr17_-_66228196_66228019_66223774_66223697_66220742_66220553_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr19_+_572564_572701_577773_578121_579499_579629_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr2_-_215373411_215373321_215372300_215372108_215372015_215371908_ENCSR003EKR_CTRL-1,-0.003,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr5_+_177095532_177095723_177096056_177096179_177096286_177096357_ENCSR042QTH_CTRL-1,-0.005,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr3_+_52803854_52804009_52804725_52804734_52805807_52805840_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr4_-_82872086_82871943_82870424_82870324_82867316_82867154_ENCSR003EKR_CTRL-1,0.009,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr9_+_114243506_114243560_114245865_114245910_114252592_114252646_ENCSR067GHD_CTRL-1,-0.018,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr4_+_1801834_1802025_1802913_1803064_1803691_1803836_ENCSR003EKR_CTRL-1,-0.027,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr2_+_62747394_62747452_62771338_62771392_62826086_62826195_ENCSR104ABF_CTRL-1,-0.005,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr20_+_37198396_37198492_37199049_37199225_37203884_37203960_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr11_+_130122304_130122513_130123611_130123779_130126699_130126830_ENCSR003EKR_CTRL-1,-0.004,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr3_+_186616442_186616527_186618535_186618637_186620585_186621300_ENCSR093ERJ_CTRL-1,-0.0,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr2_-_215409739_215409562_215408426_215408297_215408197_215408107_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr2_-_215423526_215423349_215422243_215422090_215414958_215414660_ENCSR104ABF_CTRL-1,-0.0,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr3_+_186784563_186784696_186784961_186785101_186785882_186785913_ENCSR003EKR_CTRL-1,0.041,0.0,0.11056857183585683
SDAD1_2_binding,SDAD1,2,HepG2,chr14_+_94613346_94615084_94619194_94619468_94622340_94622491_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr13_-_106559657_106559431_106557616_106557558_106557131_106557047_ENCSR003EKR_CTRL-1,-0.052,0.0,0.2494813636275777
SDAD1_2_binding,SDAD1,2,HepG2,chr19_-_51353290_51353131_51347058_51346899_51345381_51345168_ENCSR042QTH_CTRL-1,-0.008,0.0,1.0
SDAD1_2_binding,SDAD1,2,HepG2,chr19_+_572571_572701_579523_579656_580378_580461_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
