Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
PRPF8_1_binding,PRPF8,1,K562,chr2_-_189579880_189579812_189578472_189578354_189575320_189575160_ENCSR031RRO_CTRL-1,0.011,0.19151708,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_+_2760300_2760499_2761560_2768261_2770351_2770465_ENCSR143COQ_CTRL-1,0.002,0.11231674,1.0
PRPF8_1_binding,PRPF8,1,K562,chr2_-_27368727_27368653_27368463_27368371_27368139_27368024_ENCSR031RRO_CTRL-1,0.002,0.21790421,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_248855943_248855724_248855635_248855557_248855458_248855379_ENCSR031RRO_CTRL-1,0.07,0.20318392,0.0
PRPF8_1_binding,PRPF8,1,K562,chr2_-_61492198_61492034_61485962_61485767_61484105_61483936_ENCSR084SCN_CTRL-1,0.012,0.0854062,1.0
PRPF8_1_binding,PRPF8,1,K562,chr7_+_128849330_128849578_128850383_128850483_128850802_128850943_ENCSR031RRO_CTRL-1,0.008,0.20490098,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_+_40533142_40533181_40540585_40540712_40541614_40541710_ENCSR143COQ_CTRL-1,0.416,0.21790421,0.00024712715252879855
PRPF8_1_binding,PRPF8,1,K562,chr19_+_49158191_49158259_49166040_49166215_49168259_49168423_ENCSR092WKG_CTRL-1,0.102,0.08691166,1.0
PRPF8_1_binding,PRPF8,1,K562,chr6_+_157909907_157910025_157921530_157921661_157927110_157927214_ENCSR344XID_CTRL-1,0.002,0.2292132,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_635774_635611_634956_634888_634797_634718_ENCSR031RRO_CTRL-1,0.017,0.019656792,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_8916556_8916501_8915525_8915444_8915344_8915253_ENCSR031RRO_CTRL-1,-0.002,0.2353671,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_1853134_1853038_1844963_1844861_1839438_1839254_ENCSR031RRO_CTRL-1,0.023,0.2605551,1.0
PRPF8_1_binding,PRPF8,1,K562,chr17_+_32360891_32360967_32361467_32361515_32362913_32362984_ENCSR031RRO_CTRL-1,0.021,0.0440583,0.9446632333339359
PRPF8_1_binding,PRPF8,1,K562,chr22_-_19353519_19353355_19351446_19351357_19331556_19330697_ENCSR031RRO_CTRL-1,0.16,0.23410352,0.004015557227157438
PRPF8_1_binding,PRPF8,1,K562,chr16_-_635774_635517_635340_635280_634797_634663_ENCSR031RRO_CTRL-1,-0.0,-0.019955434,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_635774_635611_635063_634888_634797_634718_ENCSR031RRO_CTRL-1,0.014,0.097189285,1.0
PRPF8_1_binding,PRPF8,1,K562,chr22_+_19719434_19719698_19719805_19719892_19720641_19720666_ENCSR031RRO_CTRL-1,-0.022,0.00096001645,0.20892329604804172
PRPF8_1_binding,PRPF8,1,K562,chr17_-_78121711_78121555_78121164_78121012_78113624_78113547_ENCSR143COQ_CTRL-1,-0.012,0.16412771,1.0
PRPF8_1_binding,PRPF8,1,K562,chr10_+_58361494_58361526_58363608_58363686_58364770_58364876_ENCSR031RRO_CTRL-1,0.003,0.23677012,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_248857436_248857233_248856562_248856513_248855946_248855594_ENCSR031RRO_CTRL-1,0.024,0.1510103,1.0
PRPF8_1_binding,PRPF8,1,K562,chr3_+_184301721_184302071_184302369_184302528_184302678_184302692_ENCSR092WKG_CTRL-1,-0.002,0.105232716,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_+_2817429_2817456_2817800_2817966_2818758_2818969_ENCSR031RRO_CTRL-1,-0.054,0.0006527767,0.4917180081721749
PRPF8_1_binding,PRPF8,1,K562,chr13_+_97347040_97347067_97356795_97356849_97357481_97357635_ENCSR031RRO_CTRL-2,0.118,0.22473979,0.48186684885950565
PRPF8_1_binding,PRPF8,1,K562,chr16_+_2817429_2817456_2817800_2817966_2818676_2818969_ENCSR129RWD_CTRL-1,-0.002,0.0006527767,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_+_161209856_161209931_161210303_161210389_161210590_161210696_ENCSR031RRO_CTRL-1,0.007,0.18029086,1.0
PRPF8_1_binding,PRPF8,1,K562,chr6_+_87594526_87594613_87601783_87601881_87603383_87603528_ENCSR031RRO_CTRL-1,0.008,0.24061465,1.0
PRPF8_1_binding,PRPF8,1,K562,chr21_+_43792930_43793404_43795188_43795250_43797421_43797537_ENCSR031RRO_CTRL-1,-0.015,0.24083216,1.0
PRPF8_1_binding,PRPF8,1,K562,chr11_-_2992102_2991793_2989271_2989128_2979237_2979206_ENCSR031RRO_CTRL-1,-0.226,0.21394292,0.44738943375490126
