Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
METTL1_1_binding,METTL1,1,K562,chr19_+_1383630_1383942_1388832_1388938_1390870_1391050_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
METTL1_1_binding,METTL1,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,-0.003,0.0,1.0
METTL1_1_binding,METTL1,1,K562,chr9_-_122880125_122879992_122879873_122879754_122877583_122877470_ENCSR031RRO_CTRL-1,0.01,0.0,1.0
METTL1_2_binding,METTL1,2,K562,chr7_+_139340576_139340619_139344896_139344990_139345500_139345795_ENCSR143COQ_CTRL-1,0.083,0.0,0.18259036584166216
METTL1_3_binding,METTL1,3,K562,chr4_-_82900223_82900076_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,-0.013,0.0,1.0
METTL1_3_binding,METTL1,3,K562,chr4_-_82898062_82897988_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,-0.054,0.0,0.8825440419376758
METTL1_5_binding,METTL1,5,K562,chr5_-_40834265_40834180_40834037_40833960_40832573_40832447_ENCSR031RRO_CTRL-1,-0.0,-0.025993552,1.0
METTL1_5_binding,METTL1,5,K562,chr5_-_40834606_40834470_40834265_40834180_40832573_40825261_ENCSR031RRO_CTRL-1,-0.0,-0.025993552,1.0
METTL1_5_binding,METTL1,5,K562,chr4_-_82899737_82899712_82898062_82897988_82895774_82895690_ENCSR031RRO_CTRL-1,0.01,-0.00037568406,1.0
METTL1_5_binding,METTL1,5,K562,chr4_-_82900223_82900076_82899737_82899712_82895774_82893544_ENCSR620PUP_CTRL-2,-0.025,-0.00037568406,1.0
METTL1_5_binding,METTL1,5,K562,chr4_-_82900223_82900076_82898062_82897988_82895774_82895690_ENCSR031RRO_CTRL-1,0.003,-0.00037568406,1.0
METTL1_5_binding,METTL1,5,K562,chr7_-_119800874_119800815_119782357_119782283_119704972_119704555_ENCSR143COQ_CTRL-1,0.011,-0.0004159776,1.0
METTL1_6_binding,METTL1,6,K562,chr18_-_77993698_77993634_77990174_77990092_77972513_77971813_ENCSR031RRO_CTRL-1,-0.026,0.023091534,1.0
METTL1_6_binding,METTL1,6,K562,chr1_-_173867030_173866990_173866796_173866760_173866567_173866215_ENCSR031RRO_CTRL-1,0.002,0.000018278184,1.0
METTL1_6_binding,METTL1,6,K562,chr18_-_77990174_77990092_77989914_77989818_77972513_77971813_ENCSR031RRO_CTRL-1,0.015,0.023091534,1.0
METTL1_6_binding,METTL1,6,K562,chr1_-_173867983_173867959_173866796_173866760_173866567_173866215_ENCSR032YMP_CTRL-1,0.004,0.000017978698,1.0
METTL1_6_binding,METTL1,6,K562,chr18_-_77993698_77993634_77989914_77989818_77972513_77971813_ENCSR031RRO_CTRL-1,-0.051,0.023091534,0.3146521229611152
METTL1_6_binding,METTL1,6,K562,chr1_-_173867983_173867959_173867043_173866990_173866567_173866215_ENCSR092WKG_CTRL-2,0.134,0.000017978698,0.5015080061807886
METTL1_6_binding,METTL1,6,K562,chr19_-_18994486_18994365_18991553_18991339_18991149_18990892_ENCSR129RWD_CTRL-1,-0.037,-0.00026965555,1.0
