Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
XRCC6_1_binding,XRCC6,1,K562,chr17_+_28722722_28722899_28723570_28723640_28723866_28723933_ENCSR129RWD_CTRL-1,-0.0,0.012690601,1.0
XRCC6_1_binding,XRCC6,1,K562,chr19_-_39435705_39435606_39433761_39433664_39433569_39433222_ENCSR031RRO_CTRL-1,-0.0,0.008633483,1.0
XRCC6_1_binding,XRCC6,1,K562,chr20_+_49280484_49280570_49280902_49280964_49295402_49295594_ENCSR032YMP_CTRL-1,0.001,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_108943615_108943474_108940142_108940044_108939782_108939635_ENCSR031RRO_CTRL-1,-0.002,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr16_+_89694172_89694232_89694568_89694788_89694930_89694972_ENCSR031RRO_CTRL-1,-0.014,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr8_+_123182680_123183336_123194023_123194148_123207156_123207416_ENCSR031RRO_CTRL-1,0.0,0.008635245,1.0
XRCC6_1_binding,XRCC6,1,K562,chr11_-_17077246_17077167_17075623_17075453_17075197_17075096_ENCSR031RRO_CTRL-1,0.001,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr10_+_70749821_70749985_70751477_70751646_70752094_70752227_ENCSR031RRO_CTRL-1,0.003,0.013594878,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_108943615_108943474_108941498_108941404_108939782_108939635_ENCSR031RRO_CTRL-1,-0.004,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr7_+_2369471_2369682_2371776_2371849_2372672_2372795_ENCSR031RRO_CTRL-1,0.007,0.007302869,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_173866796_173866760_173865547_173865509_173865282_173865228_ENCSR031RRO_CTRL-1,0.001,0.013369547,1.0
XRCC6_1_binding,XRCC6,1,K562,chr7_-_23531980_23531788_23522432_23522120_23521840_23521706_ENCSR031RRO_CTRL-1,-0.139,0.00863535,0.0649205953506448
XRCC6_1_binding,XRCC6,1,K562,chr15_+_90902925_90902975_90903230_90903734_90904189_90904339_ENCSR031RRO_CTRL-2,-0.118,0.0074783773,0.062155568912098676
XRCC6_1_binding,XRCC6,1,K562,chr7_-_128335679_128335542_128333362_128333289_128330928_128330818_ENCSR031RRO_CTRL-1,0.002,0.020735806,1.0
XRCC6_1_binding,XRCC6,1,K562,chr10_-_99620364_99620044_99613924_99613695_99612599_99612542_ENCSR031RRO_CTRL-1,0.02,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr19_+_58387288_58388245_58392975_58393185_58393358_58393487_ENCSR031RRO_CTRL-1,-0.0,0.00863535,1.0
XRCC6_1_binding,XRCC6,1,K562,chr10_+_70749821_70749985_70753799_70754007_70757961_70758091_ENCSR031RRO_CTRL-1,-0.025,0.013594878,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_+_86914673_86915160_86958439_86958507_87072933_87073172_ENCSR031RRO_CTRL-1,0.01,0.009350859,1.0
XRCC6_1_binding,XRCC6,1,K562,chr20_+_49280484_49280570_49280902_49280964_49289044_49289260_ENCSR031RRO_CTRL-1,-0.057,0.0133837955,0.25243227084269254
XRCC6_1_binding,XRCC6,1,K562,chr6_-_110815209_110815008_110746201_110746125_110670541_110670430_ENCSR164MUK_CTRL-2,0.028,0.015268316,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_173866796_173866760_173866206_173865856_173865547_173865352_ENCSR031RRO_CTRL-1,0.002,0.013380614,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_108943615_108943474_108941498_108941404_108940142_108940044_ENCSR031RRO_CTRL-1,0.002,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr9_+_131228159_131228331_131229662_131229825_131230629_131230769_ENCSR031RRO_CTRL-1,-0.001,0.006665837,1.0
XRCC6_1_binding,XRCC6,1,K562,chr11_-_17077473_17077428_17075623_17075453_17075197_17075096_ENCSR031RRO_CTRL-1,0.0,0.0133837955,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_28205349_28205257_28203822_28203746_28201370_28200277_ENCSR031RRO_CTRL-1,-0.0,0.01566326,1.0
XRCC6_1_binding,XRCC6,1,K562,chr1_-_173866796_173866760_173866567_173866527_173865282_173865228_ENCSR031RRO_CTRL-1,0.001,0.013372729,1.0
