ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID_duplicated_0,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
73,ENSG00000185973.10,TMLHE,chrX,-,155524455,155524632,155513985,155514265,155545095,155545277,73,"58,54","1,0","93,115","2,0",198,99,1.0,1.0,"0.967,1.0","0.959,1.0",0.004
74,ENSG00000185973.10,TMLHE,chrX,-,155545095,155545277,155524270,155524632,155612791,155612877,74,"145,124","6,0","199,222","3,0",198,99,0.090274085775,0.6331290407035616,"0.924,1.0","0.971,1.0",-0.024
75,ENSG00000185515.14,BRCC3,chrX,+,155072326,155072343,155071419,155071650,155073376,155073431,75,"24,24","1,0","47,28","0,1",116,99,1.0,1.0,"0.953,1.0","1.0,0.96",-0.004
76,ENSG00000185515.14,BRCC3,chrX,+,155073376,155073431,155071430,155071650,155077169,155077283,76,"10,6","0,3","19,19","2,0",154,99,0.24866457612,1.0,"1.0,0.562","0.859,1.0",-0.148
77,ENSG00000185515.14,BRCC3,chrX,+,155099314,155099389,155090783,155090839,155116056,155116183,77,"5,6","18,12","15,14","15,18",174,99,0.030396368161,0.3196504452911237,"0.136,0.221","0.363,0.307",-0.156
78,ENSG00000185515.14,BRCC3,chrX,+,155116056,155116188,155090783,155090839,155116710,155116754,78,"55,37","0,0","53,51","2,0",198,99,0.385648626361,1.0,"1.0,1.0","0.93,1.0",0.035
79,ENSG00000165775.17,FUNDC2,chrX,+,155046508,155046584,155033402,155033553,155051669,155051732,79,"305,293","5,2","579,553","0,3",175,99,0.505600049135,1.0,"0.972,0.988","1.0,0.991",-0.016
84,ENSG00000130830.14,MPP1,chrX,-,154781238,154781313,154778683,154779353,154783426,154783507,84,"637,634","0,1","1160,1216","0,0",174,99,1.0,1.0,"1.0,0.997","1.0,1.0",-0.002
85,ENSG00000130830.14,MPP1,chrX,-,154781599,154781802,154781238,154781313,154783426,154783507,85,"2046,2044","0,0","3037,3255","2,0",198,99,1.0,1.0,"1.0,1.0","0.999,1.0",0.0
86,ENSG00000130830.14,MPP1,chrX,-,154784027,154784108,154783376,154783507,154785050,154785157,86,"867,879","13,8","1453,1559","53,36",180,99,0.000147502445583,0.010634262429428675,"0.973,0.984","0.938,0.96",0.029
87,ENSG00000130830.14,MPP1,chrX,-,154785050,154785157,154783376,154783507,154805271,154805397,87,"27,25","0,0","76,60","2,0",198,99,0.404488585772,1.0,"1.0,1.0","0.95,1.0",0.025
88,ENSG00000130830.14,MPP1,chrX,-,154786203,154786340,154785050,154785157,154789953,154790022,88,"1051,1176","0,7","1855,2022","1,2",198,99,1.0,1.0,"1.0,0.988","0.999,0.998",-0.004
89,ENSG00000130830.14,MPP1,chrX,-,154786203,154786400,154784700,154785157,154789953,154790022,89,"1361,1501","0,7","2610,2762","1,2",198,99,1.0,1.0,"1.0,0.991","0.999,0.999",-0.003
90,ENSG00000130830.14,MPP1,chrX,-,154786203,154786400,154784700,154785157,154799744,154799815,90,"1036,1171","0,0","1846,2014","0,2",198,99,1.0,1.0,"1.0,1.0","1.0,0.998",0.001
91,ENSG00000130830.14,MPP1,chrX,-,154786203,154786400,154784700,154785157,154805271,154805477,91,"1065,1192","14,17","1895,2076","23,24",198,99,0.640786280621,1.0,"0.974,0.972","0.976,0.977",-0.003
92,ENSG00000130830.14,MPP1,chrX,-,154789953,154790022,154785050,154785157,154805271,154805485,92,"1,12","14,17","2,6","23,24",168,99,0.165614572533,0.9084820830796635,"0.04,0.294","0.049,0.128",0.078
93,ENSG00000130830.14,MPP1,chrX,-,154789953,154790022,154786203,154786400,154790982,154791068,93,"671,668","0,0","1289,1319","2,0",168,99,1.0,1.0,"1.0,1.0","0.997,1.0",0.002
94,ENSG00000130830.14,MPP1,chrX,-,154789953,154790022,154786203,154786400,154791768,154791847,94,"206,222","0,0","481,455","2,1",168,99,1.0,1.0,"1.0,1.0","0.993,0.996",0.006
95,ENSG00000130830.14,MPP1,chrX,-,154789953,154790022,154786203,154786400,154805271,154805485,95,"207,227","29,21","482,459","49,62",168,99,0.852799036633,1.0,"0.808,0.864","0.853,0.814",0.003
96,ENSG00000130830.14,MPP1,chrX,-,154790982,154791068,154786203,154786400,154791768,154791847,96,"429,392","0,0","676,693","2,1",185,99,1.0,1.0,"1.0,1.0","0.995,0.997",0.004
97,ENSG00000130830.14,MPP1,chrX,-,154790982,154791068,154789953,154790022,154791768,154791847,97,"894,843","1,0","1492,1566","2,4",185,99,1.0,1.0,"0.998,1.0","0.998,0.995",0.003
99,ENSG00000130830.14,MPP1,chrX,-,154791768,154791847,154786203,154786400,154805271,154805397,99,"0,0","29,21","2,4","49,62",178,99,0.241321333136,1.0,"0.0,0.0","0.022,0.035",-0.029
100,ENSG00000130830.14,MPP1,chrX,-,154791768,154791847,154789953,154790022,154805271,154805397,100,"1,0","2,5","1,7","3,6",178,99,0.00192802956436,0.056382003060944375,"0.218,0.0","0.156,0.394",-0.166
101,ENSG00000130830.14,MPP1,chrX,-,154792141,154792285,154791630,154791847,154805271,154805397,101,"804,877","0,0","1411,1401","0,4",198,99,1.0,1.0,"1.0,1.0","1.0,0.994",0.003
102,ENSG00000130830.14,MPP1,chrX,-,154792192,154792285,154791768,154791847,154805271,154805498,102,"420,442","0,0","710,728","0,4",192,99,1.0,1.0,"1.0,1.0","1.0,0.989",0.006
103,ENSG00000130830.14,MPP1,chrX,-,154799744,154799893,154785050,154785157,154805271,154805527,103,"5,4","14,17","7,10","23,24",198,99,0.52473080772,1.0,"0.152,0.105","0.132,0.172",-0.023
104,ENSG00000130830.14,MPP1,chrX,-,154799744,154799893,154792141,154792285,154805271,154805527,104,"13,5","441,448","14,16","744,753",198,99,0.889420908541,1.0,"0.015,0.006","0.009,0.011",0.001
105,ENSG00000130830.14,MPP1,chrX,-,154804696,154804827,154792141,154792285,154805271,154805456,105,"8,5","441,448","6,14","744,753",198,99,1.0,1.0,"0.009,0.006","0.004,0.009",0.001
106,ENSG00000160211.17,G6PD,chrX,-,154534337,154534496,154534034,154534160,154535167,154535385,106,"703,537","0,0","845,884","0,1",198,99,1.0,1.0,"1.0,1.0","1.0,0.998",0.001
107,ENSG00000160211.17,G6PD,chrX,-,154534337,154534499,154534034,154534160,154535167,154535385,107,"278,197","0,0","388,361","0,1",198,99,1.0,1.0,"1.0,1.0","1.0,0.994",0.003
108,ENSG00000071889.16,FAM3A,chrX,-,154507405,154507490,154507202,154507329,154508288,154508347,108,"77,60","0,0","73,98","0,2",184,99,0.654720336781,1.0,"1.0,1.0","1.0,0.963",0.018
109,ENSG00000071889.16,FAM3A,chrX,-,154507810,154507861,154507405,154507490,154508288,154508347,109,"94,86","16,13","59,112","10,25",150,99,0.415004475866,1.0,"0.795,0.814","0.796,0.747",0.033
110,ENSG00000071889.16,FAM3A,chrX,-,154507810,154507882,154507405,154507490,154508288,154508347,110,"61,58","16,13","39,82","10,25",171,99,0.566630749448,1.0,"0.688,0.721","0.693,0.655",0.03
114,ENSG00000071889.16,FAM3A,chrX,-,154511847,154511871,154508452,154508597,154512822,154512936,114,"53,43","0,0","44,57","0,2",123,99,0.51909998531,1.0,"1.0,1.0","1.0,0.958",0.021
115,ENSG00000071889.16,FAM3A,chrX,-,154512313,154512411,154511847,154511871,154512822,154512936,115,"19,19","50,33","40,30","41,53",197,99,0.0797103092558,0.5854241645749992,"0.16,0.224","0.329,0.221",-0.083
116,ENSG00000071889.16,FAM3A,chrX,-,154512313,154512431,154511867,154511871,154512822,154512936,116,"11,11","50,33","17,22","41,53",198,99,0.139456962537,0.8213774188887488,"0.099,0.143","0.172,0.172",-0.051
117,ENSG00000071889.16,FAM3A,chrX,-,154512822,154512936,154511847,154511871,154515759,154515812,117,"98,70","0,4","105,116","2,2",198,99,0.792531919414,1.0,"1.0,0.897","0.963,0.967",-0.016
118,ENSG00000126903.15,SLC10A3,chrX,-,154489941,154490027,154487310,154489082,154490306,154490690,118,"1,0","91,75","4,6","55,86",185,99,0.0121730961719,0.17808999936661227,"0.006,0.0","0.037,0.036",-0.033
119,ENSG00000126903.15,SLC10A3,chrX,-,154489941,154490027,154487310,154489082,154490593,154490628,119,"1,0","2,0","4,5","1,0",185,99,1.0,1.0,"0.211,NA","0.682,1.0",-0.63
120,ENSG00000126903.15,SLC10A3,chrX,-,154490306,154490358,154487342,154489082,154490593,154490614,120,"73,65","2,0","39,73","1,0",151,99,0.626515303231,1.0,"0.96,1.0","0.962,1.0",-0.001
121,ENSG00000102178.12,UBL4A,chrX,-,154486227,154486333,154485770,154485979,154486536,154486586,121,"432,325","2,0","298,331","0,0",198,99,1.0,1.0,"0.991,1.0","1.0,1.0",-0.004
