Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680415_155679512_155679408_ENCSR031RRO_CTRL-1,0.036,0.0,0.0,0.0,0.5845760165332211
EXOSC5_1_binding,EXOSC5,1,K562,chr16_-_89431326_89431255_89418368_89418283_89317075_89316932_ENCSR718EWL_CTRL-1,-0.004,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr15_+_92900188_92900824_92901166_92901299_92924320_92924552_ENCSR031RRO_CTRL-1,0.007,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_17412194_17412121_17410051_17409973_17409194_17406759_ENCSR031RRO_CTRL-1,0.006,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr11_-_2989197_2989128_2988126_2988076_2979237_2979206_ENCSR620PUP_CTRL-2,0.034,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr12_-_132827902_132827807_132827713_132827606_132822311_132822271_ENCSR129RWD_CTRL-2,-0.026,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680381_155679512_155679408_ENCSR031RRO_CTRL-1,0.122,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr11_-_2989268_2989128_2983813_2983745_2979237_2979206_ENCSR620PUP_CTRL-2,0.002,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680415_155680008_155679927_ENCSR143COQ_CTRL-1,-0.006,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr21_-_44861271_44861162_44856364_44856192_44851627_44849584_ENCSR031RRO_CTRL-1,0.001,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr8_-_108242256_108242111_108241913_108241798_108240075_108239957_ENCSR031RRO_CTRL-1,-0.002,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr19_+_2199883_2199939_2202699_2202779_2208934_2208976_ENCSR031RRO_CTRL-1,0.027,0.0,0.0,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr22_+_20573677_20575232_20582610_20582747_20582839_20582967_ENCSR031RRO_CTRL-1,-0.029,0.0,0.0,0.0,0.2133648899490599
EXOSC5_2_binding,EXOSC5,2,K562,chr7_+_99472840_99473056_99476402_99476480_99479660_99479787_ENCSR031RRO_CTRL-1,0.045,0.3482358,-0.00023345475,0.34846923,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_155562807_155562778_155562295_155562152_155521618_155521099_ENCSR143COQ_CTRL-1,-0.075,0.3808954,-0.00022539606,0.3811208,1.0
