Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
ELAC2_1_binding,ELAC2,1,K562,chr16_+_85611408_85611531_85633913_85634132_85648551_85648751_ENCSR031RRO_CTRL-1,0.182,-0.06495868,0.00029722872,-0.0652559,0.2886007184135061
ELAC2_1_binding,ELAC2,1,K562,chr6_-_169659518_169659450_169659207_169659085_169658358_169658275_ENCSR031RRO_CTRL-1,-0.001,-0.0066687153,0.000051698287,-0.0067204135,1.0
ELAC2_1_binding,ELAC2,1,K562,chr8_-_143596345_143596087_143590738_143590607_143590081_143588990_ENCSR718EWL_CTRL-1,-0.087,-0.006860046,0.000054015865,-0.006914062,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_-_23468542_23468481_23361597_23361533_23351586_23351304_ENCSR092WKG_CTRL-1,0.004,-0.0068991273,0.00005404392,-0.006953171,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_1786536_1786955_1787676_1787831_1787940_1788000_ENCSR031RRO_CTRL-1,-0.015,-0.0066133076,0.000052044645,-0.0066653523,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_-_166952548_166952487_166948625_166948565_166946739_166946681_ENCSR031RRO_CTRL-1,-0.002,-0.006899809,0.000054239987,-0.0069540488,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_+_170358225_170358318_170388286_170388493_170391012_170391121_ENCSR031RRO_CTRL-1,-0.01,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_89560680_89560712_89560953_89561063_89561577_89561751_ENCSR031RRO_CTRL-1,-0.036,-0.09797219,0.00047251178,-0.0984447,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_+_170358225_170358318_170391012_170391121_170395486_170395579_ENCSR092WKG_CTRL-1,-0.006,-0.0068985755,0.000053954787,-0.0069525302,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_+_66087333_66087386_66087728_66087791_66088806_66088921_ENCSR084SCN_CTRL-1,-0.004,-0.006892255,0.000053588115,-0.0069458433,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1914978_1915026_1915431_1915544_1917693_1917822_ENCSR031RRO_CTRL-1,0.023,-0.006365689,0.00005160868,-0.0064172978,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_+_102467338_102467479_102467664_102467823_102468061_102468187_ENCSR031RRO_CTRL-1,0.019,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113510237_113510424_113534044_113534240_ENCSR032YMP_CTRL-1,0.071,-0.0062493705,0.00004962103,-0.0062989914,0.7152927223978233
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,-0.006058313,0.000047886442,-0.006106199,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_1786536_1786655_1786737_1786955_1787676_1787740_ENCSR031RRO_CTRL-1,0.026,-0.0068986258,0.000053955016,-0.006952581,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_-_23468542_23468481_23418824_23418775_23351586_23351304_ENCSR092WKG_CTRL-2,0.008,-0.0068892157,0.00005399917,-0.0069432147,1.0
ELAC2_1_binding,ELAC2,1,K562,chr3_-_13373873_13373717_13372032_13371833_13366091_13365945_ENCSR031RRO_CTRL-1,-0.002,-0.021997401,0.00014672687,-0.022144128,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66503164_66503057_66502750_66502269_ENCSR031RRO_CTRL-1,-0.0,-0.054817032,0.000256275,-0.055073306,1.0
ELAC2_1_binding,ELAC2,1,K562,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR031RRO_CTRL-1,0.034,-0.006886974,0.00005391826,-0.0069408924,0.4973342379150244
ELAC2_1_binding,ELAC2,1,K562,chr17_+_16439044_16439414_16439659_16439703_16440184_16440253_ENCSR031RRO_CTRL-1,0.01,-0.010938625,0.00079947757,-0.011738103,0.7712630665639806
ELAC2_1_binding,ELAC2,1,K562,chr1_-_101021765_101021640_101001587_101001466_100995149_100995109_ENCSR031RRO_CTRL-1,-0.007,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr5_-_40835212_40835182_40834606_40834470_40834265_40833878_ENCSR031RRO_CTRL-1,-0.0,-0.012106299,0.00008666403,-0.012192964,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_+_109656711_109656787_109657214_109657279_109657589_109657671_ENCSR031RRO_CTRL-1,-0.003,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66501912_66501787_66501504_66500948_ENCSR084SCN_CTRL-1,-0.0,-0.01901097,0.00013367292,-0.019144643,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_-_122880125_122879992_122879873_122879754_122877583_122877470_ENCSR031RRO_CTRL-1,0.003,-0.006893615,0.000053055894,-0.006946671,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_+_868473_869516_872469_872562_873214_874899_ENCSR031RRO_CTRL-1,-0.009,-0.1296108,0.0016104825,-0.1312213,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_+_33658669_33658828_33659020_33659119_33659465_33659549_ENCSR031RRO_CTRL-1,0.016,-0.006831748,0.000053217245,-0.006884965,0.5003375499373003
ELAC2_1_binding,ELAC2,1,K562,chr22_-_38145653_38145437_38144978_38144895_38143288_38143236_ENCSR143COQ_CTRL-2,0.096,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1415969_1417540_1418665_1418731_1421147_1421232_ENCSR129RWD_CTRL-1,0.002,-0.049363095,0.003097363,-0.052460458,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_47609122_47609168_47670442_47670544_47673569_47673615_ENCSR031RRO_CTRL-1,-0.015,-0.006897392,0.000053786673,-0.006951179,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_-_22822791_22822676_22818048_22817999_22813185_22812631_ENCSR031RRO_CTRL-1,-0.003,-0.14282581,0.0016441355,-0.14446995,0.8340364652176451
ELAC2_1_binding,ELAC2,1,K562,chr12_-_49131395_49131297_49130344_49130118_49129722_49129499_ENCSR031RRO_CTRL-1,-0.0,-0.005855707,-0.0000047230155,-0.005850984,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_-_150235983_150235732_150229144_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,0.002,-0.006707008,0.000052617415,-0.0067596254,1.0
ELAC2_1_binding,ELAC2,1,K562,chr14_-_65102504_65102303_65093815_65093707_65076663_65075123_ENCSR031RRO_CTRL-1,0.006,-0.0068579256,0.000053835007,-0.0069117607,1.0
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113510237_113510424_113539356_113539507_ENCSR031RRO_CTRL-1,0.05,-0.006250518,0.00004988249,-0.0063004005,0.07203175006697027
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1415969_1417540_1418203_1418370_1421147_1421258_ENCSR129RWD_CTRL-1,0.004,-0.016884822,0.002562735,-0.019447558,1.0
ELAC2_1_binding,ELAC2,1,K562,chr10_+_133465250_133465565_133466234_133466381_133467197_133467353_ENCSR143COQ_CTRL-1,-0.02,-0.0068608923,0.000053979213,-0.0069148713,1.0
ELAC2_1_binding,ELAC2,1,K562,chr12_-_57111231_57111128_57108299_57108162_57107743_57107604_ENCSR084SCN_CTRL-1,0.019,-0.0066996207,0.000052152587,-0.0067517734,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_-_101021765_101021640_101013818_101013709_100995149_100995109_ENCSR031RRO_CTRL-1,-0.025,-0.006817425,0.00005325293,-0.006870678,0.8099569197170201
ELAC2_1_binding,ELAC2,1,K562,chr17_-_75154512_75154341_75148671_75148528_75147653_75147519_ENCSR031RRO_CTRL-1,-0.0,-0.06812597,0.00039042477,-0.068516396,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66502750_66502611_66501912_66501559_ENCSR031RRO_CTRL-1,0.0,-0.03128148,0.00016414361,-0.031445622,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_+_198156993_198157276_198220998_198221110_198232552_198232637_ENCSR031RRO_CTRL-1,-0.052,-0.0068988367,0.0000540651,-0.006952902,0.3602077492848771
ELAC2_1_binding,ELAC2,1,K562,chr1_-_11080514_11080498_11079822_11079710_11077651_11076841_ENCSR031RRO_CTRL-1,0.028,-0.0062248087,0.00004933522,-0.006274144,0.013416838121601864
ELAC2_1_binding,ELAC2,1,K562,chr4_+_143337177_143337260_143380611_143380739_143415476_143415771_ENCSR174OYC_CTRL-1,0.019,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_-_18797952_18797924_18795581_18795463_18793370_18791666_ENCSR143COQ_CTRL-1,0.003,-0.0061516026,0.000049435952,-0.0062010386,1.0
ELAC2_1_binding,ELAC2,1,K562,chr14_-_104773980_104773911_104773580_104773454_104773379_104773250_ENCSR031RRO_CTRL-1,-0.004,-0.04036223,0.00020183716,-0.040564068,1.0
ELAC2_1_binding,ELAC2,1,K562,chr17_+_16439044_16439414_16439659_16439703_16440110_16440253_ENCSR031RRO_CTRL-1,0.0,-0.010918911,0.0007935822,-0.011712492,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_89560710_89561063_89561226_89561368_89561577_89561598_ENCSR031RRO_CTRL-1,0.004,-0.19242676,0.002730808,-0.19515756,1.0
ELAC2_1_binding,ELAC2,1,K562,chr12_-_49131395_49131297_49130402_49130118_49129722_49129499_ENCSR031RRO_CTRL-1,-0.0,-0.005758607,-0.0000052682976,-0.0057533383,1.0
ELAC2_1_binding,ELAC2,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,-0.003,-0.0020915563,0.00005439311,-0.0021459495,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_+_102467338_102467479_102467718_102467823_102468061_102468187_ENCSR031RRO_CTRL-1,0.005,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_-_101021765_101021640_101013818_101013709_101001587_101001466_ENCSR031RRO_CTRL-1,0.023,-0.006817425,0.00005325293,-0.006870678,0.47806575682836133
ELAC2_1_binding,ELAC2,1,K562,chr1_+_193059658_193059776_193059873_193060222_193069033_193069179_ENCSR031RRO_CTRL-1,0.024,-0.006895528,0.000053804346,-0.0069493325,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_-_137186356_137186223_137185087_137184912_137183791_137183671_ENCSR031RRO_CTRL-1,-0.039,-0.0066634296,0.000052595533,-0.006716025,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_+_34236872_34236963_34237203_34237317_34240736_34240882_ENCSR031RRO_CTRL-1,0.008,-0.11556925,0.000587588,-0.11615684,1.0
ELAC2_1_binding,ELAC2,1,K562,chr11_+_118401618_118401717_118403923_118403985_118405656_118405709_ENCSR032YMP_CTRL-1,0.194,-0.006900641,0.00005428592,-0.006954927,0.14435473300055707
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113520615_113520733_113534044_113534240_ENCSR031RRO_CTRL-1,0.042,-0.04320723,0.00018165939,-0.04338889,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_-_18797952_18797924_18795581_18795463_18794683_18794598_ENCSR031RRO_CTRL-1,-0.004,-0.006240541,0.000049784412,-0.0062903254,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_-_136446949_136446854_136445719_136445644_136445111_136445051_ENCSR031RRO_CTRL-1,0.048,-0.019280005,0.0001319262,-0.01941193,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_85613215_85613398_85633913_85634132_85648551_85648751_ENCSR031RRO_CTRL-1,-0.123,-0.06265752,0.0003037919,-0.06296131,0.20135984827592926
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1432513_1432690_1433738_1433827_1434739_1435687_ENCSR031RRO_CTRL-1,0.002,-0.04207867,0.004081019,-0.04615969,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_45277922_45278042_45278515_45278615_45280373_45280483_ENCSR031RRO_CTRL-1,0.002,-0.0068988367,0.0000540651,-0.006952902,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,-0.0,-0.022877729,0.00015352335,-0.023031252,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_-_39846357_39846290_39840787_39840619_39840515_39840413_ENCSR031RRO_CTRL-1,-0.0,-0.0067584426,0.000059212958,-0.0068176556,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_54206275_54206462_54206552_54206724_54207397_54207522_ENCSR031RRO_CTRL-1,0.041,-0.17186305,0.002822487,-0.17468554,0.0006571732316005674
ELAC2_1_binding,ELAC2,1,K562,chr6_-_161153499_161153345_161149289_161149186_161146599_161146523_ENCSR129RWD_CTRL-1,0.006,-0.0068988367,0.0000540651,-0.006952902,1.0
