Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
EXOSC10_1_binding,EXOSC10,1,K562,chr7_-_149028468_149028320_149027992_149027848_149021147_149020966_ENCSR031RRO_CTRL-1,-0.004,-0.0027212165,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr14_+_55636448_55636536_55637197_55637364_55639184_55639222_ENCSR143COQ_CTRL-1,-0.005,-0.008686735,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr7_+_128748572_128748804_128754261_128754455_128758870_128759037_ENCSR031RRO_CTRL-1,-0.002,-0.0020710682,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr1_+_44762544_44762658_44766825_44766949_44767096_44767767_ENCSR031RRO_CTRL-1,0.0,-0.0020954604,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr8_-_41684690_41684543_41672529_41672353_41668564_41668340_ENCSR032YMP_CTRL-1,-0.01,-0.017879648,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr2_-_27383600_27383365_27382605_27382475_27382228_27382125_ENCSR031RRO_CTRL-1,-0.0,-0.009067375,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr7_-_105506056_105505954_105502564_105502419_105491617_105491539_ENCSR031RRO_CTRL-1,0.003,-0.008690709,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr12_+_56160242_56160320_56160625_56160670_56161386_56161550_ENCSR031RRO_CTRL-1,-0.033,-0.009353886,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr19_+_11007901_11008023_11010380_11010531_11012948_11013112_ENCSR031RRO_CTRL-1,0.004,-0.025385844,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr8_-_41684690_41684543_41672426_41672353_41668564_41668266_ENCSR032YMP_CTRL-1,-0.008,-0.017879648,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr1_-_21706868_21706743_21706589_21706466_21706187_21706125_ENCSR031RRO_CTRL-1,-0.001,-0.0021726154,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr9_-_124861555_124861418_124860264_124860182_124858067_124857882_ENCSR031RRO_CTRL-1,-0.0,-0.0019384006,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr6_+_163561981_163562069_163563419_163563719_163566720_163566795_ENCSR143COQ_CTRL-1,-0.003,-0.0071236277,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr19_+_10796060_10796199_10797379_10797518_10798485_10798572_ENCSR031RRO_CTRL-1,0.001,-0.12331023,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr14_+_100262303_100262466_100274697_100274758_100276489_100276648_ENCSR031RRO_CTRL-1,0.0,-0.002013282,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr1_+_150552897_150553253_150553425_150554122_150554364_150554467_ENCSR031RRO_CTRL-1,0.003,-0.0032537195,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr8_-_41684690_41684543_41672912_41672515_41672426_41672353_ENCSR031RRO_CTRL-1,-0.025,-0.0027590361,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr9_+_73162781_73162861_73163475_73163532_73165115_73165209_ENCSR031RRO_CTRL-1,-0.0,-0.0018406012,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr19_-_2328477_2328386_2326139_2325979_2324192_2324124_ENCSR031RRO_CTRL-1,-0.004,-0.055742417,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr19_-_19025456_19024618_19019229_19019108_19010342_19009854_ENCSR031RRO_CTRL-1,0.004,-0.002521298,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr5_+_171387647_171388006_171391705_171391799_171392709_171392816_ENCSR032YMP_CTRL-1,-0.0,0.024813674,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr19_-_2328477_2328386_2326139_2325979_2324196_2324124_ENCSR031RRO_CTRL-1,-0.001,-0.006158423,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr17_+_51266181_51266280_51268836_51268904_51273361_51273450_ENCSR031RRO_CTRL-1,0.001,-0.0028145476,1.0
EXOSC10_1_binding,EXOSC10,1,K562,chr1_-_6681037_6680907_6678467_6678393_6667810_6667708_ENCSR031RRO_CTRL-1,-0.01,-0.0025650985,1.0
