Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
RPS3_1_binding,RPS3,1,K562,chr19_+_58387288_58388245_58392975_58393185_58394496_58394595_ENCSR031RRO_CTRL-1,-0.003,-0.04403936,0.0016601142,-0.045699477,1.0
RPS3_1_binding,RPS3,1,K562,chr9_-_83971726_83971671_83971356_83971272_83970912_83970896_ENCSR031RRO_CTRL-1,-0.0,-0.012332885,0.00083513313,-0.013168017,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_100353869_100353686_100346846_100346745_100343387_100343274_ENCSR031RRO_CTRL-1,-0.009,-0.009058325,0.00028628664,-0.009344611,0.23067283910807662
RPS3_1_binding,RPS3,1,K562,chr1_-_17413178_17413072_17410051_17409973_17409194_17406759_ENCSR031RRO_CTRL-1,-0.01,-0.009039404,0.0002711999,-0.009310604,0.43439143274599357
RPS3_1_binding,RPS3,1,K562,chr9_-_83978452_83978372_83978279_83978194_83977786_83977688_ENCSR031RRO_CTRL-1,-0.0,-0.014849579,0.00029292156,-0.0151425,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_156311195_156310949_156310689_156310557_156309303_156308967_ENCSR031RRO_CTRL-1,0.002,-0.009616977,0.0003335558,-0.009950533,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_21269392_21269297_21268668_21268622_21234229_21233952_ENCSR031RRO_CTRL-1,-0.006,-0.03246098,0.0016450903,-0.034106072,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_86068780_86068650_85983973_85983865_85981988_85981871_ENCSR143COQ_CTRL-1,-0.0,-0.017821044,0.00102716,-0.018848203,1.0
RPS3_1_binding,RPS3,1,K562,chr17_+_38753149_38753334_38755882_38755990_38760430_38760580_ENCSR031RRO_CTRL-1,0.0,-0.01504485,0.00048105227,-0.015525903,1.0
RPS3_1_binding,RPS3,1,K562,chr21_-_29065105_29064967_29062556_29062489_29062415_29062168_ENCSR084SCN_CTRL-1,-0.0,-0.021040624,0.0005569172,-0.021597542,1.0
RPS3_1_binding,RPS3,1,K562,chr6_+_35468407_35468439_35469380_35469529_35470178_35470351_ENCSR031RRO_CTRL-1,0.0,-0.07445762,0.011768652,-0.08622628,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_17413178_17413072_17412194_17412121_17410051_17409973_ENCSR031RRO_CTRL-1,-0.001,-0.009561256,0.00028205974,-0.009843315,1.0
RPS3_1_binding,RPS3,1,K562,chr21_+_31663789_31663886_31666448_31666518_31667257_31667341_ENCSR031RRO_CTRL-1,-0.0,-0.018118776,0.000329254,-0.01844803,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_62633101_62633004_62632745_62632564_62631183_62631029_ENCSR084SCN_CTRL-1,-0.0,-0.017512148,0.0008234203,-0.018335568,1.0
RPS3_1_binding,RPS3,1,K562,chr17_+_38755882_38755990_38760430_38760608_38764118_38764231_ENCSR031RRO_CTRL-1,0.003,-0.009463606,0.0002823405,-0.009745947,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_41861111_41861212_41864173_41864899_41869030_41869192_ENCSR031RRO_CTRL-1,-0.0,-0.102378264,0.004311451,-0.106689714,1.0
RPS3_1_binding,RPS3,1,K562,chr10_+_7800026_7800091_7802757_7802854_7806973_7807010_ENCSR031RRO_CTRL-1,-0.022,-0.011682179,0.00032028946,-0.012002468,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_99949740_99949662_99949379_99949272_99948940_99948777_ENCSR084SCN_CTRL-1,0.002,-0.009682961,0.00029053557,-0.009973496,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_57489018_57489109_57489895_57489971_57490206_57490216_ENCSR031RRO_CTRL-1,-0.0,-0.011107329,0.00032326783,-0.011430597,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_170549113_170549005_170546184_170546102_170543730_170543600_ENCSR129RWD_CTRL-1,-0.0,-0.023316823,0.0003748418,-0.023691665,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_8864092_8863890_8863343_8863234_8862945_8862886_ENCSR344XID_CTRL-1,-0.0,-0.010696205,0.0009917942,-0.011688,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_33304638_33304296_33303989_33303954_33301771_33299693_ENCSR031RRO_CTRL-1,0.01,-0.011666028,0.00042540807,-0.0120914355,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_120066833_120066661_120065818_120065671_120060977_120060873_ENCSR031RRO_CTRL-1,-0.005,-0.01050781,0.00030327594,-0.010811086,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_58387288_58388245_58392975_58393185_58393358_58393487_ENCSR031RRO_CTRL-1,-0.0,-0.06601699,0.0020761695,-0.06809316,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_111456085_111456249_111456629_111456755_111459456_111459636_ENCSR031RRO_CTRL-1,-0.0,-0.010984873,0.0003010188,-0.011285892,1.0
RPS3_1_binding,RPS3,1,K562,chr15_+_78540460_78542219_78544189_78544267_78544868_78544932_ENCSR031RRO_CTRL-1,0.0,-0.067734174,0.0025460187,-0.070280194,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_145995291_145995143_145995031_145994928_145994800_145994543_ENCSR129RWD_CTRL-1,0.0,-0.07322492,0.002692807,-0.07591772,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_61325708_61325610_61324387_61324237_61324137_61323978_ENCSR031RRO_CTRL-1,0.003,-0.03048558,0.0006281372,-0.031113718,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_100369258_100369086_100365576_100365474_100361921_100361707_ENCSR031RRO_CTRL-1,-0.002,-0.008099984,0.00028404332,-0.0083840275,1.0
RPS3_1_binding,RPS3,1,K562,chr17_+_38755882_38755990_38760507_38760608_38762410_38762505_ENCSR031RRO_CTRL-1,-0.001,-0.0061612832,0.0003292789,-0.006490562,1.0
RPS3_1_binding,RPS3,1,K562,chr16_+_28833058_28833354_28833438_28833508_28834064_28834211_ENCSR031RRO_CTRL-1,-0.002,-0.016924918,0.0003425729,-0.01726749,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_111454210_111454356_111456629_111456755_111459456_111459636_ENCSR031RRO_CTRL-1,-0.0,-0.0042186123,0.0002368467,-0.004455459,1.0
RPS3_1_binding,RPS3,1,K562,chr5_-_138571141_138570959_138567722_138567648_138567561_138567454_ENCSR129RWD_CTRL-1,-0.0,-0.01172888,0.00041727195,-0.012146152,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_85642991_85642796_85641451_85641291_85640564_85640445_ENCSR031RRO_CTRL-1,0.03,-0.018382112,0.0007236266,-0.019105738,0.0003277411522169615
RPS3_1_binding,RPS3,1,K562,chr2_-_20041011_20040890_20037614_20037537_20037438_20037315_ENCSR031RRO_CTRL-1,0.001,-0.008254719,0.0003665267,-0.008621246,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_2269519_2269744_2271384_2271954_2272734_2272820_ENCSR032YMP_CTRL-1,-0.001,-0.068129644,0.0027625985,-0.070892245,1.0
RPS3_1_binding,RPS3,1,K562,chr3_+_197950935_197950978_197951158_197951311_197954002_197954120_ENCSR031RRO_CTRL-1,-0.0,-0.10941011,0.012561602,-0.12197171,1.0
RPS3_1_binding,RPS3,1,K562,chr12_-_56643573_56643402_56642684_56642672_56642580_56642457_ENCSR031RRO_CTRL-1,-0.01,-0.08604065,0.002950774,-0.088991426,0.4822870557809344
RPS3_1_binding,RPS3,1,K562,chr5_+_86617972_86618130_86619352_86619442_86620667_86620766_ENCSR032YMP_CTRL-1,-0.0,-0.06497966,0.0020614967,-0.06704115,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_55636259_55636080_55630460_55630401_55609179_55609119_ENCSR084SCN_CTRL-1,0.003,-0.0058011482,0.00009766312,-0.0058988114,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_155312254_155312395_155318664_155318753_155318855_155318905_ENCSR031RRO_CTRL-1,-0.001,-0.0014953486,0.00025858733,-0.0017539359,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_6537100_6537216_6537308_6537390_6538100_6538314_ENCSR031RRO_CTRL-1,-0.0,-0.07323246,0.0027300953,-0.07596255,1.0
RPS3_1_binding,RPS3,1,K562,chr7_+_76064338_76064438_76064801_76064953_76066278_76067067_ENCSR031RRO_CTRL-1,-0.0,-0.0062568374,0.00028512464,-0.006541962,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_100375333_100375282_100374265_100374135_100369258_100369086_ENCSR031RRO_CTRL-1,0.001,-0.028236693,0.00027688793,-0.02851358,1.0
RPS3_1_binding,RPS3,1,K562,chr7_-_100095973_100095773_100095470_100095386_100094341_100094172_ENCSR031RRO_CTRL-1,-0.0,-0.023265468,0.00024474008,-0.023510208,1.0
RPS3_1_binding,RPS3,1,K562,chr17_+_7577055_7577165_7577343_7577487_7577568_7580327_ENCSR032YMP_CTRL-1,-0.0,-0.011293286,0.0003041139,-0.0115974005,1.0
RPS3_1_binding,RPS3,1,K562,chr13_-_46781615_46781495_46777623_46777455_46771496_46771255_ENCSR031RRO_CTRL-1,0.002,-0.01057958,0.0003310655,-0.010910646,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_54342205_54342287_54347999_54348051_54349619_54349658_ENCSR143COQ_CTRL-1,-0.005,-0.005071341,0.00028564598,-0.005356987,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_56158683_56158711_56159622_56159730_56159974_56160148_ENCSR031RRO_CTRL-1,0.012,-0.09597891,0.020445894,-0.1164248,0.6163626931419102
RPS3_1_binding,RPS3,1,K562,chr1_-_112956063_112955275_112929352_112929091_112922133_112921989_ENCSR572FFX_CTRL-1,-0.002,-0.011134914,0.00037086225,-0.011505776,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_86903352_86903280_86887196_86887155_86880725_86880661_ENCSR031RRO_CTRL-1,-0.009,-0.01641293,0.0009921626,-0.017405093,1.0
RPS3_1_binding,RPS3,1,K562,chr8_-_99893680_99893638_99892052_99891907_99887618_99887060_ENCSR031RRO_CTRL-1,0.004,-0.01768138,0.0005659595,-0.01824734,1.0
RPS3_1_binding,RPS3,1,K562,chr19_-_40458545_40458380_40458244_40457498_40451492_40451363_ENCSR031RRO_CTRL-1,-0.0,-0.018513486,0.00028430362,-0.018797789,1.0
RPS3_1_binding,RPS3,1,K562,chr20_+_62387610_62387674_62388308_62388364_62388456_62388519_ENCSR164MUK_CTRL-1,-0.001,-0.089971706,0.013190895,-0.1031626,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_111454210_111454356_111456085_111456249_111459456_111459636_ENCSR031RRO_CTRL-1,0.0,-0.00025905404,0.00022498576,-0.0004840398,1.0
RPS3_1_binding,RPS3,1,K562,chr22_+_29298732_29298895_29299194_29299280_29299598_29299851_ENCSR092WKG_CTRL-1,-0.013,-0.018468935,0.00027311,-0.018742045,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_46309100_46309127_46310154_46310316_46316551_46316776_ENCSR031RRO_CTRL-1,0.001,-0.13357306,0.012158544,-0.1457316,1.0
RPS3_1_binding,RPS3,1,K562,chr15_+_34225535_34225658_34227692_34227846_34228428_34228583_ENCSR092WKG_CTRL-1,0.004,-0.009792196,0.00029100868,-0.010083204,1.0
RPS3_1_binding,RPS3,1,K562,chr8_-_80030232_80030053_80028796_80028694_80003180_80002998_ENCSR031RRO_CTRL-1,0.202,-0.009300965,0.00029670517,-0.00959767,0.021870402385818506
RPS3_1_binding,RPS3,1,K562,chr4_-_55636259_55636080_55616385_55616337_55609179_55609119_ENCSR092WKG_CTRL-1,0.0,-0.007281743,0.00022661968,-0.0075083626,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_9827914_9827984_9828326_9828389_9828836_9828874_ENCSR084SCN_CTRL-1,0.0,-0.057871886,0.007664402,-0.06553629,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_154220533_154220341_154213946_154213892_154212624_154212457_ENCSR031RRO_CTRL-1,0.006,-0.043598004,0.0013415553,-0.04493956,1.0
RPS3_1_binding,RPS3,1,K562,chr17_-_28574241_28574066_28573934_28573734_28573621_28573114_ENCSR031RRO_CTRL-1,0.001,-0.021185312,0.00088978873,-0.022075102,1.0
RPS3_1_binding,RPS3,1,K562,chr18_+_662145_662320_669071_669173_670691_670867_ENCSR031RRO_CTRL-1,-0.03,-0.06213831,0.0025308307,-0.06466914,6.898186256465396e-9
RPS3_1_binding,RPS3,1,K562,chr9_+_78304734_78304940_78306313_78306486_78308413_78308583_ENCSR031RRO_CTRL-1,0.001,-0.0096374955,0.00028525415,-0.009922749,1.0
RPS3_1_binding,RPS3,1,K562,chr10_+_7800026_7800091_7802269_7802425_7806973_7807010_ENCSR031RRO_CTRL-1,-0.004,-0.01117052,0.00030229823,-0.011472818,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_57498419_57498623_57504224_57504299_57511697_57511868_ENCSR129RWD_CTRL-1,-0.001,-0.015643805,0.00036030187,-0.016004108,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_110407664_110407585_110406379_110406317_110404036_110403608_ENCSR031RRO_CTRL-1,0.001,-0.0024482473,0.0000041469657,-0.0024523942,1.0
RPS3_1_binding,RPS3,1,K562,chr21_-_29061376_29061252_29060660_29060540_29056552_29056321_ENCSR031RRO_CTRL-1,-0.0,-0.014848108,0.00073834823,-0.015586456,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_40366879_40366915_40367600_40367879_40369907_40370028_ENCSR031RRO_CTRL-1,-0.004,-0.0103484485,0.00032661756,-0.010675066,1.0
RPS3_1_binding,RPS3,1,K562,chr9_-_32573159_32572880_32571052_32570959_32558954_32558909_ENCSR031RRO_CTRL-1,0.006,0.0062115625,0.00016570857,0.006045854,1.0
RPS3_1_binding,RPS3,1,K562,chr17_-_28574856_28574695_28574577_28574493_28574241_28574066_ENCSR031RRO_CTRL-1,0.004,-0.07025834,0.0025900553,-0.072848395,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_61329584_61329362_61326893_61326778_61324137_61323757_ENCSR092WKG_CTRL-1,-0.001,-0.007888573,0.00024874715,-0.00813732,1.0
RPS3_1_binding,RPS3,1,K562,chr12_-_6849783_6849564_6849429_6849322_6849198_6848808_ENCSR031RRO_CTRL-1,-0.008,-0.011507936,0.0003149459,-0.011822882,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_99949740_99949662_99949386_99949272_99948940_99948810_ENCSR084SCN_CTRL-1,-0.0,-0.024557432,0.0005573621,-0.025114793,1.0
RPS3_1_binding,RPS3,1,K562,chr10_-_71829077_71828876_71825893_71825836_71822007_71821875_ENCSR032YMP_CTRL-1,-0.001,-0.0883208,0.004009821,-0.09233062,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_21269392_21269297_21268668_21268622_21263829_21263666_ENCSR031RRO_CTRL-1,-0.001,-0.032564737,0.0016557587,-0.034220494,1.0
RPS3_1_binding,RPS3,1,K562,chr7_-_25125260_25125199_25124815_25124689_25124127_25123950_ENCSR031RRO_CTRL-1,0.001,-0.089325674,0.0022448185,-0.09157049,1.0
RPS3_1_binding,RPS3,1,K562,chr10_+_84143994_84144106_84144874_84145016_84148729_84148838_ENCSR031RRO_CTRL-1,-0.0,-0.07822244,0.0024880522,-0.08071049,1.0
RPS3_1_binding,RPS3,1,K562,chr17_-_64504842_64504676_64504318_64504221_64504116_64503982_ENCSR031RRO_CTRL-1,-0.0,-0.00980927,0.00028647558,-0.010095745,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_155312254_155312395_155318855_155318928_155319610_155319688_ENCSR084SCN_CTRL-1,0.001,0.0031098085,0.00021503975,0.0028947687,1.0
RPS3_1_binding,RPS3,1,K562,chr21_-_25734904_25734852_25729801_25729630_25725350_25724697_ENCSR031RRO_CTRL-1,-0.0,-0.010939179,0.00029811577,-0.011237294,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_54342205_54342287_54343224_54343316_54347999_54348039_ENCSR344XID_CTRL-1,0.002,-0.009599099,0.00028497097,-0.00988407,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_23033674_23033367_23027829_23027744_23026375_23025857_ENCSR031RRO_CTRL-1,-0.005,-0.024040306,0.00097648054,-0.025016787,0.5144519254732933
RPS3_1_binding,RPS3,1,K562,chr12_+_54342205_54342287_54343224_54343316_54347766_54347844_ENCSR031RRO_CTRL-1,0.002,-0.009567663,0.00028438715,-0.00985205,1.0
RPS3_1_binding,RPS3,1,K562,chr5_-_43298975_43298517_43298134_43298008_43297166_43297001_ENCSR031RRO_CTRL-1,-0.13,-0.016922615,0.0006643427,-0.017586958,6.594777249528745e-12
RPS3_1_binding,RPS3,1,K562,chr12_+_56158683_56158711_56158901_56158940_56159586_56159730_ENCSR031RRO_CTRL-1,-0.0,-0.016736325,0.00051738595,-0.01725371,1.0
RPS3_1_binding,RPS3,1,K562,chr11_+_18396818_18396968_18398797_18398988_18399430_18399548_ENCSR031RRO_CTRL-1,-0.001,-0.040852208,0.0009958348,-0.04184804,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_33304638_33304296_33304217_33304127_33301771_33299693_ENCSR031RRO_CTRL-1,0.034,-0.013579488,0.0005514133,-0.014130902,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_32817244_32817187_32797843_32797762_32791254_32790652_ENCSR424QCW_CTRL-1,-0.0,-0.010140696,0.00032047444,-0.01046117,1.0
RPS3_1_binding,RPS3,1,K562,chr16_-_18789118_18788980_18788142_18788062_18783102_18781294_ENCSR084SCN_CTRL-1,-0.0,-0.009514937,0.00025056623,-0.009765503,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_33304638_33304296_33304217_33304127_33303989_33303572_ENCSR031RRO_CTRL-1,0.004,-0.01764659,0.0008492748,-0.018495865,1.0
RPS3_1_binding,RPS3,1,K562,chr19_-_38840376_38840095_38839015_38838893_38838598_38838396_ENCSR031RRO_CTRL-1,0.0,-0.07367878,0.0027214102,-0.07640019,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_160306493_160306353_160305773_160305687_160299264_160299101_ENCSR344XID_CTRL-1,-0.002,-0.094773725,0.0026993135,-0.09747304,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_156312221_156312040_156311195_156310949_156310689_156310557_ENCSR031RRO_CTRL-1,0.001,-0.0050680046,0.00027844816,-0.005346453,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_56158361_56158711_56159586_56159730_56159974_56160148_ENCSR031RRO_CTRL-1,0.001,-0.08782146,0.012479929,-0.10030139,0.7302820348981082
RPS3_1_binding,RPS3,1,K562,chr19_+_38632600_38632678_38634992_38635118_38636888_38636924_ENCSR084SCN_CTRL-1,0.0,-0.0087509435,0.00028630643,-0.00903725,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_572609_572701_579508_579656_580645_580782_ENCSR092WKG_CTRL-1,-0.174,-0.01738077,0.0013514889,-0.018732259,0.09380501072812047
RPS3_1_binding,RPS3,1,K562,chr10_-_124408637_124408541_124407476_124407302_124405563_124405435_ENCSR031RRO_CTRL-1,-0.002,-0.12244631,0.0033442527,-0.12579057,1.0
RPS3_1_binding,RPS3,1,K562,chr16_-_18798834_18798722_18797952_18797924_18795581_18795463_ENCSR084SCN_CTRL-1,0.002,-0.018855361,0.00041087414,-0.019266235,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_12940540_12940654_12940743_12940887_12943536_12943629_ENCSR031RRO_CTRL-1,-0.0,-0.0071808947,0.00047480967,-0.0076557044,1.0
RPS3_1_binding,RPS3,1,K562,chr10_+_69088117_69088236_69097083_69097231_69103870_69104811_ENCSR031RRO_CTRL-1,0.001,-0.012757665,0.00048138262,-0.0132390475,1.0
