Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
CDC40_1_binding,CDC40,1,HepG2,chr14_+_32077288_32077435_32117139_32117287_32146262_32146340_ENCSR003EKR_CTRL-1,0.017,-0.102636516,0.732797044747161
CDC40_1_binding,CDC40,1,HepG2,chr1_-_173866567_173866527_173866206_173865856_173865547_173865352_ENCSR042QTH_CTRL-1,0.018,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr17_+_63798037_63798099_63799479_63799523_63800467_63800617_ENCSR042QTH_CTRL-1,-0.032,-0.102636516,0.7623570420300788
CDC40_1_binding,CDC40,1,HepG2,chr8_+_86342737_86342930_86368938_86369031_86374029_86374120_ENCSR003EKR_CTRL-1,0.063,-0.05726979,0.7397949572659507
CDC40_1_binding,CDC40,1,HepG2,chr16_+_4671390_4671459_4672399_4672516_4673497_4673657_ENCSR003EKR_CTRL-1,0.003,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr2_+_218228737_218228850_218234351_218234397_218238663_218238850_ENCSR003EKR_CTRL-1,0.01,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr14_+_32077288_32077435_32090501_32094386_32117139_32117287_ENCSR003EKR_CTRL-1,0.109,-0.102636516,0.19143267268821498
CDC40_1_binding,CDC40,1,HepG2,chr17_+_63798037_63798099_63799588_63799625_63800467_63800617_ENCSR003EKR_CTRL-1,0.057,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr14_+_32077288_32077435_32090501_32094386_32117142_32117287_ENCSR003EKR_CTRL-1,0.021,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr18_+_58044383_58044708_58390645_58390742_58391486_58391509_ENCSR003EKR_CTRL-1,-0.013,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr14_+_32077308_32077435_32117142_32117287_32146262_32146340_ENCSR003EKR_CTRL-1,0.018,-0.102636516,0.7001438505267876
CDC40_1_binding,CDC40,1,HepG2,chr19_-_50802249_50802216_50799357_50799271_50798958_50798703_ENCSR003EKR_CTRL-1,-0.065,-0.05726979,1.0
CDC40_1_binding,CDC40,1,HepG2,chr1_-_173866567_173866527_173866206_173866176_173865547_173864630_ENCSR104ABF_CTRL-1,0.033,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr7_+_77537553_77537645_77538764_77538845_77571077_77571186_ENCSR042QTH_CTRL-1,0.002,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr16_+_9091647_9092270_9092920_9093001_9102983_9103259_ENCSR067GHD_CTRL-1,-0.007,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25997416_25997187_ENCSR003EKR_CTRL-1,0.002,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr16_-_11896782_11896557_11894987_11894953_11891139_11891061_ENCSR003EKR_CTRL-1,0.008,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr21_-_26022042_26021839_25997416_25997359_25982477_25982343_ENCSR003EKR_CTRL-1,0.027,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr17_-_76721933_76721797_76721356_76721262_76720498_76720359_ENCSR003EKR_CTRL-1,-0.049,-0.102636516,0.025918047910476187
CDC40_1_binding,CDC40,1,HepG2,chr16_+_46915297_46916707_46918620_46918757_46922241_46922416_ENCSR003EKR_CTRL-1,0.004,-0.095894046,1.0
CDC40_1_binding,CDC40,1,HepG2,chr2_+_218228737_218228850_218234351_218234397_218245419_218245546_ENCSR067GHD_CTRL-1,-0.03,-0.102636516,0.9153020218865823
CDC40_1_binding,CDC40,1,HepG2,chr12_-_76084094_76083832_76074239_76074202_76068994_76068577_ENCSR093ERJ_CTRL-1,0.008,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr7_+_77537553_77537645_77563935_77564195_77571077_77571186_ENCSR003EKR_CTRL-1,-0.005,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25982477_25982343_ENCSR003EKR_CTRL-1,0.002,-0.102636516,1.0
CDC40_1_binding,CDC40,1,HepG2,chr17_-_76721933_76721797_76721351_76721262_76720498_76720359_ENCSR003EKR_CTRL-1,-0.021,-0.102636516,1.0
CDC40_2_binding,CDC40,2,HepG2,chr20_-_35664900_35664759_35658982_35658929_35655344_35650325_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
CDC40_2_binding,CDC40,2,HepG2,chr14_-_58298120_58297954_58295811_58293765_58291707_58291634_ENCSR042QTH_CTRL-1,0.093,0.0,0.21546639892726138
CDC40_2_binding,CDC40,2,HepG2,chr3_+_52689073_52689206_52690591_52691071_52691541_52691629_ENCSR003EKR_CTRL-1,-0.017,0.0,1.0
CDC40_2_binding,CDC40,2,HepG2,chr1_-_205750276_205749956_205729621_205729571_205727805_205727699_ENCSR003EKR_CTRL-1,0.0,0.0,1.0
