Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
APEX1_1_binding,APEX1,1,K562,chr12_-_56645928_56645836_56645353_56645170_56643587_56643402_ENCSR032YMP_CTRL-1,0.0,0.0,0.0,0.0,1.0
APEX1_1_binding,APEX1,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.015,0.0,0.0,0.0,1.0
APEX1_1_binding,APEX1,1,K562,chr4_-_82373777_82373445_82359639_82359470_82358820_82358658_ENCSR031RRO_CTRL-1,-0.001,0.0,0.0,0.0,1.0
APEX1_1_binding,APEX1,1,K562,chr19_+_58544472_58545097_58547375_58547511_58547596_58547626_ENCSR174OYC_CTRL-1,0.0,0.0,0.0,0.0,1.0
APEX1_1_binding,APEX1,1,K562,chr12_-_56645928_56645836_56645353_56645170_56644955_56644780_ENCSR031RRO_CTRL-1,0.012,0.0,0.0,0.0,0.027580160848749972
APEX1_1_binding,APEX1,1,K562,chr6_-_31736350_31736261_31734263_31734153_31733961_31733835_ENCSR031RRO_CTRL-1,0.0,0.0,0.0,0.0,1.0
APEX1_2_binding,APEX1,2,K562,chr1_-_77759852_77759642_77745599_77745420_77741748_77741616_ENCSR031RRO_CTRL-1,0.06,0.0,0.0,0.0,0.9740558239396442
APEX1_2_binding,APEX1,2,K562,chr11_+_63974619_63974794_63986140_63986514_63988336_63988346_ENCSR031RRO_CTRL-1,-0.002,0.0,0.0,0.0,1.0
APEX1_2_binding,APEX1,2,K562,chr8_+_144095026_144095228_144095832_144096029_144096123_144096250_ENCSR031RRO_CTRL-1,-0.003,0.0,0.0,0.0,1.0
APEX1_2_binding,APEX1,2,K562,chr19_-_45478828_45478735_45423381_45423269_45421393_45421177_ENCSR031RRO_CTRL-1,0.008,0.0,0.0,0.0,1.0
APEX1_2_binding,APEX1,2,K562,chr8_+_144095026_144095228_144096123_144096250_144096336_144096494_ENCSR031RRO_CTRL-1,0.004,0.0,0.0,0.0,1.0
APEX1_2_binding,APEX1,2,K562,chr1_-_77759689_77759642_77746556_77746398_77745599_77745420_ENCSR031RRO_CTRL-1,-0.066,0.0,0.0,0.0,0.10928590222941881
APEX1_2_binding,APEX1,2,K562,chr17_+_77088748_77089271_77093243_77093347_77099017_77099174_ENCSR129RWD_CTRL-1,0.065,0.0,0.0,0.0,1.0
APEX1_3_binding,APEX1,3,K562,chr7_+_100349730_100349887_100351251_100351410_100352162_100352211_ENCSR032YMP_CTRL-1,-0.008,0.0,0.0,0.0,1.0
APEX1_3_binding,APEX1,3,K562,chr6_-_31736545_31736482_31736350_31736261_31734263_31734153_ENCSR031RRO_CTRL-1,-0.0,0.0,0.0,0.0,1.0
APEX1_3_binding,APEX1,3,K562,chr4_-_82374161_82374118_82373777_82373445_82359639_82359470_ENCSR031RRO_CTRL-1,0.005,0.0,0.0,0.0,1.0
