Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
DGCR8_1_binding,DGCR8,1,K562,chr1_-_182391759_182391678_182390852_182390496_182388750_182388571_ENCSR031RRO_CTRL-1,0.001,-0.055222195,1.0
DGCR8_1_binding,DGCR8,1,K562,chr10_-_68527416_68527245_68517265_68517083_68516843_68516750_ENCSR031RRO_CTRL-1,-0.03,-0.055222195,1.0
DGCR8_1_binding,DGCR8,1,K562,chr7_+_2375974_2377075_2378688_2378766_2379133_2379242_ENCSR031RRO_CTRL-1,0.001,-0.0015801301,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_-_137112230_137112111_137112029_137111940_137111754_137111689_ENCSR031RRO_CTRL-1,0.003,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr2_-_96869971_96869875_96867926_96867777_96866431_96866282_ENCSR031RRO_CTRL-2,-0.014,-0.0016675582,1.0
DGCR8_1_binding,DGCR8,1,K562,chr10_-_114174202_114174014_114173265_114173140_114163329_114161607_ENCSR143COQ_CTRL-1,-0.025,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr3_-_15082608_15082366_15081334_15081054_15080802_15080731_ENCSR031RRO_CTRL-1,-0.011,-0.0017224038,1.0
DGCR8_1_binding,DGCR8,1,K562,chr6_-_85642991_85642796_85641451_85641291_85640564_85640445_ENCSR031RRO_CTRL-1,0.009,-0.0016472836,1.0
DGCR8_1_binding,DGCR8,1,K562,chr1_+_26696032_26697540_26729650_26729863_26731151_26731318_ENCSR031RRO_CTRL-1,0.004,-0.0016472836,1.0
DGCR8_1_binding,DGCR8,1,K562,chr17_+_30117153_30117332_30118079_30118173_30172541_30172598_ENCSR031RRO_CTRL-1,-0.001,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136669913_136670009_136670168_136670330_136671925_136671993_ENCSR031RRO_CTRL-1,-0.036,-0.039171115,1.0
DGCR8_1_binding,DGCR8,1,K562,chr7_+_100356749_100356883_100358219_100358366_100358898_100359079_ENCSR031RRO_CTRL-1,-0.011,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136670949_136671014_136671925_136672088_136672263_136672677_ENCSR031RRO_CTRL-1,-0.004,-0.001573566,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136669913_136670009_136670168_136670330_136670949_136671014_ENCSR031RRO_CTRL-1,-0.102,-0.032063793,0.004156139815968642
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136669913_136670009_136670949_136671014_136671925_136671993_ENCSR031RRO_CTRL-1,-0.03,-0.037142873,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136670168_136670330_136670949_136671014_136671925_136671993_ENCSR031RRO_CTRL-1,-0.005,-0.037142873,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_-_98796539_98796132_98790606_98790103_98784876_98784831_ENCSR031RRO_CTRL-1,-0.071,-0.055222195,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.001,-0.0014902093,1.0
DGCR8_1_binding,DGCR8,1,K562,chr2_-_96869971_96869875_96867923_96867777_96866431_96866282_ENCSR031RRO_CTRL-1,-0.01,-0.0016675582,1.0
DGCR8_1_binding,DGCR8,1,K562,chr2_-_96869971_96869875_96866431_96866282_96865929_96865866_ENCSR031RRO_CTRL-1,-0.037,-0.0017349202,0.8412215607932221
DGCR8_1_binding,DGCR8,1,K562,chr2_-_53970778_53970542_53949283_53949142_53948537_53948420_ENCSR661HEL_CTRL-1,0.008,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr15_-_65286366_65286252_65271072_65270934_65263320_65263148_ENCSR143COQ_CTRL-1,0.074,-0.0018687111,1.0
DGCR8_1_binding,DGCR8,1,K562,chr15_-_65286366_65286252_65271072_65270934_65266768_65266561_ENCSR031RRO_CTRL-1,-0.01,-0.0018687111,1.0
