Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr19_-_1012188_1012065_1011992_1011891_1011798_1011579_ENCSR538QOG_CTRL-1,-0.002,-0.19431779,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr3_+_184388586_184388741_184388892_184388995_184389366_184389829_ENCSR003EKR_CTRL-1,0.002,-0.18150453,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr14_-_22575089_22575058_22567164_22567087_22565137_22564906_ENCSR003EKR_CTRL-1,0.001,-0.20378561,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr20_+_31566153_31566295_31567639_31567806_31569119_31569567_ENCSR003EKR_CTRL-1,-0.0,-0.19575892,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr15_-_82538371_82538305_82538042_82537921_82536881_82536755_ENCSR042QTH_CTRL-1,-0.0,-0.20352371,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr9_+_114301283_114301319_114301444_114301462_114301681_114301717_ENCSR003EKR_CTRL-1,-0.004,-0.17273548,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr2_-_43824118_43823912_43822935_43822796_43820100_43819914_ENCSR042QTH_CTRL-1,-0.005,-0.19576767,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr6_+_31951340_31951473_31951554_31951604_31951874_31952030_ENCSR237YZT_CTRL-1,-0.0,-0.18150201,1.0
ZC3H11A_1_binding,ZC3H11A,1,HepG2,chr3_+_184388586_184388741_184388892_184388995_184389369_184389829_ENCSR067GHD_CTRL-1,0.012,-0.18150453,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr9_-_19380254_19380189_19379618_19379486_19378918_19378707_ENCSR104ABF_CTRL-1,-0.0,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr19_+_10712160_10712299_10712552_10712628_10712757_10712867_ENCSR067GHD_CTRL-1,0.005,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr17_-_82058818_82058780_82058408_82058340_82058254_82057881_ENCSR042QTH_CTRL-1,0.002,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr19_+_9827917_9827984_9828326_9828675_9828836_9828993_ENCSR237YZT_CTRL-1,-0.0,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr1_-_19095652_19095544_19095025_19094905_19094139_19093948_ENCSR003EKR_CTRL-1,0.005,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr19_+_9827891_9827984_9828591_9828675_9828836_9828874_ENCSR237YZT_CTRL-1,-0.0,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr19_+_9827891_9827984_9828326_9828393_9828591_9828675_ENCSR067GHD_CTRL-1,-0.002,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr14_-_23560418_23560254_23560036_23559937_23559850_23559564_ENCSR003EKR_CTRL-1,-0.004,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr17_-_82058818_82058780_82058416_82058340_82058091_82057879_ENCSR042QTH_CTRL-1,-0.004,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr3_+_184386045_184386159_184386491_184386755_184386844_184386938_ENCSR003EKR_CTRL-1,-0.005,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr9_+_114301283_114301319_114301444_114301462_114301681_114301717_ENCSR003EKR_CTRL-1,-0.004,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr3_+_184386045_184386159_184386844_184386938_184387050_184387107_ENCSR104ABF_CTRL-1,0.01,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr17_-_82058818_82058780_82058416_82058340_82058254_82057505_ENCSR042QTH_CTRL-1,0.001,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr13_-_32518003_32517856_32446480_32446358_32444126_32442387_ENCSR135LXL_CTRL-1,0.024,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr13_-_32517920_32517856_32480637_32480589_32444126_32443965_ENCSR042QTH_CTRL-1,-0.011,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr19_+_9827914_9827984_9828326_9828389_9828836_9828874_ENCSR237YZT_CTRL-1,-0.001,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,HepG2,chr13_-_32518003_32517856_32478048_32477886_32444126_32442387_ENCSR135LXL_CTRL-1,-0.025,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr20_-_35280118_35279941_35279747_35279565_35279206_35278910_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr20_+_62836186_62836333_62836477_62836532_62837082_62837265_ENCSR042QTH_CTRL-1,-0.001,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr3_+_184388586_184388741_184388892_184388995_184389366_184389829_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr9_+_114292102_114292210_114300069_114300123_114300624_114300687_ENCSR003EKR_CTRL-1,0.005,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr9_+_136806969_136807066_136807280_136807352_136807571_136807741_ENCSR042QTH_CTRL-1,0.155,0.0,0.6075524969161995
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr3_+_184386045_184386159_184386491_184386755_184386844_184386938_ENCSR003EKR_CTRL-1,-0.005,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,HepG2,chr3_+_184381932_184383418_184383522_184383642_184384536_184384693_ENCSR003EKR_CTRL-1,-0.01,0.0,1.0
