Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
YWHAG_1_binding,YWHAG,1,K562,chr8_-_93740956_93740880_93740696_93740628_93737355_93737306_ENCSR031RRO_CTRL-1,0.038,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr11_+_458673_460288_473894_473977_479084_479090_ENCSR031RRO_CTRL-1,0.03,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr10_+_69384795_69384915_69389196_69389296_69392124_69392308_ENCSR129RWD_CTRL-1,-0.0,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr10_+_69384795_69384915_69386322_69386418_69389196_69389296_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.012,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr10_+_69315784_69316014_69343826_69343989_69359896_69360016_ENCSR084SCN_CTRL-1,0.001,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr9_+_136670949_136671014_136671925_136672088_136672263_136672677_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr8_-_93740956_93740880_93740696_93740628_93736438_93736043_ENCSR620PUP_CTRL-2,-0.015,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr10_+_69389196_69389296_69392124_69392308_69394949_69395105_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr21_-_9812602_9812426_9809181_9809066_9808361_9808173_ENCSR143COQ_CTRL-1,-0.0,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr10_+_69389196_69389296_69394949_69395105_69398594_69398828_ENCSR129RWD_CTRL-1,-0.004,0.0,1.0
YWHAG_1_binding,YWHAG,1,K562,chr16_+_85613215_85613398_85633913_85634132_85648551_85648751_ENCSR031RRO_CTRL-1,0.025,0.0,1.0
YWHAG_2_binding,YWHAG,2,K562,chr6_+_7228996_7231907_7240437_7240602_7246423_7247221_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
YWHAG_2_binding,YWHAG,2,K562,chr8_-_93740696_93740628_93737355_93737306_93736438_93729355_ENCSR031RRO_CTRL-1,0.059,0.0,1.0
