Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
ELAVL1_1_binding,ELAVL1,1,K562,chr7_-_26193373_26193250_26192577_26192494_26192338_26189926_ENCSR031RRO_CTRL-1,0.001,-0.0017256091,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_211260107_211260164_211267774_211267870_211271231_211271309_ENCSR031RRO_CTRL-2,-0.011,-0.0012846218,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr21_-_33528604_33528514_33528335_33528166_33525000_33524008_ENCSR031RRO_CTRL-1,0.002,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr15_+_75883365_75883424_75890434_75890483_75896994_75897061_ENCSR031RRO_CTRL-1,-0.044,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_155815900_155815804_155814449_155814329_155805141_155804948_ENCSR032YMP_CTRL-1,-0.012,-0.0017087888,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_879572_880031_880720_880999_881691_881789_ENCSR031RRO_CTRL-1,0.292,-0.0017252365,0.04429401255839892
ELAVL1_1_binding,ELAVL1,1,K562,chr17_+_32350907_32351181_32351738_32351912_32358502_32358634_ENCSR032YMP_CTRL-1,-0.002,-0.0016316427,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_160356599_160356754_160357040_160357253_160358148_160358952_ENCSR031RRO_CTRL-1,-0.007,-0.0016597322,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_101714503_101714645_101716727_101716812_101723167_101723254_ENCSR031RRO_CTRL-1,0.003,-0.030729527,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr3_-_196072152_196072002_196071498_196071395_196069568_196069454_ENCSR031RRO_CTRL-1,-0.001,-0.0014709313,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr15_+_75883365_75883424_75896994_75897061_75899426_75899494_ENCSR031RRO_CTRL-1,0.134,-0.0017252365,0.05570482785011815
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1353462_1353406_1278633_1278567_ENCSR174OYC_CTRL-1,-0.076,-0.0017204619,0.928598154299418
ELAVL1_1_binding,ELAVL1,1,K562,chr5_-_168561516_168561392_168559157_168559031_168557621_168548494_ENCSR084SCN_CTRL-1,-0.006,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr21_-_33528604_33528518_33528335_33528166_33525000_33524008_ENCSR031RRO_CTRL-1,0.002,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1276077_1275965_1272511_1272441_ENCSR031RRO_CTRL-1,0.037,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_756835_756556_751804_751704_748018_747919_ENCSR031RRO_CTRL-1,0.002,-0.0016316427,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_70228421_70228555_70231094_70231203_70232267_70232377_ENCSR031RRO_CTRL-1,-0.019,-0.0014703007,0.3019512440335299
ELAVL1_1_binding,ELAVL1,1,K562,chr5_+_139648660_139648845_139679846_139679940_139680363_139680556_ENCSR143COQ_CTRL-1,0.164,-0.0017251592,0.09648721284058862
ELAVL1_1_binding,ELAVL1,1,K562,chr19_-_48616824_48616725_48616202_48616078_48615946_48615365_ENCSR031RRO_CTRL-1,0.0,-0.028364565,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_70228421_70228555_70231094_70231203_70231858_70231975_ENCSR031RRO_CTRL-1,-0.134,-0.0014703007,0.38607833400226593
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_77722196_77722023_77721901_77721830_77721205_77721171_ENCSR031RRO_CTRL-1,0.022,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr16_-_74909657_74909500_74908977_74908907_74904100_74903946_ENCSR031RRO_CTRL-1,-0.001,-0.001697309,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr16_-_57186022_57185820_57174688_57174619_57173869_57173727_ENCSR031RRO_CTRL-1,-0.407,-0.001653219,1.40117628610828e-9
ELAVL1_1_binding,ELAVL1,1,K562,chr9_+_131228159_131228331_131229662_131229825_131230629_131230769_ENCSR031RRO_CTRL-1,-0.003,-0.0013959261,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_31919109_31918969_31915987_31915894_31911826_31911695_ENCSR031RRO_CTRL-1,-0.0,-0.0015572681,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr7_+_157253953_157254142_157254243_157254310_157256913_157257044_ENCSR031RRO_CTRL-1,-0.041,-0.0017252365,0.6387349560892678
ELAVL1_1_binding,ELAVL1,1,K562,chr5_+_65926474_65926806_65988634_65988682_65992709_65992907_ENCSR031RRO_CTRL-1,0.013,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr11_-_10808708_10808704_10807381_10807254_10806885_10806819_ENCSR031RRO_CTRL-1,-0.001,-0.0013840401,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1278633_1278567_1276077_1275965_ENCSR031RRO_CTRL-1,0.109,-0.0017252365,0.285813848909207
ELAVL1_1_binding,ELAVL1,1,K562,chr3_-_197116083_197115926_197105005_197104902_197091026_197090911_ENCSR031RRO_CTRL-1,-0.007,-0.001745468,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499534_110498859_110498819_110496203_110496011_ENCSR031RRO_CTRL-1,-0.105,-0.042819984,0.02337127046483921
ELAVL1_1_binding,ELAVL1,1,K562,chr4_+_94208345_94208584_94213034_94213152_94226118_94226296_ENCSR084SCN_CTRL-1,-0.0,-0.0017252365,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_53467722_53468832_53471637_53471807_53479405_53479614_ENCSR031RRO_CTRL-1,-0.0,-0.04311254,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr11_+_63906087_63906114_63908259_63908304_63908876_63909237_ENCSR031RRO_CTRL-2,-0.024,-0.0016141429,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499534_110497002_110496822_110496203_110496045_ENCSR031RRO_CTRL-1,-0.014,-0.008510424,0.3995521507860109
ELAVL1_1_binding,ELAVL1,1,K562,chr19_+_49497193_49497595_49497916_49498046_49499511_49499688_ENCSR129RWD_CTRL-1,-0.0,-0.01881093,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr11_-_47500932_47500860_47499604_47499452_47489024_47488836_ENCSR031RRO_CTRL-1,0.011,-0.0017307788,1.0
