Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62854064_62853800_62853590_62852810_ENCSR031RRO_CTRL-1,0.002,-0.023603518,0.00027350284,-0.02387702,1.0
TRA2A_1_binding,TRA2A,1,K562,chr3_+_9813247_9813345_9817644_9817759_9818554_9818920_ENCSR092WKG_CTRL-2,0.005,-0.014877001,0.0005952006,-0.015472202,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_-_150235829_150235732_150229114_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,-0.02,-0.06782539,0.0030460483,-0.07087144,1.0
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853590_62853072_ENCSR031RRO_CTRL-1,0.001,-0.017881593,0.00022687907,-0.018108472,1.0
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62853849_62853800_62853590_62853572_ENCSR031RRO_CTRL-1,0.001,-0.018150156,0.00023009456,-0.01838025,1.0
TRA2A_1_binding,TRA2A,1,K562,chr19_-_2114239_2114124_2113413_2112859_2111828_2111790_ENCSR031RRO_CTRL-1,-0.009,-0.0040971055,0.0000853637,-0.004182469,1.0
TRA2A_1_binding,TRA2A,1,K562,chr19_+_39457674_39457740_39458293_39458305_39458817_39458887_ENCSR031RRO_CTRL-1,0.041,-0.04007106,0.0007201851,-0.040791243,0.01773117838158996
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853849_62853800_ENCSR031RRO_CTRL-1,0.02,-0.003144297,0.000087871515,-0.0032321685,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_75868950_75869010_75873427_75873568_75876186_75876271_ENCSR031RRO_CTRL-1,0.014,-0.115463875,0.0036401465,-0.11910402,1.0
TRA2A_1_binding,TRA2A,1,K562,chr5_-_157813227_157813062_157809805_157809627_157806112_157805865_ENCSR031RRO_CTRL-1,0.001,-0.0028574213,0.000013934643,-0.002871356,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_92927243_92927330_92929029_92929091_92937517_92937541_ENCSR031RRO_CTRL-1,0.024,-0.08157655,0.003878402,-0.08545495,0.25624080609930655
TRA2A_1_binding,TRA2A,1,K562,chr15_-_90974246_90974135_90970514_90970403_90969623_90969446_ENCSR031RRO_CTRL-1,-0.001,-0.0031038274,0.000057041947,-0.0031608692,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_+_23069060_23069151_23071224_23071359_23072123_23072197_ENCSR419JMU_CTRL-1,0.001,-0.0040060133,0.00011857529,-0.0041245883,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_+_139409562_139409654_139412550_139412580_139417537_139417729_ENCSR031RRO_CTRL-1,-0.003,-0.07512109,0.0034837208,-0.07860481,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_-_58893060_58892896_58890461_58890280_58889554_58889429_ENCSR031RRO_CTRL-1,0.003,-0.008231612,0.00058611995,-0.008817732,1.0
TRA2A_1_binding,TRA2A,1,K562,chr2_-_27384092_27383951_27383600_27383365_27382228_27382125_ENCSR031RRO_CTRL-1,-0.004,-0.05407082,0.0024074907,-0.05647831,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_41464770_41464885_41466140_41466252_41470256_41470392_ENCSR032YMP_CTRL-1,0.002,-0.0024710938,0.00009459439,-0.0025656882,1.0
