Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215423526_215423349_215422243_215422090_215420801_215420672_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr7_+_101128392_101128664_101131874_101132069_101133694_101133893_ENCSR067GHD_CTRL-1,0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215394719_215394527_215391814_215391631_215388301_215388211_ENCSR042QTH_CTRL-1,-0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215420801_215420672_215419385_215419241_215414958_215414660_ENCSR067GHD_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_66228196_66228019_66223774_66223697_66220742_66220553_ENCSR003EKR_CTRL-1,0.001,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73410311_73410409_73411995_73412125_73413419_73413634_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr5_-_179620959_179620891_179619360_179619268_179618323_179618144_ENCSR003EKR_CTRL-1,-0.034,0.026405847,0.9146128054140645
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_133756281_133756337_133756830_133757009_133757768_133757946_ENCSR246RRQ_CTRL-1,-0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_-_71829077_71828876_71828157_71828013_71825893_71825836_ENCSR003EKR_CTRL-1,-0.001,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_66228196_66228019_66226124_66226027_66223774_66223697_ENCSR003EKR_CTRL-1,-0.001,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_+_114282456_114282564_114283708_114283762_114284723_114284777_ENCSR067GHD_CTRL-1,-0.007,0.036450725,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215409739_215409562_215408426_215408297_215408197_215408107_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_-_35714251_35714184_35713096_35713018_35709256_35709032_ENCSR003EKR_CTRL-1,0.012,0.027276058,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_-_62310829_62310664_62310572_62310418_62310311_62310177_ENCSR003EKR_CTRL-1,-0.036,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25982477_25982343_ENCSR003EKR_CTRL-1,-0.004,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52803854_52804009_52805807_52805840_52806102_52806138_ENCSR003EKR_CTRL-1,0.002,0.036450725,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_-_26022042_26021839_26000182_26000014_25997416_25997187_ENCSR003EKR_CTRL-1,-0.002,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_9113543_9113359_9112536_9112376_9112211_9112158_ENCSR003EKR_CTRL-1,-0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_+_21612347_21612451_21614830_21614924_21651672_21651768_ENCSR067GHD_CTRL-1,0.02,0.036450725,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_3982313_3982245_3982052_3981946_3981452_3981338_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859180_81855279_81855141_81847347_81847242_ENCSR003EKR_CTRL-1,0.002,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_52804725_52804734_52805807_52805840_52806102_52806138_ENCSR003EKR_CTRL-1,-0.005,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr10_+_99836090_99836290_99841966_99842093_99843798_99843900_ENCSR003EKR_CTRL-1,0.026,0.036450725,0.8452956018787097
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_6693083_6692923_6690727_6690628_6686902_6686288_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215433461_215433323_215431964_215431832_215430852_215430714_ENCSR003EKR_CTRL-1,0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73449334_73449467_73450035_73450133_73450614_73450753_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr21_+_45488417_45488444_45489485_45489521_45490274_45490346_ENCSR003EKR_CTRL-1,0.008,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr12_-_9104400_9104238_9101674_9101446_9101207_9101143_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_21023692_21023524_21023042_21022830_21019905_21019722_ENCSR003EKR_CTRL-1,-0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215394719_215394527_215393203_215392930_215391814_215391631_ENCSR003EKR_CTRL-1,0.001,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr6_+_4043812_4044023_4047174_4047248_4049015_4049106_ENCSR003EKR_CTRL-1,-0.032,0.036450725,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr19_-_6682229_6682141_6682030_6681940_6680263_6680157_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_+_42245504_42245687_42256500_42256630_42261120_42261294_ENCSR067GHD_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr1_-_19141524_19141346_19140892_19140787_19139220_19139082_ENCSR003EKR_CTRL-1,-0.067,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_+_36355925_36356623_36396613_36396787_36441257_36441500_ENCSR003EKR_CTRL-1,0.034,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr4_+_73418087_73418311_73419506_73419639_73420253_73420321_ENCSR003EKR_CTRL-1,-0.0,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_133754494_133754671_133755362_133755495_133756830_133756923_ENCSR003EKR_CTRL-1,-0.001,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,-0.041,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_+_41163173_41163479_41163714_41163833_41163920_41163982_ENCSR246RRQ_CTRL-1,0.003,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215434824_215434695_215433461_215433323_215430852_215430714_ENCSR042QTH_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr16_-_74892565_74892483_74889815_74889702_74886396_74886269_ENCSR003EKR_CTRL-1,0.03,0.036450725,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr3_+_186618535_186618637_186619856_186619940_186620585_186621300_ENCSR003EKR_CTRL-1,0.001,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr20_+_49280484_49280570_49280902_49280964_49289044_49289260_ENCSR003EKR_CTRL-1,-0.031,0.026405847,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_114061591_114061423_114061098_114060924_114060270_114060126_ENCSR003EKR_CTRL-1,0.006,0.020793058,0.8629416882317203
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_197400434_197400251_197400166_197400054_197398581_197398460_ENCSR135LXL_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859178_81855279_81855141_81847347_81847242_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr17_-_81859387_81859180_81855505_81855452_81855279_81855141_ENCSR003EKR_CTRL-1,0.001,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215391814_215391631_215388301_215388211_215386958_215386688_ENCSR042QTH_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr9_-_14859484_14859182_14857749_14857552_14851607_14851283_ENCSR003EKR_CTRL-1,0.006,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215434824_215434695_215433461_215433323_215431964_215431832_ENCSR003EKR_CTRL-1,-0.0,0.035580516,1.0
SDAD1_1_binding,SDAD1,1,HepG2,chr2_-_215378262_215378174_215376674_215376497_215375718_215375628_ENCSR042QTH_CTRL-1,-0.0,0.026405847,1.0
