Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SF3B1_3_binding,SF3B1,3,K562,chr11_-_17077647_17077618_17077477_17077428_17077246_17076824_ENCSR084SCN_CTRL-1,0.002,0.0,1.0
SF3B1_3_binding,SF3B1,3,K562,chr1_+_26472505_26472627_26474084_26474135_26474571_26474667_ENCSR143COQ_CTRL-1,0.006,0.0,1.0
SF3B1_3_binding,SF3B1,3,K562,chr1_+_26473205_26473527_26474084_26474135_26474571_26474667_ENCSR129RWD_CTRL-1,0.008,0.0,1.0
SF3B1_3_binding,SF3B1,3,K562,chr1_+_26473482_26473732_26474084_26474135_26474571_26474667_ENCSR129RWD_CTRL-1,0.007,0.0,1.0
SF3B1_3_binding,SF3B1,3,K562,chr8_+_23566107_23566336_23568321_23568378_23571334_23571590_ENCSR174OYC_CTRL-1,0.002,0.0,1.0
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26473482_26473527_26473702_26473817_26474084_26474135_ENCSR031RRO_CTRL-1,0.184,-0.047404587,0.0
SF3B1_5_binding,SF3B1,5,K562,chr19_+_49101389_49101471_49102113_49103587_49104633_49104735_ENCSR031RRO_CTRL-1,-0.287,-0.14168344,0.0
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26473482_26473585_26473702_26473732_26474084_26474128_ENCSR718EWL_CTRL-1,0.001,-0.053479336,1.0
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26472449_26472627_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.024,-0.041296933,8.52144815703313e-6
SF3B1_5_binding,SF3B1,5,K562,chr19_+_49101389_49101471_49102113_49102185_49104633_49104735_ENCSR031RRO_CTRL-1,-0.197,-0.14359087,0.0
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.028,-0.05362461,7.066424973968438e-15
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26472510_26472627_26473482_26473585_26474084_26474135_ENCSR718EWL_CTRL-1,0.022,-0.0038924725,0.00004120041001902942
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26472505_26472627_26473482_26473732_26474084_26474135_ENCSR031RRO_CTRL-1,0.014,-0.0040839785,0.07540903224742497
SF3B1_5_binding,SF3B1,5,K562,chr16_+_2758947_2759402_2759568_2759661_2760300_2760499_ENCSR032YMP_CTRL-1,0.0,-0.004153732,1.0
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26472516_26472627_26473702_26473817_26474084_26474135_ENCSR620PUP_CTRL-2,0.534,-0.03522219,4.441479511690609e-6
SF3B1_5_binding,SF3B1,5,K562,chr1_+_26472476_26472627_26473482_26473527_26474084_26474135_ENCSR031RRO_CTRL-1,0.015,-0.0040839785,0.02084908844295423
SF3B1_5_binding,SF3B1,5,K562,chr19_+_49101389_49101471_49102113_49102173_49104633_49104735_ENCSR031RRO_CTRL-1,-0.194,-0.14014041,0.0
