Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
DDX6_1_binding,DDX6,1,K562,chr16_-_18789118_18788980_18788142_18788062_18784823_18784020_ENCSR031RRO_CTRL-1,-0.001,-0.04789991,0.0011780522,-0.04907796,1.0
DDX6_1_binding,DDX6,1,K562,chr17_-_28897588_28897525_28889026_28888944_28883231_28882739_ENCSR031RRO_CTRL-1,-0.009,-0.016408192,0.0002683712,-0.016676564,1.0
DDX6_1_binding,DDX6,1,K562,chr6_-_125301937_125301848_125300659_125300537_125292909_125292840_ENCSR031RRO_CTRL-1,-0.001,-0.027508521,0.0013080484,-0.02881657,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134380718_134380808_134388324_134388413_ENCSR031RRO_CTRL-1,-0.065,-0.056060147,0.00043830587,-0.056498453,0.42466439858742744
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18538433_18538215_18537773_18537600_ENCSR031RRO_CTRL-1,-0.011,-0.005908113,0.000034177392,-0.00594229,1.0
DDX6_1_binding,DDX6,1,K562,chr17_-_49764131_49763891_49732720_49732550_49722594_49722498_ENCSR031RRO_CTRL-1,-0.015,-0.049326517,0.0012854927,-0.05061201,0.942581989656688
DDX6_1_binding,DDX6,1,K562,chr3_+_42619818_42621516_42630545_42630575_42631170_42631316_ENCSR031RRO_CTRL-1,0.266,-0.000873355,0.000024966217,-0.0008983212,0.022976622207809973
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134376668_134376694_134380718_134380808_ENCSR031RRO_CTRL-1,0.014,-0.0063239112,0.000040175804,-0.006364087,1.0
DDX6_1_binding,DDX6,1,K562,chr9_+_136669913_136670009_136670168_136670330_136671925_136671993_ENCSR031RRO_CTRL-1,-0.011,-0.0026480674,0.000033150405,-0.0026812179,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_77537274_77537645_77571077_77571186_77581426_77581465_ENCSR031RRO_CTRL-1,-0.007,-0.035172917,0.027008507,-0.062181424,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_179705678_179705852_179706257_179706331_179708238_179708380_ENCSR031RRO_CTRL-1,0.001,-0.00546824,0.00017297777,-0.005641218,1.0
DDX6_1_binding,DDX6,1,K562,chr20_-_35658982_35658929_35655344_35655201_35632923_35632794_ENCSR031RRO_CTRL-1,0.051,0.28544626,-0.0019437879,0.28739005,0.2744935241884458
DDX6_1_binding,DDX6,1,K562,chr3_+_42620015_42621516_42627199_42630575_42631170_42631316_ENCSR031RRO_CTRL-1,0.207,-0.000873355,0.000024966217,-0.0008983212,0.26206964653644066
DDX6_1_binding,DDX6,1,K562,chr1_+_15847863_15848150_15872815_15873136_15909320_15909481_ENCSR424QCW_CTRL-1,-0.011,-0.021414295,0.0008722918,-0.022286586,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_130070771_130070809_130094894_130094931_130096920_130097007_ENCSR129RWD_CTRL-2,-0.022,-0.0056875213,0.000036186197,-0.0057237074,1.0
DDX6_1_binding,DDX6,1,K562,chr1_-_2193910_2193638_2189781_2189712_2187206_2186837_ENCSR031RRO_CTRL-1,-0.046,-0.005216516,0.00003097277,-0.005247489,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_77537553_77537645_77538764_77538845_77571077_77571186_ENCSR031RRO_CTRL-1,-0.002,-0.046974614,0.03667754,-0.08365215,1.0
DDX6_1_binding,DDX6,1,K562,chr2_+_216499269_216499398_216499831_216499866_216499948_216500031_ENCSR031RRO_CTRL-1,-0.0,-0.005705822,0.000035805027,-0.005741627,1.0
DDX6_1_binding,DDX6,1,K562,chr1_-_2193910_2193638_2192975_2192844_2189781_2189712_ENCSR031RRO_CTRL-1,0.001,-0.005162782,0.000030036206,-0.005192818,1.0
DDX6_1_binding,DDX6,1,K562,chr19_+_55655108_55655153_55658861_55658981_55659209_55659345_ENCSR031RRO_CTRL-1,-0.002,-0.007824702,0.00021734175,-0.008042044,1.0
DDX6_1_binding,DDX6,1,K562,chr16_-_18789118_18788980_18788142_18788062_18786336_18786239_ENCSR129RWD_CTRL-1,-0.0,-0.04789991,0.0011780522,-0.04907796,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_45616336_45616393_45616625_45616703_45618060_45618247_ENCSR031RRO_CTRL-1,0.001,0.0012978306,-0.00036255087,0.0016603814,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_45616336_45616393_45617462_45617591_45618060_45618213_ENCSR031RRO_CTRL-1,0.001,0.001219357,-0.00036206766,0.0015814246,1.0
DDX6_1_binding,DDX6,1,K562,chr2_-_20350702_20350596_20331937_20331716_20327378_20327309_ENCSR031RRO_CTRL-1,-0.005,-0.013952871,0.029711774,-0.043664645,1.0
