Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
ELAVL1_1_binding,ELAVL1,1,K562,chr11_-_10808708_10808704_10807381_10807254_10806885_10806819_ENCSR031RRO_CTRL-1,-0.001,-0.001370834,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_756835_756556_751804_751704_748018_747919_ENCSR031RRO_CTRL-1,0.002,-0.0016194221,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr4_-_77075693_77075471_77066405_77066248_77058635_77058506_ENCSR031RRO_CTRL-1,-0.0,-0.0016673496,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr3_-_196072152_196072002_196071498_196071395_196069568_196069454_ENCSR031RRO_CTRL-1,-0.001,-0.0014597273,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr19_+_49496453_49496471_49497193_49497282_49497519_49498046_ENCSR031RRO_CTRL-1,-0.001,-0.0025343,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr7_-_26193373_26193250_26192577_26192494_26192338_26189926_ENCSR031RRO_CTRL-1,0.002,-0.0017097933,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1278633_1278567_1276087_1275965_ENCSR031RRO_CTRL-1,0.17,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1353462_1353406_1276077_1275965_ENCSR031RRO_CTRL-1,-0.027,-0.0017076619,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr20_+_49075317_49075520_49076979_49077064_49078560_49078622_ENCSR032YMP_CTRL-1,0.001,-0.0016031243,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr2_+_32463193_32463381_32464508_32464823_32465064_32465164_ENCSR031RRO_CTRL-1,-0.02,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_31919109_31918969_31915987_31915894_31908960_31906420_ENCSR031RRO_CTRL-1,0.003,-0.0015468209,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499456_110498859_110498819_110496203_110496011_ENCSR620PUP_CTRL-2,-0.101,-0.04206646,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr9_+_131228159_131228331_131229662_131229825_131230629_131230769_ENCSR031RRO_CTRL-1,-0.003,-0.001386387,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_151399589_151399727_151399980_151400185_151400441_151401355_ENCSR031RRO_CTRL-1,0.002,-0.001714826,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_70228421_70228555_70231094_70231203_70232267_70232377_ENCSR031RRO_CTRL-1,-0.019,-0.0014589883,0.30590491278349236
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499534_110496203_110496011_110493231_110492920_ENCSR084SCN_CTRL-1,0.005,-0.001740952,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr19_-_48616824_48616725_48616202_48616078_48615946_48615365_ENCSR031RRO_CTRL-1,0.0,-0.028232545,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1353462_1353406_1278633_1278567_ENCSR174OYC_CTRL-1,-0.076,-0.0017076619,0.9306705249420528
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_101714503_101714645_101716727_101716812_101723167_101723254_ENCSR031RRO_CTRL-1,0.003,-0.030039826,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr17_+_32350907_32351181_32351738_32351912_32358502_32358634_ENCSR032YMP_CTRL-1,-0.002,-0.0016194221,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr7_+_157253953_157254142_157254243_157254310_157256913_157257044_ENCSR031RRO_CTRL-1,-0.042,-0.0017124366,0.6315738253628952
ELAVL1_1_binding,ELAVL1,1,K562,chr5_+_139648660_139648845_139679846_139679940_139680363_139680556_ENCSR143COQ_CTRL-1,0.176,-0.0017123934,0.056481330692598974
ELAVL1_1_binding,ELAVL1,1,K562,chr22_+_20573677_20575232_20582610_20582747_20582839_20582967_ENCSR031RRO_CTRL-1,-0.01,-0.0016137508,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr21_-_33528604_33528514_33528335_33528166_33525000_33524008_ENCSR031RRO_CTRL-1,0.002,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr16_-_74909657_74909500_74908977_74908907_74904100_74903946_ENCSR031RRO_CTRL-1,-0.001,-0.0016843437,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499534_110497002_110496822_110496203_110496045_ENCSR031RRO_CTRL-1,-0.013,-0.007924552,0.52207253713025
ELAVL1_1_binding,ELAVL1,1,K562,chr19_-_48616824_48616725_48616220_48616078_48615946_48615876_ENCSR031RRO_CTRL-1,0.001,-0.034633964,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr15_+_75883365_75883424_75896994_75897061_75899426_75899494_ENCSR031RRO_CTRL-1,0.136,-0.0017124366,0.053784953612661265
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_227068701_227068653_227051985_227051880_227048010_227047926_ENCSR031RRO_CTRL-1,0.146,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr16_+_31189119_31189226_31189664_31189794_31190039_31190120_ENCSR031RRO_CTRL-1,-0.0,-0.0016194221,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr5_+_65926474_65926806_65988634_65988682_65992709_65992907_ENCSR031RRO_CTRL-1,0.013,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr16_-_57186022_57185820_57174688_57174619_57173869_57173727_ENCSR031RRO_CTRL-1,-0.406,-0.0016408205,1.70939790100537e-9
ELAVL1_1_binding,ELAVL1,1,K562,chr15_+_75883365_75883424_75890434_75890483_75896994_75897061_ENCSR031RRO_CTRL-1,-0.044,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_77722196_77722023_77721901_77721830_77721205_77721171_ENCSR031RRO_CTRL-1,0.022,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_31919109_31918969_31915987_31915894_31911826_31911695_ENCSR031RRO_CTRL-1,-0.002,-0.0015468209,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_31919368_31918969_31911826_31911695_31908960_31908657_ENCSR031RRO_CTRL-1,0.024,-0.0026944547,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1276077_1275965_1272511_1272441_ENCSR031RRO_CTRL-1,0.037,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_70228421_70228555_70231094_70231203_70231858_70231975_ENCSR031RRO_CTRL-1,-0.131,-0.0014589883,0.4170147827380099
ELAVL1_1_binding,ELAVL1,1,K562,chr3_+_182898606_182898772_182902480_182902566_182913860_182913994_ENCSR031RRO_CTRL-1,0.007,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_+_160356599_160356754_160357040_160357253_160358148_160358952_ENCSR031RRO_CTRL-1,-0.007,-0.0016485036,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr22_+_50208487_50208716_50210180_50210311_50210630_50210911_ENCSR031RRO_CTRL-1,-0.007,-0.03470671,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_-_110499546_110499534_110498859_110498819_110496203_110496011_ENCSR031RRO_CTRL-1,-0.105,-0.04206646,0.02441374110242104
ELAVL1_1_binding,ELAVL1,1,K562,chr2_+_227536624_227536704_227536900_227536993_227551958_227552117_ENCSR031RRO_CTRL-1,-0.006,-0.0016930889,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr21_-_33528604_33528518_33528335_33528166_33525000_33524008_ENCSR031RRO_CTRL-1,0.002,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_77722196_77722023_77721925_77721830_77721205_77721171_ENCSR031RRO_CTRL-1,0.021,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr11_+_63906087_63906114_63908259_63908304_63908876_63909237_ENCSR031RRO_CTRL-2,-0.024,-0.001602019,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr7_-_12370864_12370655_12370509_12369544_12367493_12367356_ENCSR031RRO_CTRL-1,0.006,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr18_-_1358760_1358725_1278633_1278567_1276077_1275965_ENCSR031RRO_CTRL-1,0.111,-0.0017124366,0.2661631639168268
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_101714503_101714645_101714883_101715076_101716727_101716812_ENCSR031RRO_CTRL-1,-0.004,-0.033948503,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr19_+_49497193_49497595_49497916_49498046_49499511_49499688_ENCSR129RWD_CTRL-1,-0.0,-0.018416937,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr4_+_94208345_94208584_94213034_94213152_94226118_94226296_ENCSR084SCN_CTRL-1,-0.0,-0.0017124366,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr12_+_53467722_53468832_53471637_53471807_53479405_53479614_ENCSR031RRO_CTRL-1,-0.0,-0.042740487,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr11_-_47500932_47500860_47499604_47499452_47489024_47488836_ENCSR031RRO_CTRL-1,0.011,-0.0017178394,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr7_+_120950748_120950924_120951163_120951235_120953303_120953404_ENCSR031RRO_CTRL-1,0.002,-0.0016957592,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr3_-_197116083_197115926_197105005_197104902_197091026_197090911_ENCSR031RRO_CTRL-1,-0.007,-0.0017322073,1.0
ELAVL1_1_binding,ELAVL1,1,K562,chr1_-_155815900_155815804_155814449_155814329_155805141_155804948_ENCSR032YMP_CTRL-1,-0.012,-0.0016957592,1.0
