ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
27598	"ENSG00000132780.12"	"NASP"	chr1	+	46072992	46074009	46072153	46072263	46078840	46078920	27598	665,526	114,64	391,479	281,280	197	99	0.0	0.0	0.746,0.805	0.412,0.462	0.339
17998	"ENSG00000047849.17"	"MAP4"	chr3	-	47950527	47953911	47918906	47919013	47956306	47956429	17998	41,38	318,340	4,2	418,495	197	99	1.11022302463e-16	2.34212649276e-12	0.061,0.053	0.005,0.002	0.053
49422	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186506098	186506209	186505542	186505671	186506913	186507080	49422	283,218	330,229	275,299	767,880	197	99	9.11493103217e-14	1.28192390036e-09	0.301,0.324	0.153,0.146	0.163
49421	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186506098	186506205	186505542	186505671	186506913	186507670	49421	221,173	330,229	203,246	767,880	197	99	3.19744231092e-13	3.37266214956e-09	0.252,0.275	0.117,0.123	0.144
61640	"ENSG00000029363.11"	"BCLAF1"	chr6	-	136588166	136588313	136582402	136582615	136589299	136589477	61640	504,522	279,226	517,608	109,120	197	99	6.95150603747e-11	5.86595885466e-07	0.476,0.537	0.704,0.718	-0.205
14411	"ENSG00000137807.9"	"KIF23"	chr15	+	69733106	69733418	69732646	69732826	69737128	69737380	14411	77,49	148,166	99,122	72,96	197	99	9.89139881113e-11	6.95563164399e-07	0.207,0.129	0.409,0.39	-0.231
46090	"ENSG00000136754.12"	"ABI1"	chr10	-	27047990	27048164	27040526	27040712	27054146	27054247	46090	148,98	83,73	209,214	27,46	197	99	2.91212276515e-10	1.75526119582e-06	0.473,0.403	0.796,0.7	-0.31
46974	"ENSG00000119640.4"	"ACYP1"	chr14	-	75528386	75528465	75519945	75520362	75530172	75530264	46974	22,9	39,39	4,7	156,145	177	99	7.4267247907e-10	3.91685465462e-06	0.24,0.114	0.014,0.026	0.157
10597	"ENSG00000104852.10"	"SNRNP70"	chr19	+	49605370	49606844	49604646	49604728	49607890	49607992	10597	75,87	326,256	50,54	507,525	197	99	1.27662602711e-09	5.82746413205e-06	0.104,0.146	0.047,0.049	0.077
49423	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186506080	186506209	186505542	186505671	186506913	186507080	49423	116,76	330,229	111,118	767,880	197	99	1.3811775057e-09	5.82746413205e-06	0.15,0.143	0.068,0.063	0.081
53042	"ENSG00000265681.2"	"RPL17"	chr18	-	47018105	47018203	47017886	47017954	47018644	47018769	53042	126,139	97,119	406,421	143,101	196	99	1.81721127035e-09	6.97016162896e-06	0.396,0.371	0.589,0.678	-0.25
10596	"ENSG00000104852.10"	"SNRNP70"	chr19	+	49605370	49605442	49604646	49604728	49607890	49607992	10596	56,63	326,256	31,41	507,525	170	99	6.01786864785e-09	1.95312241531e-05	0.091,0.125	0.034,0.044	0.069
10603	"ENSG00000104852.10"	"SNRNP70"	chr19	+	49605370	49605430	49604646	49604728	49607890	49607992	10603	52,60	326,256	28,38	507,525	158	99	5.89189053102e-09	1.95312241531e-05	0.091,0.128	0.033,0.043	0.072
46093	"ENSG00000136754.12"	"ABI1"	chr10	-	27047990	27048167	27040526	27040712	27054146	27054247	46093	199,119	83,73	237,255	27,46	197	99	7.76552211423e-09	2.34030649317e-05	0.546,0.45	0.815,0.736	-0.277
57835	"ENSG00000131626.11"	"PPFIA1"	chr11	+	70196028	70196145	70194294	70194526	70200406	70200558	57835	81,83	107,99	24,41	125,128	197	99	1.22846609552e-08	3.45542943348e-05	0.276,0.296	0.088,0.139	0.173
18377	"ENSG00000197746.9"	"PSAP"	chr10	-	73578814	73578868	73578378	73578481	73579221	73579379	18377	136,113	14,11	250,243	0,3	152	99	2.25501599616e-08	5.285757495e-05	0.864,0.87	1.0,0.981	-0.123
34264	"ENSG00000092199.13"	"HNRNPC"	chr14	-	21731778	21731988	21731469	21731495	21737456	21737548	34264	377,247	362,386	186,245	620,621	197	99	2.09187037692e-08	5.285757495e-05	0.344,0.243	0.131,0.165	0.145
63433	"ENSG00000125952.14"	"MAX"	chr14	-	65544073	65544146	65543326	65543381	65544630	65544754	63433	7,5	318,279	29,15	185,173	171	99	2.21576335058e-08	5.285757495e-05	0.013,0.01	0.083,0.048	-0.054
61866	"ENSG00000178982.5"	"EIF3K"	chr19	+	39110976	39111075	39109850	39109967	39114716	39114837	61866	2869,2552	117,177	3311,3453	81,86	197	99	2.45940000587e-08	5.4614213183e-05	0.925,0.879	0.954,0.953	-0.051
34248	"ENSG00000092199.13"	"HNRNPC"	chr14	-	21731825	21731988	21731469	21731495	21737456	21737565	34248	377,246	362,386	188,244	620,621	197	99	2.83237174825e-08	5.97517144011e-05	0.344,0.243	0.132,0.165	0.145
24619	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	684956	684718	684797	685280	685340	24619	131,146	39,37	204,205	10,19	166	99	3.65591066309e-08	7.3452467951e-05	0.667,0.702	0.924,0.865	-0.21
46084	"ENSG00000136754.12"	"ABI1"	chr10	-	27048014	27048164	27040526	27040712	27054146	27054247	46084	20,17	83,73	49,42	27,46	197	99	6.3954116003e-08	0.000122652366473	0.108,0.105	0.477,0.315	-0.29
24628	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	685063	684718	684797	685280	685340	24628	165,174	39,37	242,236	10,19	197	99	8.50204376901e-08	0.000149465929459	0.68,0.703	0.924,0.862	-0.202
24630	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	685012	684718	684797	685280	685340	24630	141,160	39,37	215,214	10,19	197	99	8.37355651484e-08	0.000149465929459	0.645,0.685	0.915,0.85	-0.218
20976	"ENSG00000172889.11"	"EGFL7"	chr9	+	139564057	139564173	139563008	139563125	139564365	139564461	20976	97,90	26,18	306,331	13,25	197	99	1.04073846874e-07	0.000175643349892	0.652,0.715	0.922,0.869	-0.212
32793	"ENSG00000066279.12"	"ASPM"	chr1	-	197069560	197074315	197065127	197065294	197086918	197087113	32793	107,89	1,1	107,126	25,19	197	99	1.35140475699e-07	0.000219301805796	0.982,0.978	0.683,0.769	0.254
