Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
FXR2_1_binding,FXR2,1,HepG2,chr9_+_128584281_128584525_128584720_128584843_128585747_128585965_ENCSR003EKR_CTRL-1,-0.007,0.010978424,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_3778172_3778010_3777657_3777612_3774693_3774568_ENCSR003EKR_CTRL-1,-0.071,-0.011069449,1.0
FXR2_1_binding,FXR2,1,HepG2,chr12_-_292925_292758_286207_286125_285662_285455_ENCSR003EKR_CTRL-1,-0.34,-0.01209758,0.29887494584394825
FXR2_1_binding,FXR2,1,HepG2,chr2_+_135770570_135770735_135772419_135772547_135778947_135779079_ENCSR067GHD_CTRL-1,0.022,-0.020664707,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_+_2758469_2758547_2758984_2759047_2759139_2759172_ENCSR003EKR_CTRL-1,-0.005,0.010741885,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_8963422_8963206_8930397_8930292_8923413_8923214_ENCSR003EKR_CTRL-1,0.006,-0.010049497,1.0
FXR2_1_binding,FXR2,1,HepG2,chr20_+_3017815_3017913_3021308_3021428_3024471_3024621_ENCSR003EKR_CTRL-1,0.416,-0.037756186,6.73949157764436e-6
FXR2_1_binding,FXR2,1,HepG2,chr17_+_50746541_50746702_50749218_50749344_50750500_50750550_ENCSR003EKR_CTRL-1,-0.023,0.0349269,0.5260357896284722
FXR2_1_binding,FXR2,1,HepG2,chr2_-_61223296_61223247_61223164_61223059_61222663_61222618_ENCSR003EKR_CTRL-1,-0.012,-0.0051458585,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_58549898_58549718_58547682_58547565_58547296_58547185_ENCSR003EKR_CTRL-1,-0.012,0.014545073,1.0
FXR2_1_binding,FXR2,1,HepG2,chr21_+_37147480_37147603_37148545_37148647_37150077_37150170_ENCSR003EKR_CTRL-1,-0.012,-0.010129036,1.0
FXR2_1_binding,FXR2,1,HepG2,chr6_-_159780566_159780442_159779790_159779626_159779261_159778497_ENCSR067GHD_CTRL-1,-0.003,-0.011069449,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_-_53906693_53906597_53904156_53904024_53901559_53901349_ENCSR067GHD_CTRL-1,0.039,-0.0110359,1.0
