Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
NOLC1_1_binding,NOLC1,1,HepG2,chr4_+_73449334_73449467_73450035_73450133_73450614_73450753_ENCSR003EKR_CTRL-1,-0.0,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr4_+_73418087_73418311_73419506_73419639_73420253_73420321_ENCSR003EKR_CTRL-1,-0.0,-0.020203497,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_215388301_215388211_215386958_215386688_215384976_215384019_ENCSR003EKR_CTRL-1,-0.0,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr12_+_6510628_6510810_6511109_6511252_6514264_6514392_ENCSR104ABF_CTRL-1,0.016,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_215431964_215431832_215430852_215430714_215428338_215428179_ENCSR093ERJ_CTRL-1,-0.0,-0.020203497,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr4_-_82898062_82897988_82895774_82895691_82894847_82893008_ENCSR042QTH_CTRL-1,0.016,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr4_+_73406628_73406761_73408593_73408805_73409354_73409362_ENCSR003EKR_CTRL-1,-0.0,-0.022826685,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr3_+_133753594_133753703_133754494_133754671_133755362_133755495_ENCSR042QTH_CTRL-1,-0.0,-0.020203497,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_215397848_215397679_215397223_215397136_215394719_215394527_ENCSR067GHD_CTRL-1,-0.0,-0.020636136,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_21012651_21005079_21004675_21004560_21004452_21004268_ENCSR003EKR_CTRL-1,-0.0,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr3_+_133753594_133753703_133754502_133754671_133755362_133755414_ENCSR042QTH_CTRL-1,-0.0,-0.020203497,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_21015260_21015072_21014593_21014447_21013533_21013159_ENCSR003EKR_CTRL-1,-0.0,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr6_+_31835410_31835451_31836423_31836517_31837235_31837435_ENCSR003EKR_CTRL-1,0.019,-0.00009584833,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr19_-_50802257_50802216_50801349_50801182_50799357_50799293_ENCSR067GHD_CTRL-1,0.002,-0.000102744205,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr1_-_173866567_173866527_173866206_173866176_173865894_173865856_ENCSR003EKR_CTRL-1,-0.009,-0.00009308635,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_215383483_215383327_215381080_215380810_215379317_215379129_ENCSR003EKR_CTRL-1,-0.0,-0.019685658,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr6_+_31835410_31835451_31836298_31836517_31837235_31837435_ENCSR003EKR_CTRL-1,0.014,-0.00009584833,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr20_+_2656639_2656895_2657080_2657218_2657928_2658393_ENCSR003EKR_CTRL-1,-0.003,-0.00009308635,1.0
NOLC1_1_binding,NOLC1,1,HepG2,chr2_-_215370432_215370293_215368027_215367862_215365630_215365504_ENCSR003EKR_CTRL-1,-0.0,-0.022826685,1.0
