Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
RNF187_1_binding,RNF187,1,K562,chr11_+_93721953_93722050_93723040_93723289_93725650_93725831_ENCSR032YMP_CTRL-1,0.011,0.0,1.0
RNF187_1_binding,RNF187,1,K562,chr11_+_93721953_93722050_93724253_93724375_93725650_93725831_ENCSR092WKG_CTRL-1,0.016,0.0,1.0
RNF187_1_binding,RNF187,1,K562,chr11_+_93721953_93722050_93723040_93723289_93724253_93724375_ENCSR031RRO_CTRL-1,-0.02,0.0,1.0
RNF187_2_binding,RNF187,2,K562,chr16_+_10387377_10387494_10428867_10429016_10430610_10430672_ENCSR129RWD_CTRL-1,0.025,0.0,1.0
RNF187_3_binding,RNF187,3,K562,chr11_+_93721311_93721412_93721953_93722050_93723040_93723289_ENCSR031RRO_CTRL-1,0.036,0.0,0.977143311634108
RNF187_4_binding,RNF187,4,K562,chr16_+_10386054_10386122_10387377_10387494_10428867_10429016_ENCSR620PUP_CTRL-2,-0.015,0.0,1.0
RNF187_4_binding,RNF187,4,K562,chr16_+_10386054_10386122_10387377_10387494_10414573_10414612_ENCSR620PUP_CTRL-2,0.084,0.0,1.0
RNF187_5_binding,RNF187,5,K562,chr7_-_1436856_1436741_1435147_1435100_1434672_1434359_ENCSR031RRO_CTRL-1,0.011,0.0,1.0
RNF187_6_binding,RNF187,6,K562,chr18_-_77993698_77993634_77989914_77989818_77972513_77971813_ENCSR031RRO_CTRL-1,-0.017,0.022109374,1.0
RNF187_6_binding,RNF187,6,K562,chr19_+_28606687_28607104_28610981_28612154_28612438_28615229_ENCSR031RRO_CTRL-1,-0.018,-0.07744205,1.0
RNF187_6_binding,RNF187,6,K562,chr1_-_224398226_224398096_224394013_224393827_224389860_224385142_ENCSR031RRO_CTRL-1,0.003,-0.0015951619,1.0
RNF187_6_binding,RNF187,6,K562,chr18_-_77993698_77993634_77990174_77990092_77972513_77971813_ENCSR031RRO_CTRL-1,-0.006,0.022109374,1.0
RNF187_6_binding,RNF187,6,K562,chr4_-_82426129_82426036_82425667_82425562_82424883_82424628_ENCSR031RRO_CTRL-1,0.076,-0.013360061,0.0033205151873944272
RNF187_6_binding,RNF187,6,K562,chr18_-_77990174_77990092_77989914_77989818_77972513_77971813_ENCSR031RRO_CTRL-1,0.004,0.022109374,1.0
RNF187_6_binding,RNF187,6,K562,chr17_+_50750746_50750852_50751296_50751362_50752199_50752585_ENCSR031RRO_CTRL-1,0.065,-0.0016333415,0.7686510938041465
RNF187_6_binding,RNF187,6,K562,chr19_-_18994486_18994365_18991553_18991339_18991149_18990892_ENCSR129RWD_CTRL-1,0.013,-0.048173856,1.0
RNF187_6_binding,RNF187,6,K562,chr1_-_224398593_224398514_224398226_224398096_224389860_224385142_ENCSR032YMP_CTRL-1,0.002,-0.001635157,1.0
RNF187_6_binding,RNF187,6,K562,chr19_+_28610259_28610331_28610981_28612154_28612438_28615229_ENCSR031RRO_CTRL-1,0.001,-0.075966015,1.0
RNF187_6_binding,RNF187,6,K562,chr1_+_110894308_110894401_110894959_110895055_110899123_110899851_ENCSR031RRO_CTRL-1,0.002,-0.0015913403,1.0
RNF187_6_binding,RNF187,6,K562,chr13_-_110906124_110906032_110894202_110894108_110893263_110892691_ENCSR031RRO_CTRL-2,0.114,-0.0016327592,0.14098427955133144
RNF187_6_binding,RNF187,6,K562,chr1_-_150578963_150578842_150578491_150578243_150577491_150574550_ENCSR031RRO_CTRL-1,0.01,-0.0016274564,1.0
RNF187_6_binding,RNF187,6,K562,chr1_-_77946576_77946529_77945642_77945505_77944269_77944054_ENCSR031RRO_CTRL-1,0.017,-0.001635013,1.0
RNF187_6_binding,RNF187,6,K562,chr15_-_90969623_90969523_90969120_90969078_90966653_90966464_ENCSR620PUP_CTRL-2,0.232,-0.0016331599,0.3130009019121819
RNF187_6_binding,RNF187,6,K562,chr15_-_90969623_90969446_90969120_90969078_90966653_90966464_ENCSR031RRO_CTRL-2,-0.038,-0.0016331599,1.0
RNF187_6_binding,RNF187,6,K562,chr6_-_35842604_35842534_35838429_35838336_35835488_35832965_ENCSR031RRO_CTRL-1,-0.006,-0.0014417605,1.0
RNF187_6_binding,RNF187,6,K562,chr19_+_28606687_28607104_28610259_28610331_28612438_28615229_ENCSR031RRO_CTRL-1,-0.08,-0.07956071,0.0012682463406677785
RNF187_6_binding,RNF187,6,K562,chr13_-_110900739_110900529_110894202_110894108_110893263_110892691_ENCSR084SCN_CTRL-1,0.124,-0.0016327592,0.25779006160761375
