Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SAFB_2_binding,SAFB,2,HepG2,chr4_-_17810758_17810446_17805225_17805106_17804771_17800654_ENCSR003EKR_CTRL-2,0.059,0.0,1.0
SAFB_2_binding,SAFB,2,HepG2,chr11_+_65581898_65581965_65583591_65583765_65584240_65584398_ENCSR067GHD_CTRL-1,-0.025,0.0,1.0
SAFB_2_binding,SAFB,2,HepG2,chr10_-_1049170_1048863_1044171_1043998_1043393_1043300_ENCSR003EKR_CTRL-1,-0.033,0.0,0.08683630267598637
SAFB_2_binding,SAFB,2,HepG2,chr4_-_17810758_17810446_17805225_17805106_17804756_17804311_ENCSR042QTH_CTRL-1,-0.088,0.0,1.0
SAFB_3_binding,SAFB,3,HepG2,chr8_+_9770130_9770262_9772368_9772423_9776649_9777036_ENCSR003EKR_CTRL-1,-0.012,0.0,1.0
SAFB_6_binding,SAFB,6,HepG2,chr18_+_3594111_3594240_3594419_3594484_3597175_3597372_ENCSR042QTH_CTRL-1,-0.028,0.0,1.0
SAFB_1_binding,SAFB,1,K562,chr9_-_123268564_123268435_123236966_123236829_123184298_123184131_ENCSR031RRO_CTRL-1,0.149,0.0,0.21150158314649575
SAFB_2_binding,SAFB,2,K562,chr11_+_65581898_65581965_65583591_65583765_65584240_65584398_ENCSR031RRO_CTRL-1,0.028,0.0,1.0
SAFB_2_binding,SAFB,2,K562,chr9_-_123268564_123268435_123236966_123236829_123184298_123184131_ENCSR031RRO_CTRL-1,0.149,0.0,0.21150158314649575
SAFB_3_binding,SAFB,3,K562,chr17_+_50737286_50737479_50738136_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,-0.142,-2.3634207,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001475_90001561_90005291_90005369_90017123_90017326_ENCSR031RRO_CTRL-1,0.008,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001476_90001561_90005447_90005845_90017123_90017326_ENCSR031RRO_CTRL-1,-0.006,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001476_90001561_90005447_90005731_90017123_90017326_ENCSR031RRO_CTRL-1,-0.004,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr17_-_29294118_29293782_29287716_29285991_29267530_29267497_ENCSR031RRO_CTRL-1,-0.005,-2.1606147,1.0
SAFB_3_binding,SAFB,3,K562,chr17_+_50736959_50737026_50738140_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,0.009,-2.3686726,1.0
SAFB_4_binding,SAFB,4,K562,chr17_+_50737286_50737479_50738136_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,-0.142,0.0010589936,1.0
SAFB_4_binding,SAFB,4,K562,chr7_+_128812707_128812929_128815794_128815931_128821798_128821885_ENCSR718EWL_CTRL-1,-0.083,0.0000010052142,1.0
SAFB_4_binding,SAFB,4,K562,chr17_+_50736959_50737026_50738140_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,0.009,0.0010589936,1.0
