Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049250_76049199_76048464_76048420_76047718_76046903_ENCSR031RRO_CTRL-1,-0.002,-0.018274996,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18436877_18436683_18436479_18436329_ENCSR031RRO_CTRL-1,0.025,-0.005524229,1.0
SRSF7_1_binding,SRSF7,1,K562,chr15_+_75868950_75869010_75873427_75873568_75876186_75876271_ENCSR031RRO_CTRL-1,0.004,-0.04985031,1.0
SRSF7_1_binding,SRSF7,1,K562,chr18_-_77990174_77990092_77989914_77989818_77986997_77986873_ENCSR031RRO_CTRL-1,0.001,-0.0008947583,1.0
SRSF7_1_binding,SRSF7,1,K562,chr2_+_85541828_85541972_85542154_85542373_85542564_85542747_ENCSR129RWD_CTRL-1,-0.0,-0.017875236,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_+_670455_670557_670674_670773_670891_670940_ENCSR031RRO_CTRL-1,0.04,-0.004226604,0.21628697785323672
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437105_18436972_18436877_18436683_ENCSR031RRO_CTRL-1,-0.046,-0.0056258407,0.7220312022295003
SRSF7_1_binding,SRSF7,1,K562,chr20_-_35742236_35741940_35740887_35738967_35732135_35731940_ENCSR031RRO_CTRL-1,0.006,-0.0013716936,1.0
SRSF7_1_binding,SRSF7,1,K562,chr22_+_20043354_20043443_20047969_20048328_20052464_20052584_ENCSR031RRO_CTRL-1,-0.008,-0.0008915123,1.0
SRSF7_1_binding,SRSF7,1,K562,chr3_-_47781881_47781602_47772936_47772816_47745993_47745907_ENCSR031RRO_CTRL-1,-0.009,-0.0037810253,1.0
SRSF7_1_binding,SRSF7,1,K562,chr7_+_139376061_139376156_139398598_139398697_139402136_139402247_ENCSR031RRO_CTRL-1,-0.003,-0.018558988,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95483214_95483280_95485947_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,0.043,-0.061750084,1.0
SRSF7_1_binding,SRSF7,1,K562,chr2_-_27383600_27383365_27382605_27382475_27382228_27382125_ENCSR031RRO_CTRL-1,0.006,-0.030151173,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437760_18437598_18436479_18436329_ENCSR031RRO_CTRL-1,0.036,-0.005539684,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049250_76049199_76048464_76048392_76047718_76044901_ENCSR031RRO_CTRL-1,-0.001,-0.017414635,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_+_89588674_89588808_89589896_89589951_89591006_89591058_ENCSR031RRO_CTRL-1,0.004,-0.00076557073,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33446643_33446764_33448540_33448731_ENCSR031RRO_CTRL-1,-0.001,-0.0190256,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95485878_95485981_95494055_95494217_95494956_95494974_ENCSR815CVQ_CTRL-1,0.002,-0.017326182,1.0
SRSF7_1_binding,SRSF7,1,K562,chr10_+_68765887_68766079_68771205_68771445_68772987_68773099_ENCSR031RRO_CTRL-1,-0.001,-0.0064927503,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_+_98015725_98015781_98016728_98016851_98018484_98018704_ENCSR032YMP_CTRL-1,0.007,-0.02821926,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206724_54207397_54207644_ENCSR031RRO_CTRL-1,0.02,-0.0054376367,0.41028103660185966
SRSF7_1_binding,SRSF7,1,K562,chr10_+_42802136_42802218_42816598_42816672_42817317_42817494_ENCSR031RRO_CTRL-1,0.031,-0.00084117684,0.07307248089990634
SRSF7_1_binding,SRSF7,1,K562,chr19_-_2328477_2328386_2326139_2325979_2324196_2324124_ENCSR031RRO_CTRL-1,0.001,-0.0018918493,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437105_18436972_18436479_18436329_ENCSR092WKG_CTRL-2,0.023,-0.0056181373,1.0
SRSF7_1_binding,SRSF7,1,K562,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR031RRO_CTRL-1,0.012,-0.000839205,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_95752238_95752350_95755395_95755761_95763507_95763542_ENCSR031RRO_CTRL-1,-0.001,-0.02782252,1.0
SRSF7_1_binding,SRSF7,1,K562,chr20_-_35714251_35714184_35713096_35713018_35709256_35709032_ENCSR031RRO_CTRL-1,0.009,-0.043385305,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50750500_50750694_50752199_50752709_ENCSR129RWD_CTRL-1,-0.0,-0.006810859,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437760_18437598_18437105_18436329_ENCSR031RRO_CTRL-1,0.005,-0.0036669194,1.0
