Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_+_135651729_135652032_135661269_135661393_135675331_135675486_ENCSR031RRO_CTRL-1,-0.003,-0.015223485,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr6_-_53291963_53291775_53290535_53290400_53276256_53276178_ENCSR031RRO_CTRL-1,-0.0,-0.031779308,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR031RRO_CTRL-1,-0.033,-0.009290202,0.9842939970590081
IGF2BP1_1_binding,IGF2BP1,1,K562,chr12_+_53462480_53462567_53465931_53465973_53467220_53467293_ENCSR031RRO_CTRL-1,-0.011,-0.033211708,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr10_+_28614566_28614685_28616175_28616362_28617656_28617784_ENCSR031RRO_CTRL-1,-0.008,0.0018071204,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_-_65098066_65097970_65091078_65090982_65088690_65086854_ENCSR031RRO_CTRL-1,0.012,0.03456686,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr9_-_128190858_128190687_128185776_128185546_128180799_128180720_ENCSR031RRO_CTRL-1,0.018,-0.09034749,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr3_-_13373873_13373717_13372032_13371833_13366091_13365945_ENCSR031RRO_CTRL-1,0.004,-0.06870265,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr4_-_121819579_121819371_121818913_121818799_121818177_121818043_ENCSR031RRO_CTRL-1,0.0,-0.08141505,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr8_-_100717888_100717772_100715601_100715461_100713181_100713086_ENCSR031RRO_CTRL-1,-0.0,-0.014183369,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_-_61533903_61533771_61526521_61525491_61522683_61522610_ENCSR031RRO_CTRL-1,0.002,0.015784834,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr3_+_150411178_150411308_150438197_150438354_150457075_150457127_ENCSR031RRO_CTRL-1,-0.036,-0.04489518,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_+_159745769_159745937_159747804_159748903_159752401_159752571_ENCSR031RRO_CTRL-1,-0.002,0.007868639,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr9_-_128180523_128180414_128179415_128179243_128177763_128177587_ENCSR031RRO_CTRL-1,-0.002,-0.01578577,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr18_+_32123517_32123574_32124733_32124845_32126692_32126800_ENCSR031RRO_CTRL-1,0.007,-0.019327352,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr13_+_27430532_27430621_27432730_27432804_27434804_27435034_ENCSR031RRO_CTRL-1,0.002,-0.018133003,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_+_203380207_203380384_203391045_203391143_203394699_203394846_ENCSR032YMP_CTRL-1,-0.016,-0.009290202,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr14_+_96556174_96556413_96560648_96560711_96564954_96564988_ENCSR031RRO_CTRL-1,-0.024,-0.021700677,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr4_+_151102870_151103079_151104176_151104286_151104471_151104490_ENCSR031RRO_CTRL-1,0.001,-0.08606426,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr10_+_75219062_75219356_75220742_75220970_75222251_75222259_ENCSR032YMP_CTRL-1,0.002,-0.14356583,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr2_+_218228737_218228850_218234351_218234397_218238663_218238850_ENCSR031RRO_CTRL-1,0.014,0.016821291,0.7511445897916259
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_+_51750144_51750195_51752502_51752725_51760689_51760740_ENCSR031RRO_CTRL-1,-0.006,-0.0442946,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr3_-_51995106_51995041_51994857_51994772_51994126_51993627_ENCSR031RRO_CTRL-1,0.001,-0.17422548,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr11_+_75400693_75400824_75401639_75401733_75404019_75404207_ENCSR031RRO_CTRL-1,-0.0,-0.089429304,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_-_155188212_155188162_155188063_155188007_155187576_155187454_ENCSR032YMP_CTRL-1,0.016,0.033360433,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_-_202333555_202333449_202333335_202333236_202333093_202333009_ENCSR031RRO_CTRL-1,0.0,0.023394806,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr7_-_92234923_92234807_92234592_92234448_92226682_92226525_ENCSR031RRO_CTRL-1,-0.007,-0.020054959,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr3_+_9428822_9429009_9429826_9430051_9434276_9434485_ENCSR031RRO_CTRL-1,-0.013,-0.11536477,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr6_-_53291963_53291775_53277743_53277645_53276256_53276178_ENCSR031RRO_CTRL-1,0.002,-0.031779308,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr3_-_194428917_194428844_194427252_194427074_194425529_194425341_ENCSR031RRO_CTRL-1,0.008,-0.011003271,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_+_51761866_51761971_51765821_51765981_51772604_51772723_ENCSR032YMP_CTRL-1,-0.001,0.006239921,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr11_-_73720899_73720845_73718890_73718784_73716362_73716250_ENCSR031RRO_CTRL-1,-0.012,-0.009249939,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr22_+_16614076_16614178_16637039_16637090_16638578_16638740_ENCSR031RRO_CTRL-1,0.026,-0.015696827,0.6620936692938039
IGF2BP1_1_binding,IGF2BP1,1,K562,chr10_-_27149040_27148905_27136385_27136275_27134981_27134830_ENCSR031RRO_CTRL-1,0.019,0.011068861,0.9821769607200045
IGF2BP1_1_binding,IGF2BP1,1,K562,chr5_+_134661118_134661586_134666822_134666996_134671808_134671886_ENCSR031RRO_CTRL-1,-0.036,0.011176629,0.8790279952218183
IGF2BP1_1_binding,IGF2BP1,1,K562,chr5_+_146237297_146237432_146251710_146251875_146254942_146255092_ENCSR031RRO_CTRL-1,0.093,0.0095795365,0.7224190706540707
IGF2BP1_1_binding,IGF2BP1,1,K562,chr9_-_128180523_128180414_128179415_128179072_128178904_128178708_ENCSR031RRO_CTRL-1,-0.001,-0.013898134,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_-_155188212_155188162_155187858_155187721_155187576_155187454_ENCSR032YMP_CTRL-2,0.045,0.033360433,1.0
