Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
ZC3H11A_1_binding,ZC3H11A,1,K562,chr2_-_169540124_169540050_169538141_169538012_169531490_169531351_ENCSR031RRO_CTRL-1,0.028,-0.00002661701,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr19_+_58549330_58549650_58549736_58549860_58549948_58550035_ENCSR031RRO_CTRL-1,0.001,-0.000017617198,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr2_-_169538141_169538012_169537340_169537226_169531490_169531351_ENCSR032YMP_CTRL-1,0.004,-0.00002661701,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr1_-_19095652_19095544_19095025_19094905_19094139_19093948_ENCSR031RRO_CTRL-1,0.008,-0.00002661701,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr15_-_82538371_82538305_82538042_82537921_82536881_82536755_ENCSR031RRO_CTRL-1,-0.0,-0.0018924754,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr2_-_169540124_169540050_169538141_169538012_169537340_169537001_ENCSR031RRO_CTRL-1,0.024,-0.00002661701,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr1_-_51790649_51790532_51789657_51789567_51789433_51789190_ENCSR031RRO_CTRL-1,0.005,-0.00002661701,1.0
ZC3H11A_1_binding,ZC3H11A,1,K562,chr1_+_19623473_19623583_19625391_19625632_19626386_19626587_ENCSR031RRO_CTRL-1,0.002,-0.0018924754,1.0
ZC3H11A_2_binding,ZC3H11A,2,K562,chr19_+_18588994_18589077_18589412_18589683_18590853_18590933_ENCSR031RRO_CTRL-1,-0.053,0.0,0.5589795051514713
ZC3H11A_2_binding,ZC3H11A,2,K562,chr19_+_18588994_18589077_18589478_18589683_18590853_18590933_ENCSR031RRO_CTRL-1,-0.071,0.0,0.39529859291576
ZC3H11A_2_binding,ZC3H11A,2,K562,chr18_+_9124873_9124983_9126830_9126907_9134185_9134292_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,K562,chr15_-_82538371_82538305_82538042_82537921_82536881_82536755_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
ZC3H11A_2_binding,ZC3H11A,2,K562,chr19_+_18588994_18589077_18590853_18590933_18592107_18592327_ENCSR031RRO_CTRL-1,0.008,0.0,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr2_-_169540124_169540050_169538141_169538012_169531490_169531351_ENCSR031RRO_CTRL-1,0.028,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr14_-_102509791_102509528_102508846_102508640_102508549_102508474_ENCSR031RRO_CTRL-1,0.012,-0.0024559433,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_+_28835932_28836122_28836325_28836490_28836750_28837237_ENCSR031RRO_CTRL-1,-0.065,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr13_+_102674282_102674490_102676295_102676415_102678226_102678363_ENCSR031RRO_CTRL-1,-0.005,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr8_+_9770130_9770262_9772368_9772423_9776649_9777036_ENCSR031RRO_CTRL-1,-0.055,-0.0024559433,0.34162885131727583
ZC3H11A_3_binding,ZC3H11A,3,K562,chr1_+_19596976_19597109_19623473_19623583_19626386_19626606_ENCSR031RRO_CTRL-1,-0.014,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr19_+_58548987_58549240_58549330_58549650_58549948_58550035_ENCSR031RRO_CTRL-1,0.004,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr2_-_169540124_169540050_169538141_169538012_169537340_169537001_ENCSR031RRO_CTRL-1,0.024,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_-_1771410_1771268_1771171_1771069_1770993_1770880_ENCSR092WKG_CTRL-2,0.041,-0.000037670095,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_+_28835932_28836176_28836325_28836490_28836750_28837237_ENCSR143COQ_CTRL-1,0.104,-0.000057222598,0.8612334417904044
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_+_28835932_28836122_28836325_28836490_28836727_28837237_ENCSR031RRO_CTRL-1,0.057,-0.000057222598,0.3039078966943137
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_+_28835932_28836176_28836325_28836490_28836727_28837237_ENCSR031RRO_CTRL-1,-0.018,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr6_+_33414724_33414829_33414954_33415081_33415260_33415329_ENCSR031RRO_CTRL-2,-0.106,-0.00081762916,0.9216021140232485
ZC3H11A_3_binding,ZC3H11A,3,K562,chr1_+_19600786_19600971_19623473_19623583_19626386_19626606_ENCSR344XID_CTRL-1,-0.01,-0.000057222598,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr16_-_1771410_1771279_1771171_1771069_1770993_1770880_ENCSR143COQ_CTRL-1,0.016,-0.000037670095,1.0
ZC3H11A_3_binding,ZC3H11A,3,K562,chr6_+_33414724_33414829_33414954_33415144_33415234_33415329_ENCSR031RRO_CTRL-1,0.002,-0.00081762916,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr2_-_165949724_165949594_165945690_165945523_165943341_165943218_ENCSR031RRO_CTRL-1,0.065,0.13243353,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr17_+_35844279_35844368_35844476_35845038_35846905_35847234_ENCSR031RRO_CTRL-1,-0.012,0.1266409,0.4490757055679809
ZC3H11A_4_binding,ZC3H11A,4,K562,chr1_+_45566568_45566688_45566868_45567020_45567981_45568068_ENCSR031RRO_CTRL-1,0.003,0.13203724,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr18_+_9124873_9124983_9126830_9126907_9134185_9134292_ENCSR031RRO_CTRL-1,0.002,0.13240802,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr14_-_21211903_21211809_21211566_21211405_21211306_21210533_ENCSR031RRO_CTRL-1,0.001,0.12784748,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr7_-_54757594_54757494_54755881_54755778_54752420_54752249_ENCSR031RRO_CTRL-1,-0.0,0.12683704,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr11_+_294098_294196_294266_294478_294555_295258_ENCSR031RRO_CTRL-1,-0.012,0.13243176,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr19_+_18588724_18588900_18588994_18589077_18589412_18589683_ENCSR174OYC_CTRL-1,-0.014,0.13159396,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr18_+_9122512_9122681_9124873_9124983_9126830_9126907_ENCSR031RRO_CTRL-1,0.002,0.1305333,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr14_-_21211923_21211809_21211563_21211405_21211306_21210612_ENCSR031RRO_CTRL-1,0.004,0.12769744,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr11_+_294098_294196_294320_294478_294555_294732_ENCSR031RRO_CTRL-1,-0.018,0.13243176,0.6446983112308541
ZC3H11A_4_binding,ZC3H11A,4,K562,chr2_-_165949504_165949393_165945690_165945523_165943341_165943218_ENCSR031RRO_CTRL-1,0.002,0.13243353,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr19_+_18588724_18588900_18588994_18589077_18590853_18590933_ENCSR031RRO_CTRL-1,0.01,0.13248248,1.0
ZC3H11A_4_binding,ZC3H11A,4,K562,chr1_+_45561788_45561878_45566868_45567020_45567981_45568068_ENCSR031RRO_CTRL-1,0.017,0.132039,1.0
ZC3H11A_5_binding,ZC3H11A,5,K562,chr5_+_1802320_1802374_1814338_1814461_1815850_1816605_ENCSR031RRO_CTRL-1,-0.0,0.22751065,1.0
ZC3H11A_5_binding,ZC3H11A,5,K562,chr1_+_19600786_19600971_19622099_19622147_19623473_19623551_ENCSR084SCN_CTRL-1,-0.008,0.23611365,1.0
ZC3H11A_5_binding,ZC3H11A,5,K562,chr1_-_248854051_248853936_248850781_248850681_248850516_248850005_ENCSR031RRO_CTRL-1,-0.004,0.23339379,1.0
ZC3H11A_5_binding,ZC3H11A,5,K562,chr15_-_74938066_74937914_74929232_74929115_74920442_74920274_ENCSR129RWD_CTRL-1,0.001,0.24153602,1.0
ZC3H11A_5_binding,ZC3H11A,5,K562,chr7_-_1436856_1436741_1435147_1435100_1434672_1434359_ENCSR031RRO_CTRL-1,-0.021,0.20265085,0.10102207376947275
