Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
EIF3H_1_binding,EIF3H,1,HepG2,chr9_+_114270727_114270781_114275660_114275768_114282276_114282330_ENCSR003EKR_CTRL-1,-0.002,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr20_-_20616191_20616042_20611426_20611314_20605412_20605174_ENCSR003EKR_CTRL-1,0.024,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr20_-_35714389_35714184_35713857_35713701_35713096_35713018_ENCSR003EKR_CTRL-1,0.014,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr19_-_19010342_19009854_19008428_19008316_19004646_19004167_ENCSR003EKR_CTRL-1,-0.001,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr16_-_21520179_21519827_21487616_21487577_21484535_21484371_ENCSR067GHD_CTRL-2,0.044,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr8_+_25298943_25299101_25300575_25300657_25302324_25302454_ENCSR003EKR_CTRL-1,0.036,0.0,0.0,0.0,0.8329139913917469
EIF3H_1_binding,EIF3H,1,HepG2,chr19_-_10378426_10378213_10369877_10369756_10368418_10368328_ENCSR003EKR_CTRL-1,-0.067,0.0,0.0,0.0,0.05417016977375828
EIF3H_1_binding,EIF3H,1,HepG2,chr10_+_91984200_91984404_91989153_91989580_91992118_91992309_ENCSR003EKR_CTRL-1,0.001,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr10_+_21595330_21595440_21612347_21612451_21614830_21614924_ENCSR067GHD_CTRL-1,0.004,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr17_-_28633751_28633548_28633401_28633282_28633162_28632941_ENCSR067GHD_CTRL-1,-0.005,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr5_+_14297071_14297263_14304460_14304592_14316512_14316743_ENCSR067GHD_CTRL-1,0.014,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr1_+_39361359_39361677_39368147_39368314_39370029_39370186_ENCSR491FOC_CTRL-1,0.027,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr9_+_114302081_114302108_114304607_114304673_114306519_114306688_ENCSR042QTH_CTRL-1,0.003,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr16_-_2108358_2108251_2108032_2107882_2106948_2106804_ENCSR997HCQ_CTRL-2,-0.012,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr10_+_99818789_99818957_99819088_99819269_99830306_99830433_ENCSR003EKR_CTRL-1,-0.001,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,0.004,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr4_-_73177533_73177379_73169090_73168928_73161348_73161191_ENCSR003EKR_CTRL-2,-0.037,0.0,0.0,0.0,0.6122954120351717
EIF3H_1_binding,EIF3H,1,HepG2,chr4_-_84810344_84809886_84808417_84808333_84803467_84803289_ENCSR067GHD_CTRL-1,-0.007,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr12_-_112274960_112274846_112273795_112273654_112270459_112270226_ENCSR067GHD_CTRL-2,-0.014,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr4_+_73404300_73404406_73406628_73406761_73409354_73409487_ENCSR603TCV_CTRL-1,-0.1,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr3_-_146160991_146160880_146124229_146124137_146110448_146110284_ENCSR491FOC_CTRL-1,-0.0,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr3_+_58123092_58123690_58124331_58124505_58125580_58125743_ENCSR237YZT_CTRL-1,-0.0,0.0,0.0,0.0,1.0
EIF3H_1_binding,EIF3H,1,HepG2,chr18_+_31498042_31498296_31518238_31518274_31519802_31519937_ENCSR003EKR_CTRL-1,-0.013,0.0,0.0,0.0,1.0
