Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
ZNF800_1_binding,ZNF800,1,K562,chr2_-_231457800_231457642_231457357_231457285_231457124_231457000_ENCSR031RRO_CTRL-1,0.002,-0.016384786,1.0
ZNF800_1_binding,ZNF800,1,K562,chr8_-_116656005_116655855_116648926_116648805_116646603_116646470_ENCSR031RRO_CTRL-1,-0.005,-0.010871043,1.0
ZNF800_1_binding,ZNF800,1,K562,chr17_-_29086577_29086437_29085648_29085603_29082438_29082315_ENCSR031RRO_CTRL-1,0.011,-0.011035931,1.0
ZNF800_1_binding,ZNF800,1,K562,chr6_+_163563419_163563719_163565945_163566795_163570693_163573800_ENCSR031RRO_CTRL-1,-0.015,-0.0064804386,1.0
ZNF800_1_binding,ZNF800,1,K562,chr1_-_50596216_50596120_50567231_50567076_50539728_50539591_ENCSR344XID_CTRL-1,0.003,-0.0031881088,1.0
ZNF800_1_binding,ZNF800,1,K562,chr5_+_33445323_33445404_33446606_33446764_33448540_33448731_ENCSR031RRO_CTRL-1,0.002,-0.03690891,1.0
ZNF800_1_binding,ZNF800,1,K562,chr19_-_39433761_39433664_39433569_39433493_39433418_39433206_ENCSR031RRO_CTRL-1,-0.004,-0.042921472,1.0
ZNF800_1_binding,ZNF800,1,K562,chr11_+_9409927_9410086_9414254_9414411_9420410_9420505_ENCSR031RRO_CTRL-1,0.01,-0.051877256,1.0
ZNF800_1_binding,ZNF800,1,K562,chr10_+_100348063_100348346_100352365_100352496_100354426_100354632_ENCSR031RRO_CTRL-1,0.001,-0.046024214,1.0
ZNF800_1_binding,ZNF800,1,K562,chr19_+_10682536_10682704_10683124_10683262_10683365_10683542_ENCSR031RRO_CTRL-1,-0.001,-0.015074276,1.0
ZNF800_1_binding,ZNF800,1,K562,chr6_+_30579930_30580005_30580405_30580519_30582393_30582507_ENCSR032YMP_CTRL-1,0.002,-0.010354161,1.0
ZNF800_1_binding,ZNF800,1,K562,chr17_+_47974399_47975337_47975513_47976013_47976711_47976822_ENCSR031RRO_CTRL-1,0.001,0.014960656,1.0
ZNF800_1_binding,ZNF800,1,K562,chr11_+_763343_763519_763746_763940_764287_764433_ENCSR031RRO_CTRL-1,-0.004,-0.015784001,1.0
ZNF800_1_binding,ZNF800,1,K562,chr1_-_150226730_150226607_150223294_150223185_150220761_150220377_ENCSR031RRO_CTRL-1,0.003,-0.022137983,1.0
