Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
RBM5_1_binding,RBM5,1,HepG2,chr3_-_48629711_48629641_48628714_48628621_48628541_48628168_ENCSR042QTH_CTRL-1,-0.004,-0.0010028944,0.00001811799,-0.0010210123,1.0
RBM5_1_binding,RBM5,1,HepG2,chr5_-_179621035_179620891_179619407_179619268_179618323_179618144_ENCSR003EKR_CTRL-1,-0.036,-0.00065397855,0.0000118153985,-0.00066579395,0.13270422330456913
RBM5_1_binding,RBM5,1,HepG2,chr16_-_15047550_15047441_15044407_15044333_15041676_15041622_ENCSR003EKR_CTRL-1,-0.011,-0.0010028944,0.00001811799,-0.0010210123,1.0
RBM5_1_binding,RBM5,1,HepG2,chr4_-_10019073_10018974_9996941_9996780_9985793_9985668_ENCSR003EKR_CTRL-1,-0.141,-0.0010028944,0.00001811799,-0.0010210123,0.29026795877205974
RBM5_1_binding,RBM5,1,HepG2,chr3_+_186616442_186616527_186617186_186617350_186620585_186621318_ENCSR003EKR_CTRL-1,-0.0,-0.027076185,0.00048902695,-0.027565211,1.0
RBM5_1_binding,RBM5,1,HepG2,chr3_+_186616442_186616527_186619856_186619940_186620585_186621300_ENCSR003EKR_CTRL-1,-0.0,-0.027076185,0.00048902695,-0.027565211,1.0
RBM5_1_binding,RBM5,1,HepG2,chr3_+_186616442_186616527_186617183_186617350_186620585_186621300_ENCSR042QTH_CTRL-1,-0.066,-0.027076185,0.00048902695,-0.027565211,1.0
RBM5_1_binding,RBM5,1,HepG2,chr3_+_186616442_186616527_186617183_186617350_186619856_186619940_ENCSR042QTH_CTRL-1,0.172,-0.0010028944,0.00001811799,-0.0010210123,0.7713559657844133
RBM5_1_binding,RBM5,1,HepG2,chr12_+_6386346_6386444_6388397_6388505_6388799_6388825_ENCSR003EKR_CTRL-1,-0.013,-0.0010028944,0.00001811799,-0.0010210123,1.0
RBM5_1_binding,RBM5,1,HepG2,chr6_-_166946739_166946681_166943809_166943018_166939008_166938894_ENCSR003EKR_CTRL-1,-0.007,-0.0010028944,0.00001811799,-0.0010210123,1.0
RBM5_1_binding,RBM5,1,HepG2,chr12_+_6386346_6386444_6387797_6387910_6388397_6388505_ENCSR003EKR_CTRL-1,0.04,-0.0010028944,0.00001811799,-0.0010210123,0.07087609245776202
RBM5_1_binding,RBM5,1,HepG2,chr11_+_61341435_61341514_61341822_61341912_61342460_61342495_ENCSR003EKR_CTRL-1,-0.026,-0.0010028944,0.00001811799,-0.0010210123,1.0
RBM5_1_binding,RBM5,1,HepG2,chr16_-_87360366_87360294_87347250_87347173_87343765_87343597_ENCSR003EKR_CTRL-1,-0.006,-0.008933077,0.00016136467,-0.009094441,1.0
