Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
SRSF7_1_binding,SRSF7,1,K562,chr9_-_128273972_128273849_128272865_128272784_128268524_128268419_ENCSR031RRO_CTRL-1,0.02,-0.016129872,1.0
SRSF7_1_binding,SRSF7,1,K562,chr10_+_42802136_42802218_42816598_42816672_42817317_42817494_ENCSR031RRO_CTRL-1,0.031,-0.00083244697,0.07307248089990634
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049250_76049199_76048464_76048420_76047718_76046903_ENCSR031RRO_CTRL-1,-0.002,-0.017935012,1.0
SRSF7_1_binding,SRSF7,1,K562,chr3_-_47781881_47781602_47772936_47772816_47745993_47745907_ENCSR031RRO_CTRL-1,-0.009,-0.0037407298,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206462_54207397_54207647_ENCSR031RRO_CTRL-1,0.015,-0.0053923163,0.1952005895325281
SRSF7_1_binding,SRSF7,1,K562,chr16_+_670455_670557_670674_670773_670891_670940_ENCSR031RRO_CTRL-1,0.04,-0.0041683065,0.21628697785323672
SRSF7_1_binding,SRSF7,1,K562,chr17_-_28579406_28579364_28579252_28579140_28578752_28578009_ENCSR031RRO_CTRL-1,0.001,-0.013394443,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206552_54206724_54207397_54207522_ENCSR031RRO_CTRL-1,-0.064,-0.0037204374,0.8425380365556843
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33446606_33446764_33448540_33448731_ENCSR031RRO_CTRL-1,-0.006,-0.018123467,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206724_54207397_54207644_ENCSR031RRO_CTRL-1,0.02,-0.005385427,0.41028103660185966
SRSF7_1_binding,SRSF7,1,K562,chr10_-_101817866_101817823_101813606_101813554_101813127_101813029_ENCSR031RRO_CTRL-1,-0.013,-0.009640358,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_95752238_95752350_95763507_95763620_95768045_95768166_ENCSR031RRO_CTRL-1,0.012,-0.004398527,1.0
SRSF7_1_binding,SRSF7,1,K562,chr1_-_150235983_150235732_150229144_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,0.002,-0.005460736,1.0
SRSF7_1_binding,SRSF7,1,K562,chr20_-_35742236_35741940_35740887_35738967_35732135_35731940_ENCSR031RRO_CTRL-1,0.006,-0.0013486336,1.0
SRSF7_1_binding,SRSF7,1,K562,chr9_+_131135939_131136006_131139280_131139407_131140548_131140710_ENCSR031RRO_CTRL-1,0.0,-0.010528426,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_-_106559657_106559431_106557616_106557558_106557131_106557047_ENCSR031RRO_CTRL-1,0.028,-0.07690181,0.934255951909146
SRSF7_1_binding,SRSF7,1,K562,chr10_+_60785663_60785787_60788059_60788230_60791889_60791969_ENCSR031RRO_CTRL-1,-0.001,-0.0007109331,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18436877_18436683_18436479_18436329_ENCSR031RRO_CTRL-1,0.025,-0.005455275,1.0
SRSF7_1_binding,SRSF7,1,K562,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR031RRO_CTRL-1,0.012,-0.0008316149,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95483214_95483280_95485947_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,0.043,-0.057645172,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50750500_50750641_50750746_50750852_ENCSR031RRO_CTRL-1,-0.0,-0.0066637835,1.0
SRSF7_1_binding,SRSF7,1,K562,chr11_-_93736239_93736140_93734660_93734624_93733397_93732976_ENCSR031RRO_CTRL-1,0.018,-0.0054726484,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437105_18436972_18436877_18436683_ENCSR031RRO_CTRL-1,-0.046,-0.0055553787,0.7220312022295003
SRSF7_1_binding,SRSF7,1,K562,chr11_-_93736239_93736140_93734660_93734624_93733419_93733349_ENCSR031RRO_CTRL-1,0.009,-0.004164986,1.0
SRSF7_1_binding,SRSF7,1,K562,chr2_-_27383600_27383365_27382605_27382475_27382228_27382125_ENCSR031RRO_CTRL-1,0.006,-0.029620651,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_-_229374_229278_228402_228332_227336_227241_ENCSR031RRO_CTRL-1,-0.105,-0.0008831693,1.0
SRSF7_1_binding,SRSF7,1,K562,chr22_+_20043354_20043443_20047969_20048328_20052464_20052584_ENCSR031RRO_CTRL-1,-0.008,-0.0008828925,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50749218_50749344_50750500_50750550_ENCSR031RRO_CTRL-1,0.039,-0.009620411,0.002116408130070657
SRSF7_1_binding,SRSF7,1,K562,chr5_+_95752238_95752350_95755395_95755761_95763507_95763542_ENCSR031RRO_CTRL-1,-0.001,-0.027349692,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR031RRO_CTRL-1,0.008,-0.0008741437,1.0
