Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
NOLC1_1_binding,NOLC1,1,K562,chr11_+_32588593_32588732_32589011_32589135_32589546_32589603_ENCSR031RRO_CTRL-1,0.001,0.3015405,1.0
NOLC1_1_binding,NOLC1,1,K562,chr2_-_197497392_197497139_197495376_197495293_197494752_197494639_ENCSR031RRO_CTRL-1,0.001,0.33987972,1.0
NOLC1_1_binding,NOLC1,1,K562,chr6_+_158589671_158589782_158605266_158605347_158608332_158608463_ENCSR031RRO_CTRL-1,-0.016,0.32858413,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_+_122286038_122286166_122291748_122291840_122313226_122313330_ENCSR031RRO_CTRL-1,-0.015,0.29934704,1.0
NOLC1_1_binding,NOLC1,1,K562,chr8_-_100717888_100717772_100715601_100715461_100712789_100712651_ENCSR031RRO_CTRL-1,-0.0,0.2911084,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_173867043_173866990_173866206_173865856_173865547_173865352_ENCSR031RRO_CTRL-1,0.001,0.55931544,1.0
NOLC1_1_binding,NOLC1,1,K562,chr11_+_75402351_75402446_75404053_75404207_75404671_75404868_ENCSR031RRO_CTRL-1,-0.0,0.46264344,1.0
NOLC1_1_binding,NOLC1,1,K562,chr19_-_39846329_39846290_39840787_39840655_39840515_39840413_ENCSR031RRO_CTRL-1,-0.002,0.3191871,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_-_137112230_137112111_137112029_137111940_137111754_137111689_ENCSR031RRO_CTRL-1,0.0,0.2927875,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_173867043_173866990_173866796_173866527_173865547_173865167_ENCSR031RRO_CTRL-1,0.0,0.5158036,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_173867043_173866990_173866796_173866527_173865894_173865856_ENCSR032YMP_CTRL-1,0.0,0.4984521,1.0
NOLC1_1_binding,NOLC1,1,K562,chr11_+_32593865_32595013_32595965_32596047_32600688_32600793_ENCSR031RRO_CTRL-1,-0.0,0.3033146,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_-_110256466_110256411_110251462_110251357_110244843_110244777_ENCSR031RRO_CTRL-1,-0.002,0.29084876,1.0
NOLC1_1_binding,NOLC1,1,K562,chr6_+_158589671_158589782_158605266_158605347_158607243_158607343_ENCSR031RRO_CTRL-1,0.014,0.30528322,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_-_64376905_64376742_64373764_64373697_64366075_64365733_ENCSR031RRO_CTRL-1,-0.003,0.3024953,1.0
NOLC1_1_binding,NOLC1,1,K562,chr6_+_158589671_158589782_158607243_158607343_158608332_158608463_ENCSR031RRO_CTRL-1,-0.01,0.3289412,1.0
NOLC1_1_binding,NOLC1,1,K562,chr17_-_78121711_78121555_78121164_78121012_78113624_78113547_ENCSR143COQ_CTRL-1,-0.012,0.30893707,1.0
NOLC1_1_binding,NOLC1,1,K562,chr7_-_54757594_54757494_54755881_54755778_54752420_54752249_ENCSR031RRO_CTRL-1,-0.002,0.15205784,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_+_112574056_112575251_112645649_112645822_112659262_112665309_ENCSR143COQ_CTRL-1,0.046,0.30156362,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_51790649_51790532_51789657_51789567_51789433_51789190_ENCSR031RRO_CTRL-1,0.003,0.31198195,1.0
