Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
MORC2_1_binding,MORC2,1,K562,chr7_-_101244731_101244556_101244139_101244006_101240906_101240829_ENCSR031RRO_CTRL-1,-0.013,-0.003420553,1.0
MORC2_1_binding,MORC2,1,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.001,0.0034745634,1.0
MORC2_1_binding,MORC2,1,K562,chr7_-_1445428_1444651_1442484_1442191_1440684_1440590_ENCSR031RRO_CTRL-1,0.006,0.0037467568,1.0
MORC2_1_binding,MORC2,1,K562,chr5_-_181243880_181243691_181242345_181242169_181241563_181241491_ENCSR084SCN_CTRL-1,-0.018,-0.0073487437,0.0002419168794072582
MORC2_1_binding,MORC2,1,K562,chr18_-_46098279_46098171_46095131_46095052_46093365_46093179_ENCSR031RRO_CTRL-1,-0.001,0.0035758093,1.0
MORC2_1_binding,MORC2,1,K562,chr6_+_34236872_34236963_34237203_34237317_34240736_34240882_ENCSR031RRO_CTRL-1,0.167,-0.021294903,0.0000166788215238528
MORC2_1_binding,MORC2,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,0.016,0.0057193073,1.0
MORC2_1_binding,MORC2,1,K562,chr22_-_19122407_19122127_19089490_19089367_19068225_19068095_ENCSR031RRO_CTRL-1,-0.008,-0.014136044,1.0
MORC2_1_binding,MORC2,1,K562,chr20_+_50574516_50574654_50578419_50578629_50579167_50579329_ENCSR031RRO_CTRL-1,0.004,0.0037706294,1.0
MORC2_1_binding,MORC2,1,K562,chr18_-_46098279_46098171_46095131_46095052_46091851_46091681_ENCSR031RRO_CTRL-1,0.0,0.0035758093,1.0
MORC2_1_binding,MORC2,1,K562,chr18_+_9914612_9915065_9931809_9931962_9936109_9936157_ENCSR084SCN_CTRL-1,-0.001,0.0037706294,1.0
MORC2_1_binding,MORC2,1,K562,chr12_+_6534532_6534569_6534809_6534991_6536493_6536593_ENCSR031RRO_CTRL-1,-0.006,-0.015307295,1.0
MORC2_1_binding,MORC2,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.008,0.0036231566,1.0
MORC2_1_binding,MORC2,1,K562,chr17_-_75896558_75896523_75892850_75892754_75892500_75892266_ENCSR031RRO_CTRL-1,0.005,0.0035758093,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472449_26472627_26473459_26473527_26473702_26473732_ENCSR031RRO_CTRL-1,-0.002,0.3118176,1.0
MORC2_2_binding,MORC2,2,K562,chr1_-_241519761_241519590_241517316_241517181_241513713_241513602_ENCSR031RRO_CTRL-1,0.004,0.2919196,1.0
MORC2_2_binding,MORC2,2,K562,chr21_+_34073522_34073745_34125340_34125480_34142407_34143034_ENCSR031RRO_CTRL-1,-0.012,0.2851234,1.0
MORC2_2_binding,MORC2,2,K562,chr2_-_96894051_96893925_96878493_96878415_96878042_96877756_ENCSR031RRO_CTRL-1,-0.0,0.22585595,1.0
MORC2_2_binding,MORC2,2,K562,chr11_+_67583594_67583844_67584133_67584169_67584463_67584570_ENCSR031RRO_CTRL-1,-0.005,0.2787013,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472510_26472627_26473482_26473585_26473702_26473732_ENCSR031RRO_CTRL-1,-0.004,0.31743047,1.0
MORC2_2_binding,MORC2,2,K562,chr17_+_30709607_30709811_30759490_30759539_30766502_30766588_ENCSR154OBA_CTRL-1,-0.009,0.2976446,1.0
MORC2_2_binding,MORC2,2,K562,chr20_+_63278898_63278995_63281290_63281347_63284865_63284922_ENCSR129RWD_CTRL-1,-0.001,0.30888098,1.0
MORC2_2_binding,MORC2,2,K562,chr20_-_1185415_1185137_1183948_1183770_1181587_1181156_ENCSR031RRO_CTRL-1,-0.016,0.33379284,1.0
MORC2_2_binding,MORC2,2,K562,chr14_-_104795504_104795483_104793304_104793126_104792722_104792597_ENCSR031RRO_CTRL-1,-0.062,0.25987044,0.3909364100374055
MORC2_2_binding,MORC2,2,K562,chr19_-_49862281_49862184_49861881_49861771_49861695_49861607_ENCSR031RRO_CTRL-1,-0.03,0.29664016,1.0
MORC2_2_binding,MORC2,2,K562,chr11_+_64305571_64305736_64307167_64307504_64313950_64314067_ENCSR031RRO_CTRL-1,-0.004,0.31915122,1.0
MORC2_2_binding,MORC2,2,K562,chr5_-_40835212_40835182_40834606_40834470_40834265_40833878_ENCSR031RRO_CTRL-1,-0.0,0.2730124,1.0
MORC2_2_binding,MORC2,2,K562,chr17_+_30709298_30709811_30743300_30743369_30759490_30759539_ENCSR031RRO_CTRL-1,0.05,0.29981187,0.544616857456522
MORC2_2_binding,MORC2,2,K562,chr5_+_178204547_178205046_178205841_178206010_178206731_178206890_ENCSR031RRO_CTRL-1,0.001,0.33826637,1.0
MORC2_2_binding,MORC2,2,K562,chr1_-_5992447_5992243_5986327_5986154_5978413_5978269_ENCSR092WKG_CTRL-2,-0.032,0.31674823,1.0
MORC2_2_binding,MORC2,2,K562,chr14_-_104795751_104795483_104793210_104793126_104792722_104792597_ENCSR031RRO_CTRL-1,-0.066,0.25998524,0.36127371290192334
MORC2_2_binding,MORC2,2,K562,chr2_-_32010264_32010186_31943383_31943301_31932135_31932066_ENCSR031RRO_CTRL-1,0.003,0.29837114,1.0
MORC2_2_binding,MORC2,2,K562,chr8_-_144792587_144792365_144791914_144791772_144791495_144791276_ENCSR031RRO_CTRL-1,-0.001,0.27589557,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472476_26472627_26473482_26473527_26473702_26473732_ENCSR031RRO_CTRL-1,-0.0,0.3193488,1.0
