Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680415_155679512_155679408_ENCSR031RRO_CTRL-1,0.036,0.0,0.5845760165332211
EXOSC5_1_binding,EXOSC5,1,K562,chr16_-_89431326_89431255_89418368_89418283_89317075_89316932_ENCSR718EWL_CTRL-1,-0.004,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr15_+_92900188_92900824_92901166_92901299_92924320_92924552_ENCSR031RRO_CTRL-1,0.007,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_17412194_17412121_17410051_17409973_17409194_17406759_ENCSR031RRO_CTRL-1,0.006,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr11_-_2989197_2989128_2988126_2988076_2979237_2979206_ENCSR620PUP_CTRL-2,0.034,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr12_-_132827902_132827807_132827713_132827606_132822311_132822271_ENCSR129RWD_CTRL-2,-0.026,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680381_155679512_155679408_ENCSR031RRO_CTRL-1,0.122,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr11_-_2989268_2989128_2983813_2983745_2979237_2979206_ENCSR620PUP_CTRL-2,0.002,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr1_-_155688201_155688070_155680456_155680415_155680008_155679927_ENCSR143COQ_CTRL-1,-0.006,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr21_-_44861271_44861162_44856364_44856192_44851627_44849584_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr8_-_108242256_108242111_108241913_108241798_108240075_108239957_ENCSR031RRO_CTRL-1,-0.002,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr19_+_2199883_2199939_2202699_2202779_2208934_2208976_ENCSR031RRO_CTRL-1,0.027,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,K562,chr22_+_20573677_20575232_20582610_20582747_20582839_20582967_ENCSR031RRO_CTRL-1,-0.029,0.0,0.2133648899490599
EXOSC5_2_binding,EXOSC5,2,K562,chr7_+_99472840_99473056_99476402_99476480_99479660_99479787_ENCSR031RRO_CTRL-1,0.045,0.34846923,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_155562807_155562778_155562295_155562152_155521618_155521099_ENCSR143COQ_CTRL-1,-0.075,0.3811208,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_155688201_155688070_155680456_155680415_155679512_155679408_ENCSR031RRO_CTRL-1,0.036,0.342608,0.5845760165332211
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_155688698_155688658_155680456_155680415_155679512_155679408_ENCSR031RRO_CTRL-1,0.013,0.34623036,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr18_+_662145_662320_669071_669173_670691_670867_ENCSR031RRO_CTRL-1,0.001,0.36705303,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_77759689_77759642_77746556_77746398_77745599_77745420_ENCSR031RRO_CTRL-1,0.015,0.34846923,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr11_-_2989197_2989128_2988126_2988076_2979237_2979206_ENCSR620PUP_CTRL-2,0.034,0.39536858,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr18_+_2655737_2656261_2666156_2666232_2666869_2667031_ENCSR031RRO_CTRL-1,0.028,0.3402643,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr6_-_18263996_18263842_18258405_18258303_18258062_18257952_ENCSR031RRO_CTRL-1,-0.001,0.34736648,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr5_+_171387880_171388006_171390074_171390130_171391304_171391369_ENCSR031RRO_CTRL-1,-0.001,0.3414003,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr1_-_44355238_44354891_44339322_44339044_44319744_44319627_ENCSR031RRO_CTRL-1,-0.025,0.37389016,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr3_+_197749937_197750074_197755669_197755834_197756425_197756557_ENCSR031RRO_CTRL-1,0.006,0.32951495,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr11_-_2992102_2991793_2979237_2979206_2978342_2978283_ENCSR031RRO_CTRL-1,-0.008,0.34577483,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr19_-_9675044_9675014_9660874_9660719_9653881_9641807_ENCSR092WKG_CTRL-2,0.037,0.35554394,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr2_-_65130086_65129892_65104806_65104733_65088690_65086854_ENCSR129RWD_CTRL-1,0.015,0.3452429,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr11_+_120336913_120337275_120406117_120406141_120407737_120407823_ENCSR031RRO_CTRL-1,-0.008,0.34946477,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr20_-_35664886_35664759_35658982_35658929_35632923_35632794_ENCSR129RWD_CTRL-1,-0.191,0.3290122,0.14278288193578909
EXOSC5_2_binding,EXOSC5,2,K562,chr20_-_35664900_35664759_35659014_35658929_35632923_35632794_ENCSR031RRO_CTRL-1,-0.202,0.3670442,0.23652337295936926
EXOSC5_2_binding,EXOSC5,2,K562,chr20_-_35664886_35664759_35655344_35655201_35632923_35632794_ENCSR092WKG_CTRL-1,-0.019,0.32017586,1.0
EXOSC5_2_binding,EXOSC5,2,K562,chr11_+_120336913_120337275_120407737_120407823_120420752_120420851_ENCSR129RWD_CTRL-1,0.252,0.34263903,0.04405694129134755
EXOSC5_2_binding,EXOSC5,2,K562,chr19_+_8455404_8455574_8462528_8462581_8463496_8463504_ENCSR031RRO_CTRL-1,0.008,0.3529256,0.8265430449530802
