Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
EXOSC5_1_binding,EXOSC5,1,HepG2,chr9_+_114205101_114205146_114205758_114205812_114206251_114206296_ENCSR003EKR_CTRL-1,0.016,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr21_+_45488417_45488444_45489485_45489521_45490274_45490346_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr9_+_114282456_114282564_114283708_114283762_114284723_114284777_ENCSR067GHD_CTRL-1,-0.001,0.0,1.0
EXOSC5_1_binding,EXOSC5,1,HepG2,chr20_-_35664837_35664801_35659014_35658929_35632923_35632794_ENCSR003EKR_CTRL-1,0.086,0.0,0.9268398315951332
EXOSC5_1_binding,EXOSC5,1,HepG2,chr21_-_44861271_44861162_44856364_44856192_44851627_44849584_ENCSR042QTH_CTRL-1,-0.022,0.0,0.8642277066799435
EXOSC5_1_binding,EXOSC5,1,HepG2,chr1_+_26696032_26697540_26729650_26729863_26731151_26731318_ENCSR067GHD_CTRL-1,0.037,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_-_74641424_74640306_74637618_74637493_74636498_74636336_ENCSR003EKR_CTRL-1,0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr2_-_61537640_61537561_61534678_61534557_61533903_61533771_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873032_44872853_44865650_44865570_44865447_44865394_ENCSR003EKR_CTRL-1,0.109,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_+_171387880_171388006_171390074_171390130_171391304_171391369_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr2_-_61537587_61537561_61526521_61526419_61522683_61522610_ENCSR042QTH_CTRL-1,0.002,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873709_44873501_44865447_44865394_44861271_44861162_ENCSR042QTH_CTRL-1,0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873668_44873501_44865650_44865570_44865447_44865394_ENCSR003EKR_CTRL-1,0.049,0.0,0.9581428457175746
EXOSC5_2_binding,EXOSC5,2,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,0.005,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309647_1309773_1314292_1314376_1315653_1315726_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873709_44873501_44865447_44865394_44856364_44856192_ENCSR067GHD_CTRL-2,-0.153,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309634_1309773_1312346_1312603_1314019_1314096_ENCSR003EKR_CTRL-1,0.017,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309509_1309773_1315653_1315726_1320173_1320283_ENCSR237YZT_CTRL-1,-0.0,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309677_1309773_1312346_1312558_1314019_1314096_ENCSR003EKR_CTRL-1,0.016,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr10_-_1049170_1048863_1044171_1043998_1043393_1043300_ENCSR003EKR_CTRL-1,0.004,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309509_1309773_1314019_1314096_1315653_1315730_ENCSR003EKR_CTRL-1,0.016,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_+_171387647_171388006_171390050_171390130_171391304_171391424_ENCSR003EKR_CTRL-1,0.0,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873032_44872853_44865447_44865394_44861271_44861162_ENCSR003EKR_CTRL-1,0.008,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr21_-_44873709_44873501_44861271_44861162_44856364_44856192_ENCSR067GHD_CTRL-1,-0.006,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr2_-_61537587_61537561_61533903_61533771_61526521_61525491_ENCSR003EKR_CTRL-1,-0.004,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr11_-_2992258_2992228_2989271_2989128_2979237_2979206_ENCSR042QTH_CTRL-1,0.09,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr16_+_1309655_1309773_1312346_1312667_1314019_1314096_ENCSR003EKR_CTRL-1,-0.018,0.0,0.7192384337056009
EXOSC5_2_binding,EXOSC5,2,HepG2,chr2_+_118088549_118088666_118096418_118096426_118103196_118103321_ENCSR237YZT_CTRL-2,-0.209,0.0,1.0
EXOSC5_2_binding,EXOSC5,2,HepG2,chr5_-_74640728_74640306_74637701_74637564_74636498_74634683_ENCSR003EKR_CTRL-1,-0.044,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr21_+_45493500_45493575_45494544_45494571_45494861_45494915_ENCSR042QTH_CTRL-1,0.008,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr9_+_114195958_114196012_114205101_114205146_114206251_114206296_ENCSR003EKR_CTRL-1,0.012,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr15_+_25064770_25064855_25067411_25067531_25070119_25070259_ENCSR997HCQ_CTRL-1,-0.133,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr21_-_44865447_44865394_44861271_44861162_44856364_44856192_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr21_-_44865447_44865394_44861271_44861162_44851627_44849584_ENCSR003EKR_CTRL-1,0.008,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,0.005,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr11_-_2989197_2989128_2988126_2988076_2979237_2979206_ENCSR003EKR_CTRL-2,0.013,0.0,1.0
EXOSC5_3_binding,EXOSC5,3,HepG2,chr21_-_44873709_44873501_44861271_44861162_44856364_44856192_ENCSR067GHD_CTRL-1,-0.006,0.0,1.0
EXOSC5_4_binding,EXOSC5,4,HepG2,chr2_-_61538626_61538491_61537587_61537561_61533903_61533771_ENCSR003EKR_CTRL-2,-0.07,0.0,1.0
EXOSC5_4_binding,EXOSC5,4,HepG2,chr9_+_114290223_114290331_114290809_114290917_114292102_114292210_ENCSR003EKR_CTRL-1,0.005,0.0,1.0
EXOSC5_4_binding,EXOSC5,4,HepG2,chr11_-_10802209_10802048_10801774_10801660_10801087_10800961_ENCSR003EKR_CTRL-1,-0.016,0.0,1.0
