Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
DROSHA_1_binding,DROSHA,1,HepG2,chr4_+_38868397_38868546_38878070_38878426_38891742_38891795_ENCSR003EKR_CTRL-1,-0.06,0.0422055,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr13_+_113110678_113110850_113113751_113113776_113113846_113113960_ENCSR067GHD_CTRL-2,-0.031,0.042140476,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr7_+_77537274_77537645_77571077_77571186_77581426_77581465_ENCSR003EKR_CTRL-1,-0.001,0.23608099,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr9_+_136804501_136804627_136805356_136805457_136806077_136806238_ENCSR003EKR_CTRL-1,0.028,0.04311877,0.34743107498332854
DROSHA_1_binding,DROSHA,1,HepG2,chr7_+_77537274_77537645_77571077_77571186_77585542_77585581_ENCSR003EKR_CTRL-1,-0.002,0.23496512,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_85642991_85642796_85641451_85641291_85640564_85640445_ENCSR003EKR_CTRL-1,-0.073,0.0422055,0.06348266114367915
DROSHA_1_binding,DROSHA,1,HepG2,chr17_+_30117153_30117332_30118079_30118173_30172541_30172598_ENCSR042QTH_CTRL-1,0.044,0.0422055,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr17_-_6690940_6690778_6687666_6687528_6686338_6684712_ENCSR003EKR_CTRL-1,-0.035,0.18312123,0.018387244930224766
DROSHA_1_binding,DROSHA,1,HepG2,chr16_-_29899064_29898940_29897984_29897852_29897121_29896821_ENCSR003EKR_CTRL-1,0.097,0.0422055,0.0395037423658566
DROSHA_1_binding,DROSHA,1,HepG2,chr21_-_46145578_46145416_46138646_46138507_46137334_46137238_ENCSR003EKR_CTRL-1,-0.01,0.16157633,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr3_+_58132077_58132931_58134615_58134772_58135978_58136168_ENCSR003EKR_CTRL-1,0.001,0.040180426,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_130878250_130878103_130870381_130870327_130870126_130869658_ENCSR003EKR_CTRL-1,-0.17,0.04216003,0.09872203255838467
DROSHA_1_binding,DROSHA,1,HepG2,chr4_+_1802913_1803064_1803691_1803836_1804329_1804520_ENCSR003EKR_CTRL-1,0.147,0.041255966,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr9_+_136804501_136804627_136804761_136804816_136805356_136805457_ENCSR003EKR_CTRL-1,-0.009,0.042206805,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr9_-_128118693_128117922_128117835_128117709_128115289_128115073_ENCSR104ABF_CTRL-1,0.03,0.0422055,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr7_+_100149356_100149579_100152715_100152757_100153399_100153517_ENCSR003EKR_CTRL-1,0.164,0.042206805,0.009519228092063967
DROSHA_1_binding,DROSHA,1,HepG2,chr3_+_184362872_184363565_184364965_184365049_184365132_184365226_ENCSR003EKR_CTRL-1,0.01,0.18708897,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_166952534_166952487_166948625_166948569_166946739_166946646_ENCSR003EKR_CTRL-1,-0.005,0.24036154,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_110815096_110815008_110773937_110773875_110746201_110746125_ENCSR135LXL_CTRL-1,-0.003,0.0422055,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr1_+_40757952_40758294_40762887_40763046_40766595_40766685_ENCSR093ERJ_CTRL-1,-0.026,0.0422055,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr7_+_128748572_128748804_128754261_128754455_128754528_128754722_ENCSR003EKR_CTRL-1,-0.024,0.042809423,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr9_+_136804501_136804627_136804761_136804816_136806077_136806238_ENCSR003EKR_CTRL-1,0.028,0.04311877,0.32448201247158115
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_130878250_130878103_130876775_130876673_130870381_130870327_ENCSR042QTH_CTRL-1,-0.032,0.04276428,1.0
DROSHA_1_binding,DROSHA,1,HepG2,chr6_-_130878250_130878103_130876775_130876673_130870126_130869658_ENCSR003EKR_CTRL-1,-0.193,0.04216003,0.0818905817822111
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_38867815_38867834_38868397_38868546_38891742_38891830_ENCSR067GHD_CTRL-2,0.084,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_38868397_38868546_38878070_38878426_38891742_38891795_ENCSR003EKR_CTRL-1,-0.06,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr19_-_42255157_42254977_42250565_42250330_42249942_42249826_ENCSR003EKR_CTRL-1,-0.104,0.0,0.454315399001169
DROSHA_2_binding,DROSHA,2,HepG2,chr17_+_30116780_30116863_30118079_30118173_30172541_30172598_ENCSR042QTH_CTRL-1,-0.128,0.0,0.7818584208558279
DROSHA_2_binding,DROSHA,2,HepG2,chr19_+_36215132_36215196_36218121_36218195_36228747_36228819_ENCSR003EKR_CTRL-1,-0.113,0.0,0.5421615027252062
DROSHA_2_binding,DROSHA,2,HepG2,chr11_-_18012898_18012850_18010139_18010070_18008076_18007940_ENCSR042QTH_CTRL-1,-0.213,0.0,0.4708381148360199
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_1801834_1802025_1802913_1803064_1803691_1803836_ENCSR003EKR_CTRL-1,-0.26,0.0,0.2520571855166679
DROSHA_2_binding,DROSHA,2,HepG2,chr20_+_5127008_5127149_5128149_5128750_5173522_5173659_ENCSR003EKR_CTRL-1,0.011,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr2_+_190649232_190649360_190649845_190649982_190655976_190656153_ENCSR264TUE_CTRL-2,-0.043,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr17_-_7179355_7179189_7178899_7178493_7177326_7177209_ENCSR003EKR_CTRL-1,0.003,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr17_+_30117153_30117332_30118079_30118173_30172541_30172598_ENCSR042QTH_CTRL-1,0.044,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_1801834_1802025_1803691_1803836_1804329_1804520_ENCSR003EKR_CTRL-1,0.011,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_38867815_38867834_38868397_38868546_38878070_38878426_ENCSR003EKR_CTRL-1,0.028,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr17_-_7179564_7179189_7178588_7178493_7177326_7177209_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr20_+_5126785_5127149_5173522_5173659_5175182_5175279_ENCSR003EKR_CTRL-1,0.009,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_1802913_1803064_1803691_1803836_1804329_1804520_ENCSR003EKR_CTRL-1,0.147,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr22_+_41900329_41900498_41902969_41903155_41904862_41904974_ENCSR042QTH_CTRL-1,-0.012,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr8_-_141000937_141000879_140925749_140925660_140890769_140890542_ENCSR042QTH_CTRL-1,0.059,0.0,0.1405634260584657
DROSHA_2_binding,DROSHA,2,HepG2,chr6_-_110815096_110815008_110773937_110773875_110746201_110746125_ENCSR135LXL_CTRL-1,-0.003,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr19_-_880148_879936_877180_876973_875454_875243_ENCSR067GHD_CTRL-1,-0.086,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr6_-_5002245_5002100_5000631_5000562_4999904_4999808_ENCSR003EKR_CTRL-1,-0.162,0.0,0.3602489208094431
DROSHA_2_binding,DROSHA,2,HepG2,chr17_+_30731705_30732123_30743300_30743369_30759490_30759539_ENCSR042QTH_CTRL-1,-0.0,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr20_+_44401269_44401487_44402553_44402644_44406057_44406232_ENCSR003EKR_CTRL-1,-0.007,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_38867676_38867834_38878070_38878426_38891742_38891795_ENCSR003EKR_CTRL-1,0.084,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr20_+_5126878_5127149_5175182_5175279_5176647_5176745_ENCSR003EKR_CTRL-1,-0.017,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr2_+_71331763_71331875_71348752_71350271_71355718_71355780_ENCSR003EKR_CTRL-1,-0.043,0.0,1.0
DROSHA_2_binding,DROSHA,2,HepG2,chr4_+_1801834_1802025_1802913_1803064_1804329_1804520_ENCSR003EKR_CTRL-1,0.038,0.0,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr6_-_130885268_130885095_130878250_130878103_130870126_130869562_ENCSR003EKR_CTRL-1,0.029,0.0003426382,0.15061511363469954
DROSHA_3_binding,DROSHA,3,HepG2,chr4_+_38867815_38867834_38868397_38868546_38891742_38891830_ENCSR067GHD_CTRL-2,0.084,0.00033978178,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr6_-_166956611_166956096_166955627_166955494_166952548_166952487_ENCSR003EKR_CTRL-1,0.001,0.1889936,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr6_-_90547387_90547257_90544632_90544551_90536401_90536336_ENCSR003EKR_CTRL-1,-0.126,0.00032555065,0.8517289483145066
DROSHA_3_binding,DROSHA,3,HepG2,chr10_-_34337426_34337274_34336243_34336198_34331344_34331116_ENCSR003EKR_CTRL-1,0.238,0.0003426382,0.08049308620412673
DROSHA_3_binding,DROSHA,3,HepG2,chr4_+_1801834_1802025_1802913_1803064_1803691_1803836_ENCSR003EKR_CTRL-1,-0.26,0.11365216,0.2520571855166679
DROSHA_3_binding,DROSHA,3,HepG2,chr16_+_2767721_2768261_2768504_2768599_2768996_2769248_ENCSR003EKR_CTRL-1,-0.008,0.00031414753,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr20_+_43458360_43458509_43459152_43459420_43459770_43459895_ENCSR003EKR_CTRL-1,-0.086,0.00026277165,0.881304160386578
DROSHA_3_binding,DROSHA,3,HepG2,chr12_-_1800438_1800385_1800052_1799999_1799695_1799674_ENCSR003EKR_CTRL-1,-0.139,0.00028862568,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr1_+_67685060_67685538_67686024_67686126_67686349_67686587_ENCSR003EKR_CTRL-1,-0.006,0.00031831296,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr16_-_1819223_1819114_1817271_1817167_1816994_1816892_ENCSR003EKR_CTRL-1,0.03,0.00028862568,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr3_+_42619663_42619708_42620015_42620043_42621428_42621516_ENCSR042QTH_CTRL-1,-0.27,0.00032555065,0.03829535363653802
DROSHA_3_binding,DROSHA,3,HepG2,chr4_+_38867815_38867834_38868397_38868546_38878070_38878426_ENCSR003EKR_CTRL-1,0.028,0.00033978178,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr19_+_2269514_2269744_2271384_2271530_2271781_2271954_ENCSR003EKR_CTRL-1,0.016,0.13562952,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr10_-_103396466_103396408_103394394_103394198_103392466_103392370_ENCSR003EKR_CTRL-1,-0.037,0.00032138525,0.11541102963829178
DROSHA_3_binding,DROSHA,3,HepG2,chr1_+_1051727_1051815_1053460_1053493_1053752_1053950_ENCSR042QTH_CTRL-1,0.011,0.00031572598,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr22_+_41900329_41900498_41902969_41903155_41904862_41904974_ENCSR042QTH_CTRL-1,-0.012,0.00028862568,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr20_+_419557_419731_420870_421031_422126_422238_ENCSR003EKR_CTRL-1,-0.067,0.0003240353,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr17_-_6693162_6693043_6690940_6690778_6687666_6687528_ENCSR003EKR_CTRL-1,-0.003,0.0003426382,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr17_+_39742565_39742716_39742897_39743054_39743179_39743301_ENCSR067GHD_CTRL-1,0.05,0.00031414753,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr10_-_103396032_103395745_103394394_103394198_103392466_103392370_ENCSR003EKR_CTRL-2,-0.321,0.0003426382,0.1302962872956208
DROSHA_3_binding,DROSHA,3,HepG2,chr17_-_6693162_6693043_6690940_6690778_6686338_6686096_ENCSR003EKR_CTRL-1,-0.0,0.0003426382,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr6_-_5002245_5002100_5000631_5000562_4999904_4999808_ENCSR003EKR_CTRL-1,-0.162,0.0003426382,0.3602489208094431
DROSHA_3_binding,DROSHA,3,HepG2,chr3_+_58130740_58130908_58131926_58132019_58132807_58132931_ENCSR003EKR_CTRL-1,0.001,0.00031566244,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr5_-_179621035_179620891_179619407_179619268_179618323_179618144_ENCSR003EKR_CTRL-1,-0.004,0.0003027339,1.0
DROSHA_3_binding,DROSHA,3,HepG2,chr4_+_1801834_1802025_1802913_1803064_1804329_1804520_ENCSR003EKR_CTRL-1,0.038,0.108143054,1.0
DROSHA_4_binding,DROSHA,4,HepG2,chr4_+_38867815_38867834_38868397_38868546_38891742_38891830_ENCSR067GHD_CTRL-2,0.084,0.0001958324,1.0
DROSHA_4_binding,DROSHA,4,HepG2,chr9_-_137456486_137456410_137455307_137455238_137454443_137454390_ENCSR003EKR_CTRL-1,0.026,0.0001766373,0.881635993924722
DROSHA_4_binding,DROSHA,4,HepG2,chr19_+_17209585_17209709_17210332_17210380_17210714_17210848_ENCSR067GHD_CTRL-2,0.331,0.0001958324,1.0
DROSHA_4_binding,DROSHA,4,HepG2,chr4_+_1801834_1802025_1802913_1803064_1803691_1803836_ENCSR003EKR_CTRL-1,-0.26,0.0001958324,0.2520571855166679
DROSHA_4_binding,DROSHA,4,HepG2,chr12_-_124787457_124787405_124786503_124786106_124778586_124777632_ENCSR067GHD_CTRL-1,0.016,0.0001958324,1.0
DROSHA_4_binding,DROSHA,4,HepG2,chr12_-_1800438_1800385_1800052_1799999_1799695_1799674_ENCSR003EKR_CTRL-1,-0.139,0.0001958324,1.0
