Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
GARS_1_binding,GARS,1,K562,chr19_-_3979436_3979328_3978172_3977818_3977610_3977427_ENCSR031RRO_CTRL-1,-0.0,-0.008180274,0.00003106149,-0.008211335,1.0
GARS_1_binding,GARS,1,K562,chr4_+_6909844_6909951_6923372_6924111_6967303_6967424_ENCSR419JMU_CTRL-1,0.004,-0.008570793,0.000032354146,-0.008603147,1.0
GARS_1_binding,GARS,1,K562,chr19_+_55655108_55655153_55658861_55658981_55659209_55659345_ENCSR031RRO_CTRL-1,-0.0,-0.008091599,0.00003102278,-0.008122621,1.0
GARS_1_binding,GARS,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,0.002,-0.008046013,0.000030859854,-0.008076874,1.0
GARS_1_binding,GARS,1,K562,chr1_-_110407664_110407585_110406379_110406317_110404036_110403608_ENCSR031RRO_CTRL-1,0.001,-0.003095157,-0.000017141614,-0.0030780153,1.0
GARS_1_binding,GARS,1,K562,chr6_+_116571408_116571655_116572857_116572985_116580294_116580360_ENCSR031RRO_CTRL-1,0.006,-0.16548154,0.0006465552,-0.1661281,1.0
GARS_1_binding,GARS,1,K562,chr6_+_116571408_116571655_116572857_116572985_116574057_116574171_ENCSR031RRO_CTRL-1,-0.012,-0.16568768,0.0006474171,-0.16633509,1.0
GARS_1_binding,GARS,1,K562,chr15_-_75430408_75430186_75422823_75422646_75414311_75414204_ENCSR031RRO_CTRL-1,0.006,-0.008511521,0.000032430966,-0.008543951,1.0
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114443855_114443933_ENCSR031RRO_CTRL-1,0.006,-0.037474997,0.00012609983,-0.0376011,1.0
GARS_1_binding,GARS,1,K562,chr2_-_46909072_46909022_46907969_46907809_46905594_46901869_ENCSR031RRO_CTRL-1,-0.005,-0.0078112455,0.000029848685,-0.007841094,1.0
GARS_1_binding,GARS,1,K562,chr12_-_6470645_6470529_6466351_6466224_6466000_6465841_ENCSR092WKG_CTRL-1,-0.024,-0.008613231,0.000032826418,-0.008646057,1.0
GARS_1_binding,GARS,1,K562,chr17_+_28719990_28720030_28720413_28720430_28720706_28720890_ENCSR031RRO_CTRL-1,-0.0,-0.008613033,0.00003290027,-0.008645933,1.0
GARS_1_binding,GARS,1,K562,chr15_-_75430408_75430186_75414311_75414204_75413045_75412762_ENCSR031RRO_CTRL-1,0.004,-0.008613231,0.000032826418,-0.008646057,1.0
GARS_1_binding,GARS,1,K562,chr6_+_2999988_3000085_3004494_3004651_3006467_3006559_ENCSR031RRO_CTRL-1,0.031,-0.008198157,0.00003115681,-0.008229313,0.19687383190023852
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114449845_114450279_ENCSR031RRO_CTRL-1,0.005,-0.037474733,0.0001260987,-0.03760083,1.0
GARS_1_binding,GARS,1,K562,chr15_-_75430408_75430186_75422823_75422646_75413045_75412762_ENCSR031RRO_CTRL-1,0.01,-0.008511521,0.000032430966,-0.008543951,1.0
GARS_1_binding,GARS,1,K562,chr5_+_179699025_179699102_179706257_179706331_179707131_179707190_ENCSR031RRO_CTRL-1,-0.001,-0.008077132,0.00003062342,-0.008107755,1.0
GARS_1_binding,GARS,1,K562,chr16_-_31496950_31496848_31493936_31493865_31493787_31493196_ENCSR031RRO_CTRL-1,-0.004,-0.008263791,0.00003134133,-0.008295132,1.0
GARS_1_binding,GARS,1,K562,chr16_-_3717512_3717420_3710453_3710384_3690985_3690826_ENCSR031RRO_CTRL-1,-0.009,-0.0031479194,-0.000016556638,-0.0031313628,0.7581546503351844
GARS_1_binding,GARS,1,K562,chr12_+_27710821_27710955_27716290_27716458_27719807_27719868_ENCSR129RWD_CTRL-1,-0.003,-0.13171312,0.0005367726,-0.13224989,1.0
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114445978_114446087_ENCSR031RRO_CTRL-1,0.017,-0.03749276,0.00012616324,-0.037618924,0.19093458067315636
GARS_1_binding,GARS,1,K562,chr11_+_118384634_118384735_118384831_118384945_118386437_118386612_ENCSR031RRO_CTRL-1,-0.034,-0.008723183,0.000033264776,-0.008756448,0.9556535445309061
GARS_1_binding,GARS,1,K562,chr6_+_44247086_44247195_44248629_44248776_44249376_44249583_ENCSR031RRO_CTRL-1,-0.0,-0.008048169,0.000030574916,-0.008078745,1.0
GARS_1_binding,GARS,1,K562,chr6_+_44247086_44247195_44248616_44248776_44249376_44249583_ENCSR031RRO_CTRL-1,-0.0,-0.008048169,0.000030574916,-0.008078745,1.0
GARS_2_binding,GARS,2,K562,chr16_+_89900634_89900794_89904117_89904205_89904751_89904975_ENCSR143COQ_CTRL-1,-0.004,0.013754716,-0.0000057275906,0.013760444,1.0
GARS_2_binding,GARS,2,K562,chr17_-_5521786_5521523_5517887_5517745_5501872_5501384_ENCSR031RRO_CTRL-1,0.008,0.012670303,-0.000005274109,0.012675577,1.0
GARS_2_binding,GARS,2,K562,chr4_+_6909844_6909951_6923372_6924111_6967303_6967424_ENCSR419JMU_CTRL-1,0.004,0.012706371,-0.0000052902974,0.012711661,1.0
GARS_2_binding,GARS,2,K562,chr14_+_77710643_77710896_77715771_77715879_77717495_77717584_ENCSR031RRO_CTRL-1,0.002,0.012593234,-0.0000052423625,0.012598476,1.0
GARS_2_binding,GARS,2,K562,chr8_+_89757746_89758233_89762828_89762982_89765340_89765496_ENCSR031RRO_CTRL-1,0.001,0.012592125,-0.000005241911,0.012597366,1.0
GARS_2_binding,GARS,2,K562,chr15_+_89281169_89281300_89281764_89283250_89285095_89285218_ENCSR031RRO_CTRL-1,0.01,0.012670246,-0.000005274086,0.01267552,1.0
GARS_2_binding,GARS,2,K562,chr16_+_89900634_89900794_89904117_89904205_89904937_89905096_ENCSR031RRO_CTRL-1,0.002,0.013754716,-0.0000057275906,0.013760444,1.0
GARS_2_binding,GARS,2,K562,chr15_-_66503529_66503357_66503164_66503057_66502750_66502269_ENCSR031RRO_CTRL-1,-0.0,0.012593147,-0.000005242366,0.01259839,1.0
GARS_2_binding,GARS,2,K562,chr19_-_12801787_12801739_12801270_12801158_12801069_12799858_ENCSR031RRO_CTRL-1,0.001,0.01259434,-0.0000052428295,0.012599583,1.0
GARS_2_binding,GARS,2,K562,chr21_+_46458898_46459222_46490599_46490719_46496987_46497107_ENCSR092WKG_CTRL-2,0.012,0.012670303,-0.000005274109,0.012675577,1.0
GARS_2_binding,GARS,2,K562,chr19_-_48616824_48616725_48615946_48615876_48615447_48615327_ENCSR031RRO_CTRL-1,-0.001,0.012591245,-0.000005241577,0.012596486,1.0
GARS_2_binding,GARS,2,K562,chr12_+_54282572_54282665_54283078_54283234_54283811_54283967_ENCSR031RRO_CTRL-1,0.018,0.012784612,-0.0000053204312,0.012789933,0.6023176524932505
GARS_2_binding,GARS,2,K562,chr16_-_3717524_3717420_3690985_3690826_3689137_3689051_ENCSR031RRO_CTRL-1,0.001,0.012593794,-0.000005242603,0.012599036,1.0
GARS_2_binding,GARS,2,K562,chr16_+_89900634_89900794_89904937_89905096_89906193_89906284_ENCSR031RRO_CTRL-1,0.004,0.012755066,-0.0000053083886,0.012760375,1.0
GARS_2_binding,GARS,2,K562,chr16_+_89900634_89900794_89904117_89905096_89906193_89906284_ENCSR031RRO_CTRL-1,0.002,0.012755066,-0.0000053083886,0.012760375,1.0
GARS_2_binding,GARS,2,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,0.012596498,-0.0000052437576,0.012601742,1.0
GARS_2_binding,GARS,2,K562,chr16_+_89900634_89900794_89904117_89904205_89906193_89906284_ENCSR031RRO_CTRL-1,0.002,0.013757562,-0.000005728797,0.013763291,1.0
GARS_2_binding,GARS,2,K562,chr1_+_109213917_109214128_109223977_109224048_109228351_109228432_ENCSR031RRO_CTRL-1,0.001,0.012436659,-0.000005178872,0.012441838,1.0
GARS_2_binding,GARS,2,K562,chr3_+_186787313_186787584_186788309_186788420_186789124_186789291_ENCSR031RRO_CTRL-1,-0.004,0.012692472,-0.0000052844316,0.012697756,1.0
GARS_2_binding,GARS,2,K562,chr19_-_48616824_48616725_48615905_48615876_48615447_48615330_ENCSR031RRO_CTRL-1,-0.001,0.012591245,-0.000005241577,0.012596486,1.0
GARS_2_binding,GARS,2,K562,chr15_+_28832320_28832460_28833275_28833378_28838687_28838822_ENCSR032YMP_CTRL-1,0.002,0.012592125,-0.000005241911,0.012597366,1.0
GARS_2_binding,GARS,2,K562,chr17_+_28719990_28720030_28720413_28720430_28720706_28720890_ENCSR031RRO_CTRL-1,-0.0,0.01259573,-0.0000052434384,0.012600973,1.0
GARS_2_binding,GARS,2,K562,chr12_+_54282572_54282665_54282799_54282874_54283078_54283234_ENCSR031RRO_CTRL-1,-0.0,0.01191132,-0.0000049563814,0.011916276,1.0
GARS_2_binding,GARS,2,K562,chr3_+_186787494_186787584_186788309_186788416_186789124_186789881_ENCSR031RRO_CTRL-1,-0.008,0.012229349,-0.000005095836,0.012234446,1.0
GARS_2_binding,GARS,2,K562,chr19_-_48616824_48616725_48616220_48616078_48615946_48615876_ENCSR031RRO_CTRL-1,-0.0,0.012596753,-0.0000052438627,0.012601998,1.0
GARS_2_binding,GARS,2,K562,chr11_+_63904785_63905043_63906087_63906114_63908259_63908304_ENCSR031RRO_CTRL-1,-0.057,0.012596548,-0.0000052437777,0.012601791,0.16086403923314166
GARS_2_binding,GARS,2,K562,chr3_+_186787313_186787584_186787802_186787882_186789124_186789140_ENCSR031RRO_CTRL-1,-0.0,0.012978008,-0.0000054054426,0.012983413,1.0
GARS_2_binding,GARS,2,K562,chr17_-_5521786_5521523_5521012_5520880_5517887_5517745_ENCSR031RRO_CTRL-1,0.009,0.012670303,-0.000005274109,0.012675577,1.0
GARS_2_binding,GARS,2,K562,chr16_-_3717512_3717420_3710453_3710384_3690985_3690826_ENCSR031RRO_CTRL-1,-0.009,0.012593794,-0.000005242603,0.012599036,0.7581546503351844
GARS_2_binding,GARS,2,K562,chr8_+_89757816_89758233_89759321_89759446_89762828_89762858_ENCSR143COQ_CTRL-1,0.001,0.012592125,-0.000005241911,0.012597366,1.0
GARS_2_binding,GARS,2,K562,chr15_-_66503529_66503357_66502871_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,0.0,0.012596498,-0.0000052437576,0.012601742,1.0
GARS_2_binding,GARS,2,K562,chr17_+_77089152_77089271_77093243_77093347_77142645_77142750_ENCSR620PUP_CTRL-2,-0.021,0.012669218,-0.000005273689,0.012674492,1.0
GARS_2_binding,GARS,2,K562,chr11_+_63904785_63905043_63908259_63908304_63908876_63909237_ENCSR031RRO_CTRL-1,-0.005,0.012592845,-0.0000052422483,0.012598087,1.0
GARS_2_binding,GARS,2,K562,chr15_-_66503529_66503357_66502750_66502611_66501912_66501559_ENCSR031RRO_CTRL-1,0.0,0.012705402,-0.0000052898968,0.012710692,1.0
GARS_2_binding,GARS,2,K562,chr12_+_54282572_54282665_54282799_54282874_54283811_54283878_ENCSR031RRO_CTRL-1,0.0,0.01191132,-0.0000049563814,0.011916276,1.0
GARS_2_binding,GARS,2,K562,chr3_+_186787313_186787584_186787802_186787882_186788309_186788416_ENCSR031RRO_CTRL-1,-0.001,0.012830754,-0.000005343056,0.012836097,1.0
GARS_2_binding,GARS,2,K562,chr19_-_3980066_3979807_3979436_3979328_3978172_3977818_ENCSR572FFX_CTRL-1,-0.0,0.013560479,-0.0000056366753,0.013566115,1.0
GARS_2_binding,GARS,2,K562,chr21_+_46458898_46459222_46484756_46484828_46490599_46490719_ENCSR092WKG_CTRL-1,0.005,0.012670303,-0.000005274109,0.012675577,1.0
GARS_2_binding,GARS,2,K562,chr19_-_45478828_45478735_45423381_45423269_45421393_45421177_ENCSR031RRO_CTRL-1,-0.0,0.01259573,-0.0000052434384,0.012600973,1.0
GARS_2_binding,GARS,2,K562,chr17_+_77088748_77089271_77093243_77093347_77099017_77099174_ENCSR129RWD_CTRL-1,0.016,0.012669477,-0.000005273798,0.012674751,1.0
GARS_2_binding,GARS,2,K562,chr19_+_4012922_4013349_4024035_4024120_4028145_4028187_ENCSR031RRO_CTRL-1,-0.014,0.012670303,-0.000005274109,0.012675577,1.0
GARS_2_binding,GARS,2,K562,chr19_+_12938577_12939235_12939427_12939631_12940052_12940147_ENCSR031RRO_CTRL-1,-0.001,0.012910629,-0.0000053759554,0.012916004,1.0
GARS_2_binding,GARS,2,K562,chr19_-_48616824_48616725_48616202_48616078_48615946_48615365_ENCSR031RRO_CTRL-1,-0.0,0.012593148,-0.000005242335,0.012598391,1.0
GARS_3_binding,GARS,3,K562,chr14_+_77710643_77710896_77715771_77715879_77717495_77717584_ENCSR031RRO_CTRL-1,0.002,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr15_+_89281169_89281300_89281764_89283250_89285095_89285218_ENCSR031RRO_CTRL-1,0.01,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr2_+_63588972_63589046_63599169_63599292_63604695_63604810_ENCSR031RRO_CTRL-1,-0.004,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr6_-_31540534_31540321_31538855_31538762_31536683_31536499_ENCSR031RRO_CTRL-1,0.006,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr19_-_55092653_55092621_55092544_55092441_55092326_55092221_ENCSR031RRO_CTRL-1,0.006,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr1_+_109213917_109214128_109223977_109224048_109228351_109228432_ENCSR031RRO_CTRL-1,0.001,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr1_+_36293850_36293935_36296582_36296770_36300885_36301084_ENCSR031RRO_CTRL-1,-0.001,0.0,0.0,0.0,1.0
GARS_3_binding,GARS,3,K562,chr19_-_3980066_3979807_3979436_3979328_3978172_3977818_ENCSR572FFX_CTRL-1,-0.0,0.0,0.0,0.0,1.0
