Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
ELAC2_1_binding,ELAC2,1,K562,chr16_+_1786536_1786955_1787676_1787831_1787940_1788000_ENCSR031RRO_CTRL-1,-0.015,-0.0066133076,1.0
ELAC2_1_binding,ELAC2,1,K562,chr11_+_849815_850367_862549_862741_864436_864511_ENCSR031RRO_CTRL-1,0.051,-0.0068988367,1.0
ELAC2_1_binding,ELAC2,1,K562,chr12_-_49131395_49131297_49130402_49130118_49129722_49129499_ENCSR031RRO_CTRL-1,-0.0,-0.005758607,1.0
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113534044_113534240_113539356_113539507_ENCSR031RRO_CTRL-1,0.167,-0.039748825,0.005838463226893498
ELAC2_1_binding,ELAC2,1,K562,chr1_-_150235983_150235732_150229144_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,0.002,-0.006707008,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_8641130_8641184_8641402_8641445_8642126_8642207_ENCSR031RRO_CTRL-1,0.009,-0.0068947426,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_+_102467338_102467479_102467718_102467823_102468061_102468187_ENCSR031RRO_CTRL-1,0.005,-0.0068988367,1.0
ELAC2_1_binding,ELAC2,1,K562,chr6_+_33658669_33658828_33659020_33659119_33659465_33659549_ENCSR031RRO_CTRL-1,0.016,-0.006831748,0.5003375499373003
ELAC2_1_binding,ELAC2,1,K562,chr7_-_23468542_23468481_23418824_23418775_23361741_23361689_ENCSR031RRO_CTRL-1,0.012,-0.006888715,1.0
ELAC2_1_binding,ELAC2,1,K562,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR031RRO_CTRL-1,0.034,-0.006886974,0.4973342379150244
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113520615_113520733_113534044_113534240_ENCSR031RRO_CTRL-1,0.042,-0.04320723,1.0
ELAC2_1_binding,ELAC2,1,K562,chr8_-_100712789_100712651_100712457_100712361_100709731_100709458_ENCSR129RWD_CTRL-1,-0.0,-0.0068247393,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_-_18797952_18797924_18795581_18795463_18793370_18791666_ENCSR143COQ_CTRL-1,0.003,-0.0061516026,1.0
ELAC2_1_binding,ELAC2,1,K562,chr2_-_96867923_96867777_96866431_96866282_96865929_96865866_ENCSR031RRO_CTRL-1,-0.019,-0.04855659,0.7159750006139904
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66501912_66501787_66501504_66500948_ENCSR084SCN_CTRL-1,-0.0,-0.01901097,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_54206275_54206462_54206552_54206724_54207397_54207522_ENCSR031RRO_CTRL-1,0.041,-0.17186305,0.0006571732316005674
ELAC2_1_binding,ELAC2,1,K562,chr13_+_113503495_113503588_113510237_113510424_113534044_113534240_ENCSR032YMP_CTRL-1,0.071,-0.0062493705,0.7152927223978233
ELAC2_1_binding,ELAC2,1,K562,chr5_-_138159599_138159554_138157894_138157641_138157267_138156881_ENCSR031RRO_CTRL-1,-0.013,-0.0062719407,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_+_109656711_109656787_109657214_109657279_109657589_109657671_ENCSR031RRO_CTRL-1,-0.003,-0.0068988367,1.0
ELAC2_1_binding,ELAC2,1,K562,chr7_-_22822791_22822676_22818048_22817999_22813185_22812631_ENCSR031RRO_CTRL-1,-0.003,-0.14282581,0.8340364652176451
ELAC2_1_binding,ELAC2,1,K562,chr9_-_136446949_136446854_136445719_136445644_136443900_136443822_ENCSR031RRO_CTRL-1,-0.033,-0.01223925,1.0
ELAC2_1_binding,ELAC2,1,K562,chr11_-_5505652_5505568_5270156_5269798_5269676_5269453_ENCSR031RRO_CTRL-1,-0.0,-0.008722842,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_1786536_1786655_1786756_1786955_1787676_1787777_ENCSR031RRO_CTRL-1,0.026,-0.0068986258,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_2206728_2206797_2207573_2207680_2208934_2208976_ENCSR031RRO_CTRL-1,0.017,-0.0068246825,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66502871_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,0.0,-0.005855382,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_-_137186356_137186223_137185087_137184912_137183791_137183671_ENCSR031RRO_CTRL-1,-0.039,-0.0066634296,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_-_122880125_122879992_122879873_122879754_122877583_122877470_ENCSR031RRO_CTRL-1,0.003,-0.006893615,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66502750_66502611_66501912_66501559_ENCSR031RRO_CTRL-1,0.0,-0.03128148,1.0
ELAC2_1_binding,ELAC2,1,K562,chr1_-_101021765_101021640_101013818_101013709_100995149_100995109_ENCSR031RRO_CTRL-1,-0.025,-0.006817425,0.8099569197170201
ELAC2_1_binding,ELAC2,1,K562,chr11_+_118401618_118401717_118403923_118403985_118405656_118405709_ENCSR032YMP_CTRL-1,0.194,-0.006900641,0.14435473300055707
ELAC2_1_binding,ELAC2,1,K562,chr14_-_104773980_104773911_104773580_104773454_104773379_104773250_ENCSR031RRO_CTRL-1,-0.004,-0.04036223,1.0
ELAC2_1_binding,ELAC2,1,K562,chr14_-_65102504_65102303_65093815_65093707_65076663_65075123_ENCSR031RRO_CTRL-1,0.006,-0.0068579256,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_85613215_85613398_85633913_85634132_85648551_85648751_ENCSR031RRO_CTRL-1,-0.123,-0.06265752,0.20135984827592926
ELAC2_1_binding,ELAC2,1,K562,chr16_+_89560680_89560712_89560953_89561063_89561577_89561751_ENCSR031RRO_CTRL-1,-0.036,-0.09797219,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1432513_1432690_1433738_1433827_1434739_1435687_ENCSR031RRO_CTRL-1,0.002,-0.04207867,1.0
ELAC2_1_binding,ELAC2,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,0.011,-0.035245746,1.0
ELAC2_1_binding,ELAC2,1,K562,chr12_-_121799956_121799846_121793239_121793151_121781192_121781079_ENCSR092WKG_CTRL-2,0.094,-0.0068958565,0.2507569304124452
ELAC2_1_binding,ELAC2,1,K562,chr17_-_75154512_75154341_75148671_75148528_75147653_75147519_ENCSR031RRO_CTRL-1,-0.0,-0.06812597,1.0
ELAC2_1_binding,ELAC2,1,K562,chr16_+_89560710_89561063_89561226_89561368_89561577_89561598_ENCSR031RRO_CTRL-1,0.004,-0.19242676,1.0
ELAC2_1_binding,ELAC2,1,K562,chr19_+_1415969_1417540_1418665_1418731_1421147_1421232_ENCSR129RWD_CTRL-1,0.002,-0.049363095,1.0
ELAC2_1_binding,ELAC2,1,K562,chr15_-_66503529_66503357_66503164_66503057_66502750_66502269_ENCSR031RRO_CTRL-1,-0.0,-0.054817032,1.0
ELAC2_1_binding,ELAC2,1,K562,chr2_+_241315905_241315982_241320202_241320287_241324215_241324241_ENCSR031RRO_CTRL-1,-0.003,-0.0062424676,1.0
