Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
FXR2_1_binding,FXR2,1,K562,chr2_+_47783127_47783493_47795893_47796063_47798610_47798627_ENCSR031RRO_CTRL-1,0.008,0.0058790795,-0.0020234506,0.00790253,1.0
FXR2_1_binding,FXR2,1,K562,chr16_-_8963422_8963206_8930397_8930292_8923413_8923214_ENCSR031RRO_CTRL-1,0.003,0.004176398,-0.00071460824,0.0048910063,1.0
FXR2_1_binding,FXR2,1,K562,chr19_-_41353911_41352689_41348455_41348294_41344864_41344746_ENCSR031RRO_CTRL-1,0.003,0.0056410204,-0.00015880304,0.0057998234,1.0
FXR2_1_binding,FXR2,1,K562,chr12_-_116277081_116277059_116237705_116237467_116111512_116111427_ENCSR031RRO_CTRL-1,0.065,0.0054916465,-0.0021417644,0.007633411,1.0
FXR2_1_binding,FXR2,1,K562,chr19_-_18911071_18910970_18907112_18906959_18905629_18905575_ENCSR031RRO_CTRL-1,0.108,0.0030955956,-0.000022658609,0.0031182542,0.34552850662243184
FXR2_1_binding,FXR2,1,K562,chr3_-_28338615_28338492_28338036_28337936_28336885_28336736_ENCSR031RRO_CTRL-1,-0.028,0.0029021879,-0.00006727605,0.0029694638,1.0
FXR2_1_binding,FXR2,1,K562,chr16_+_88623218_88623344_88623957_88624062_88624601_88624745_ENCSR031RRO_CTRL-1,-0.005,0.004289012,-0.0006640657,0.0049530775,1.0
FXR2_1_binding,FXR2,1,K562,chr8_-_143809025_143808608_143807614_143807551_143807013_143806923_ENCSR031RRO_CTRL-1,0.036,-0.005945711,0.0012817963,-0.0072275074,0.5334121255882132
FXR2_1_binding,FXR2,1,K562,chr21_-_46254526_46254391_46251682_46251528_46246886_46246306_ENCSR031RRO_CTRL-1,0.033,0.0060311547,-0.0008772166,0.006908371,1.0
FXR2_1_binding,FXR2,1,K562,chr10_+_35336873_35337207_35483403_35483478_35516522_35516575_ENCSR143COQ_CTRL-1,-0.035,0.0030628217,-0.00008278717,0.0031456088,0.4539506438827184
FXR2_1_binding,FXR2,1,K562,chr20_-_47246517_47246007_47239138_47238895_47236516_47236325_ENCSR031RRO_CTRL-1,-0.22,0.005145971,0.0000024793349,0.005143492,0.3191576868825547
FXR2_1_binding,FXR2,1,K562,chr6_-_135054800_135054648_135050647_135050581_135042126_135042000_ENCSR031RRO_CTRL-1,-0.012,0.0029216956,-0.000061978586,0.0029836742,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_55659209_55659345_55660176_55660221_55660515_55660619_ENCSR031RRO_CTRL-1,0.001,0.00830226,0.000082641105,0.008219619,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_219983398_219983188_219982844_219982771_219981457_219981377_ENCSR031RRO_CTRL-1,-0.005,0.0046605864,-0.0008088273,0.0054694135,1.0
FXR2_1_binding,FXR2,1,K562,chr19_-_1615798_1615685_1615485_1615284_1612433_1612206_ENCSR031RRO_CTRL-1,0.05,0.0013808843,-0.000008497498,0.0013893818,0.20966809670962266
FXR2_1_binding,FXR2,1,K562,chr12_+_53455346_53455370_53455460_53455493_53455884_53455950_ENCSR031RRO_CTRL-1,-0.0,-0.0009841047,0.0004495709,-0.0014336756,1.0
FXR2_1_binding,FXR2,1,K562,chr17_+_50746541_50746702_50750500_50750641_50750746_50750852_ENCSR031RRO_CTRL-1,0.001,-0.005959382,0.0002375707,-0.0061969524,1.0
FXR2_1_binding,FXR2,1,K562,chr1_+_110014762_110014857_110015424_110015531_110016343_110016460_ENCSR031RRO_CTRL-1,0.002,0.0045091957,-0.0006643232,0.005173519,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_223845794_223845653_223821367_223821219_223814353_223814175_ENCSR031RRO_CTRL-1,0.007,0.0037682962,-0.0000895301,0.0038578263,1.0
FXR2_1_binding,FXR2,1,K562,chr2_-_96281922_96281813_96279559_96279450_96278998_96278808_ENCSR031RRO_CTRL-1,-0.014,0.0068687364,-0.0008126957,0.007681432,1.0
FXR2_1_binding,FXR2,1,K562,chr3_-_196503677_196502872_196487578_196487398_196483891_196483769_ENCSR031RRO_CTRL-1,0.032,0.0024166456,-0.0010186384,0.003435284,1.0
FXR2_1_binding,FXR2,1,K562,chr17_+_59661442_59661643_59663841_59663994_59664786_59664909_ENCSR031RRO_CTRL-1,-0.008,0.011877583,-0.0013651676,0.013242751,1.0
FXR2_1_binding,FXR2,1,K562,chr9_+_131473507_131473724_131474453_131476535_131477743_131477949_ENCSR031RRO_CTRL-1,-0.108,0.005431595,0.0007938505,0.0046377443,1.0
FXR2_1_binding,FXR2,1,K562,chr5_-_141572040_141571925_141571436_141571427_141534433_141534334_ENCSR031RRO_CTRL-1,0.036,0.0100387335,-0.001322903,0.011361636,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_63635835_63636150_63646618_63646795_63679999_63680161_ENCSR031RRO_CTRL-1,-0.119,0.0008633525,-0.00003970817,0.00090306066,0.7550481700819033
FXR2_1_binding,FXR2,1,K562,chr6_-_135054800_135054648_135050647_135050581_135039767_135039572_ENCSR031RRO_CTRL-1,0.028,0.009541297,-0.0013041161,0.010845413,1.0
FXR2_1_binding,FXR2,1,K562,chr10_+_69343826_69343989_69359896_69360045_69364782_69364786_ENCSR031RRO_CTRL-1,0.01,0.00039099445,-0.000028550363,0.0004195448,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_44247086_44247195_44248616_44248776_44249376_44249583_ENCSR031RRO_CTRL-1,-0.002,0.021790916,-0.004975656,0.026766572,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_57090210_57090274_57090832_57090894_57099060_57099141_ENCSR031RRO_CTRL-1,-0.041,0.004646231,-0.000054577802,0.004700809,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_11034913_11035132_11039457_11039553_11041297_11041560_ENCSR031RRO_CTRL-1,-0.024,-0.0021008814,0.000116394935,-0.0022172763,1.0
FXR2_1_binding,FXR2,1,K562,chr15_+_52019237_52019376_52042753_52042833_52045829_52046109_ENCSR031RRO_CTRL-1,-0.003,0.0032490797,-0.000057954465,0.0033070343,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_11034913_11035132_11039457_11039553_11041306_11041560_ENCSR031RRO_CTRL-1,0.013,-0.0018340684,0.000103513514,-0.0019375819,1.0
FXR2_1_binding,FXR2,1,K562,chr19_-_55241639_55241476_55241391_55241238_55241079_55240944_ENCSR031RRO_CTRL-1,0.032,0.002402095,-0.00001623635,0.0024183313,1.0
FXR2_1_binding,FXR2,1,K562,chr3_+_20125904_20126113_20127422_20127549_20136941_20137052_ENCSR031RRO_CTRL-1,0.083,0.003106312,-0.00003737487,0.0031436868,0.6432556246554029
FXR2_1_binding,FXR2,1,K562,chr14_+_55580253_55580354_55601756_55601880_55612018_55612571_ENCSR031RRO_CTRL-1,0.266,0.0028303522,-0.000081716535,0.0029120687,0.8880408050455693
FXR2_1_binding,FXR2,1,K562,chr8_-_47782598_47782377_47782254_47782161_47779093_47779003_ENCSR031RRO_CTRL-1,-0.076,-0.0039877454,0.00067822746,-0.0046659727,0.7976659516030382
FXR2_1_binding,FXR2,1,K562,chr10_-_32018562_32018501_32018387_32018315_32018156_32018051_ENCSR031RRO_CTRL-1,-0.002,0.0043187225,-0.00005427968,0.0043730023,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_38717085_38717316_38717926_38718074_38721537_38721688_ENCSR031RRO_CTRL-1,-0.028,0.008938481,-0.0007344527,0.009672934,1.0
FXR2_1_binding,FXR2,1,K562,chr10_-_117375467_117374355_117341102_117340979_117318974_117318871_ENCSR031RRO_CTRL-1,0.063,0.0027888033,-0.0004681379,0.0032569412,0.2718915764465298
FXR2_1_binding,FXR2,1,K562,chr8_-_102412689_102412172_102361626_102361581_102361206_102361124_ENCSR031RRO_CTRL-1,0.016,0.0023185678,-0.0000071332447,0.002325701,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_19084698_19084503_19081573_19081348_19078066_19077975_ENCSR031RRO_CTRL-1,-0.006,0.0045542186,-0.0006632848,0.0052175033,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_55655108_55655153_55658861_55658981_55659209_55659345_ENCSR031RRO_CTRL-1,0.001,0.005323603,-0.0008203963,0.0061439993,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_44247086_44247195_44248629_44248776_44249376_44249583_ENCSR031RRO_CTRL-1,-0.002,0.021790916,-0.004975656,0.026766572,1.0
FXR2_1_binding,FXR2,1,K562,chr20_+_44885739_44885886_44887544_44887742_44901530_44901833_ENCSR031RRO_CTRL-1,0.004,0.003462724,-0.00007002713,0.003532751,1.0
FXR2_1_binding,FXR2,1,K562,chr11_+_67180078_67180217_67181319_67181398_67181845_67181892_ENCSR031RRO_CTRL-1,-0.008,0.003011079,0.000013009839,0.0029980692,1.0
FXR2_1_binding,FXR2,1,K562,chr7_+_128862903_128863062_128865119_128865203_128865376_128865844_ENCSR031RRO_CTRL-1,-0.004,0.004306757,-0.00020815525,0.004514912,1.0
FXR2_1_binding,FXR2,1,K562,chr4_+_1935143_1935262_1939653_1939778_1951071_1951180_ENCSR031RRO_CTRL-1,-0.22,0.0038798726,-0.000037983504,0.003917856,0.08361403597963826
FXR2_1_binding,FXR2,1,K562,chr6_+_2999988_3000085_3004494_3004651_3006467_3006559_ENCSR031RRO_CTRL-1,0.029,0.0040473794,-0.00007278853,0.004120168,0.4597260566324668
