Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
ADAT1_1_binding,ADAT1,1,K562,chr11_-_73981632_73981475_73980052_73979935_73978477_73978280_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
ADAT1_1_binding,ADAT1,1,K562,chr9_-_133356320_133356268_133354957_133354823_133354741_133354658_ENCSR031RRO_CTRL-1,0.012,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504510_63504830_63532646_63532707_63537024_63537056_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504611_63504830_63529013_63529166_63532646_63532707_ENCSR031RRO_CTRL-1,0.046,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504593_63504830_63537024_63537156_63553714_63553733_ENCSR031RRO_CTRL-1,-0.006,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504593_63504830_63530497_63530590_63532646_63532707_ENCSR031RRO_CTRL-1,0.005,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504510_63504830_63532646_63532707_63553714_63553798_ENCSR143COQ_CTRL-1,-0.016,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr3_-_49786527_49786353_49748168_49747817_49738422_49738211_ENCSR031RRO_CTRL-1,-0.001,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr4_+_1801834_1802025_1804823_1804969_1805354_1805476_ENCSR031RRO_CTRL-1,0.009,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr11_+_126276058_126276219_126276393_126276523_126277070_126277175_ENCSR031RRO_CTRL-1,-0.009,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr16_+_88712621_88712905_88713311_88713447_88713646_88713778_ENCSR143COQ_CTRL-1,0.003,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr19_+_50406982_50407174_50407326_50407415_50408784_50408901_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
ADAT1_4_binding,ADAT1,4,K562,chr19_+_7639018_7639100_7639730_7639807_7640730_7640809_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
ADAT1_4_binding,ADAT1,4,K562,chr5_+_139278326_139278408_139278564_139278740_139279050_139279129_ENCSR031RRO_CTRL-1,0.011,0.0,0.293512330264408
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1802913_1803064_1804329_1804520_1804823_1804969_ENCSR143COQ_CTRL-1,0.018,0.07981469,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1803691_1803836_1804329_1804520_1804823_1804969_ENCSR129RWD_CTRL-1,0.006,0.07981673,1.0
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40953554_40953633_40967798_40967884_40972475_40973309_ENCSR031RRO_CTRL-1,-0.006,0.082065396,1.0
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40964046_40964117_40967798_40967884_40972475_40973309_ENCSR031RRO_CTRL-1,-0.012,0.08283992,0.7801408104427898
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40953554_40953633_40964046_40964117_40972475_40973309_ENCSR031RRO_CTRL-1,-0.006,0.082065396,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1801834_1802025_1804329_1804520_1804823_1804969_ENCSR031RRO_CTRL-1,0.036,0.07994036,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1801834_1802025_1803691_1803836_1804823_1804969_ENCSR143COQ_CTRL-1,0.055,0.080154374,1.0
ADAT1_6_binding,ADAT1,6,K562,chr4_-_82426129_82426036_82425667_82425562_82424883_82424628_ENCSR031RRO_CTRL-1,0.144,0.5356883,0.00009140061667210546
ADAT1_6_binding,ADAT1,6,K562,chr8_-_129575016_129574881_129370377_129370306_129352980_129351690_ENCSR031RRO_CTRL-1,-0.044,0.66626114,0.2545029996933511
ADAT1_6_binding,ADAT1,6,K562,chr5_+_134380718_134380808_134388351_134388413_134390224_134390573_ENCSR031RRO_CTRL-1,0.001,0.57808185,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_77955282_77955254_77949300_77949154_77948774_77948404_ENCSR031RRO_CTRL-1,0.002,0.5335384,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_129399684_129399513_129370377_129370306_129352980_129351690_ENCSR031RRO_CTRL-1,0.022,0.66747236,1.0
ADAT1_6_binding,ADAT1,6,K562,chr16_-_18798044_18797924_18794683_18794598_18793370_18791666_ENCSR031RRO_CTRL-1,0.001,0.5368902,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_116850767_116850617_116849029_116848945_116847691_116845934_ENCSR031RRO_CTRL-1,0.002,0.56747675,1.0
ADAT1_6_binding,ADAT1,6,K562,chr19_+_7638725_7638775_7639018_7639100_7639730_7639807_ENCSR031RRO_CTRL-1,-0.002,0.57188594,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_161118111_161117951_161102375_161102286_161100859_161100555_ENCSR031RRO_CTRL-1,0.012,0.601331,1.0
