Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864483_173864304_173864256_ENCSR031RRO_CTRL-1,0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853833_62853800_ENCSR031RRO_CTRL-1,0.015,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853849_62853800_ENCSR031RRO_CTRL-1,-0.007,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853115_62852831_ENCSR031RRO_CTRL-1,-0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,-0.018,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853115_62852831_ENCSR031RRO_CTRL-1,-0.008,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_-_100236969_100236849_100235764_100235666_100233371_100232297_ENCSR031RRO_CTRL-1,-0.024,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62855236_62855132_62854064_62854017_62853833_62853800_ENCSR031RRO_CTRL-1,-0.009,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864506_173864483_173864304_173863901_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr12_+_103939508_103939625_103941409_103941547_103941628_103941706_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864506_173864483_ENCSR031RRO_CTRL-1,-0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864506_173864483_ENCSR031RRO_CTRL-1,0.003,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173864871_173864674_173864506_173864256_173864075_173863901_ENCSR032YMP_CTRL-1,0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr9_-_124861555_124861418_124860264_124860182_124858067_124857882_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864674_173864304_173863900_ENCSR344XID_CTRL-2,-0.035,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr12_+_98599857_98600127_98601170_98601281_98601367_98601674_ENCSR031RRO_CTRL-1,0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864304_173863900_ENCSR129RWD_CTRL-2,-0.017,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864704_173864256_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62853800_62853590_62852810_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR031RRO_CTRL-1,-0.019,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864704_173864256_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864506_173864483_173864304_173863901_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853590_62853551_62853115_62852831_ENCSR031RRO_CTRL-1,-0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr4_+_52712823_52712959_52713493_52713542_52719867_52720351_ENCSR032YMP_CTRL-1,-0.0,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853849_62853800_62853590_62853572_ENCSR031RRO_CTRL-1,-0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr9_+_133349386_133349700_133349911_133350052_133350239_133350318_ENCSR129RWD_CTRL-1,-0.0,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853590_62853072_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_+_68786545_68786692_68787926_68788047_68788142_68788316_ENCSR032YMP_CTRL-1,0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,0.006,0.00093363866,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_123059848_123059472_123059261_123059058_123058830_123058631_ENCSR129RWD_CTRL-1,-0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr10_+_69389196_69389296_69392124_69392308_69394949_69395105_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr16_+_30067449_30068978_30069305_30069389_30069498_30069547_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr20_-_34096805_34096656_34093731_34093674_34089905_34088297_ENCSR129RWD_CTRL-1,0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_62854064_62854017_62853833_62853800_62853115_62852831_ENCSR031RRO_CTRL-1,-0.014,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_+_44777225_44777789_44777999_44778129_44778575_44778779_ENCSR031RRO_CTRL-1,-0.0,-0.000007443466,1.0
