ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
59559	"ENSG00000198814.8"	"GK"	chrX	+	30745582	30745669	30742217	30742298	30746848	30748725	59559	216,252	111,112	221,519	14,69	185	99	3.21964677141e-15	1.60000346305e-10	0.51,0.546	0.894,0.801	-0.32
29827	"ENSG00000138030.8"	"KHK"	chr2	+	27317667	27317802	27309649	27310219	27319596	27319669	29827	34,41	9,15	5,6	14,38	197	99	1.82531767479e-11	3.55859161028e-07	0.655,0.579	0.152,0.074	0.504
7463	"ENSG00000115875.14"	"SRSF7"	chr2	-	38976039	38976488	38975720	38975795	38976670	38976847	7463	114,104	114,144	61,173	237,550	197	99	2.14825934819e-11	3.55859161028e-07	0.334,0.266	0.115,0.136	0.175
7462	"ENSG00000115875.14"	"SRSF7"	chr2	-	38976282	38976488	38975720	38975795	38976670	38976847	7462	93,94	114,144	52,150	237,550	197	99	5.01235719597e-11	6.22722727134e-07	0.291,0.247	0.099,0.121	0.159
20709	"ENSG00000138674.12"	"SEC31A"	chr4	-	83752089	83752128	83750152	83750211	83763292	83763634	20709	153,163	66,53	55,164	81,172	137	99	3.16755954799e-10	2.89525592168e-06	0.626,0.69	0.329,0.408	0.289
7465	"ENSG00000115875.14"	"SRSF7"	chr2	-	38976381	38976488	38975720	38975795	38976670	38976847	7465	96,98	114,144	59,163	237,550	197	99	3.49563045177e-10	2.89525592168e-06	0.297,0.255	0.111,0.13	0.156
11454	"ENSG00000104852.10"	"SNRNP70"	chr19	+	49605370	49605442	49604646	49604728	49607890	49607992	11454	64,70	191,279	23,84	328,647	170	99	1.30707170642e-08	8.11936605632e-05	0.163,0.127	0.039,0.07	0.091
22948	"ENSG00000173209.18"	"AHSA2"	chr2	+	61410681	61410797	61408472	61408540	61411846	61411935	22948	16,22	122,150	33,114	89,200	197	99	1.18253319359e-08	8.11936605632e-05	0.062,0.069	0.157,0.223	-0.124
11455	"ENSG00000104852.10"	"SNRNP70"	chr19	+	49605370	49606844	49604646	49604728	49607890	49607992	11455	88,100	191,279	41,125	328,647	197	99	1.79746725282e-08	9.92501501432e-05	0.188,0.153	0.059,0.088	0.097
29828	"ENSG00000138030.8"	"KHK"	chr2	+	27317667	27317802	27317344	27317479	27319596	27319669	29828	38,43	138,172	5,8	76,191	197	99	3.23470465968e-08	0.000160748648063	0.122,0.112	0.032,0.021	0.09
