Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215383483_215383327_215382325_215382211_215381080_215380810_ENCSR003EKR_CTRL-1,0.0,-0.27276155,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr1_+_116393530_116393723_116395109_116395285_116396597_116396734_ENCSR003EKR_CTRL-1,-0.001,-0.24996892,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr20_-_44506996_44506826_44504891_44504800_44503995_44503814_ENCSR042QTH_CTRL-1,-0.001,-0.436246,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr6_+_44150223_44150310_44152592_44152698_44153675_44153843_ENCSR093ERJ_CTRL-1,0.009,-0.30311796,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr10_+_68737844_68737889_68740628_68740661_68742375_68742408_ENCSR003EKR_CTRL-1,-0.001,-0.22507441,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr8_-_100705672_100705588_100705056_100704925_100704390_100704113_ENCSR003EKR_CTRL-1,0.001,-0.16057774,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_-_45924788_45924727_45923154_45922935_45922582_45922355_ENCSR042QTH_CTRL-1,0.019,-0.29601362,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_+_24118387_24118534_24118749_24118804_24119144_24119213_ENCSR042QTH_CTRL-1,0.001,-0.36788914,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215423526_215423349_215422243_215422090_215420801_215420672_ENCSR003EKR_CTRL-1,-0.0,-0.30362576,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr4_+_70200496_70200601_70201453_70201501_70202257_70202329_ENCSR003EKR_CTRL-1,0.019,-0.55565894,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_-_89281014_89280949_89180806_89180700_89162969_89156171_ENCSR376RJN_CTRL-1,-0.013,-0.31352636,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr5_-_42807108_42806895_42804773_42804655_42801331_42799879_ENCSR003EKR_CTRL-1,-0.001,-0.25960988,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215394719_215394527_215391814_215391631_215388301_215388211_ENCSR042QTH_CTRL-1,-0.0,-0.16362819,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr3_-_149542537_149542334_149526125_149526012_149520989_149517234_ENCSR237YZT_CTRL-1,-0.004,-0.3010913,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_+_28835057_28835187_28835277_28835399_28835548_28835758_ENCSR067GHD_CTRL-1,-0.001,-0.22507194,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr1_-_150966629_150966475_150966288_150966161_150963144_150962957_ENCSR003EKR_CTRL-1,-0.003,-0.28530893,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr7_+_138567480_138567654_138570829_138571003_138573506_138573642_ENCSR003EKR_CTRL-1,-0.001,-0.22374272,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr10_+_68740628_68740661_68742375_68742569_68747160_68747275_ENCSR067GHD_CTRL-1,-0.006,-0.31462726,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_-_89281014_89280949_89190449_89190383_89180806_89180700_ENCSR003EKR_CTRL-1,-0.003,-0.31465027,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr3_-_170128807_170128683_170128387_170128339_170122744_170122590_ENCSR067GHD_CTRL-2,-0.115,-0.30953282,0.5830778122207437
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_+_53467220_53467293_53467804_53467843_53468779_53468832_ENCSR003EKR_CTRL-1,0.042,-0.24425931,0.533671616998148
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr7_+_99338180_99338285_99339857_99340009_99344292_99344515_ENCSR003EKR_CTRL-1,-0.002,-0.31462726,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_+_69691748_69694239_69695135_69695379_69696359_69696578_ENCSR042QTH_CTRL-1,-0.006,-0.1835536,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr7_-_6469754_6469595_6466323_6466070_6463175_6461080_ENCSR003EKR_CTRL-1,-0.001,-0.55654466,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_+_135675331_135675486_135680172_135680324_135709432_135709536_ENCSR067GHD_CTRL-1,-0.002,-0.3146483,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_+_68190767_68191775_68214328_68214432_68221195_68221284_ENCSR042QTH_CTRL-1,0.066,-0.41464847,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215373411_215373321_215372375_215371908_215365630_215365504_ENCSR003EKR_CTRL-1,0.001,-0.20598444,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215372015_215371908_215370432_215370293_215368027_215367862_ENCSR003EKR_CTRL-1,-0.0,-0.29764396,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr5_+_172924004_172924109_172926508_172926569_172932435_172932478_ENCSR003EKR_CTRL-1,0.002,-0.3051383,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_+_96556174_96556413_96560648_96560711_96564954_96564988_ENCSR003EKR_CTRL-1,0.029,-0.41754684,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr1_-_31919109_31918969_31915987_31915894_31911826_31911695_ENCSR003EKR_CTRL-1,-0.028,-0.28975242,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr17_-_28635609_28634516_28634086_28633894_28633751_28633548_ENCSR003EKR_CTRL-1,-0.007,-0.2873316,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr5_+_136047273_136047420_136048252_136048349_136049438_136049580_ENCSR003EKR_CTRL-1,0.001,-0.30536178,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr6_+_44149858_44149965_44150223_44150310_44150563_44150629_ENCSR042QTH_CTRL-1,-0.001,-0.21779886,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_-_75235986_75234888_75233935_75233845_75230023_75228186_ENCSR067GHD_CTRL-1,-0.005,-0.27381346,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215410114_215409933_215409739_215409562_215408426_215408297_ENCSR003EKR_CTRL-1,-0.001,-0.1948548,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr1_+_183544929_183545312_183545965_183546337_183549207_183549288_ENCSR042QTH_CTRL-1,0.009,-0.30733216,1.0
