Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
GARS_1_binding,GARS,1,K562,chr6_+_116571408_116571655_116572857_116572985_116580294_116580360_ENCSR031RRO_CTRL-1,0.006,-0.1661281,1.0
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114443855_114443933_ENCSR031RRO_CTRL-1,0.006,-0.0376011,1.0
GARS_1_binding,GARS,1,K562,chr12_-_6470645_6470529_6466351_6466224_6466000_6465841_ENCSR092WKG_CTRL-1,-0.024,-0.008646057,1.0
GARS_1_binding,GARS,1,K562,chr15_-_75430408_75430186_75414311_75414204_75413045_75412762_ENCSR031RRO_CTRL-1,0.004,-0.008646057,1.0
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114449845_114450279_ENCSR031RRO_CTRL-1,0.006,-0.03760083,1.0
GARS_1_binding,GARS,1,K562,chr11_+_118384634_118384735_118384831_118384945_118386437_118386612_ENCSR031RRO_CTRL-1,-0.034,-0.008756448,0.955142987186722
GARS_1_binding,GARS,1,K562,chr4_+_6909844_6909951_6923372_6924111_6967303_6967424_ENCSR419JMU_CTRL-1,0.004,-0.008603147,1.0
GARS_1_binding,GARS,1,K562,chr6_+_116571408_116571655_116572857_116572985_116574057_116574171_ENCSR031RRO_CTRL-1,-0.012,-0.16633509,1.0
GARS_1_binding,GARS,1,K562,chr15_-_75430408_75430186_75422823_75422646_75413045_75412762_ENCSR031RRO_CTRL-1,0.01,-0.008543951,1.0
GARS_1_binding,GARS,1,K562,chr11_+_114439385_114439675_114440655_114440739_114445978_114446087_ENCSR031RRO_CTRL-1,0.017,-0.037618924,0.19186094153098845
GARS_1_binding,GARS,1,K562,chr19_-_3979436_3979328_3978172_3977818_3977610_3977427_ENCSR031RRO_CTRL-1,-0.0,-0.008211335,1.0
GARS_1_binding,GARS,1,K562,chr16_-_31496950_31496848_31493936_31493865_31493787_31493196_ENCSR031RRO_CTRL-1,-0.004,-0.008295132,1.0
GARS_1_binding,GARS,1,K562,chr2_-_46909072_46909022_46907969_46907809_46905594_46901869_ENCSR031RRO_CTRL-1,-0.005,-0.007841094,1.0
GARS_1_binding,GARS,1,K562,chr17_+_28719990_28720030_28720413_28720430_28720706_28720890_ENCSR031RRO_CTRL-1,-0.0,-0.008645933,1.0
GARS_1_binding,GARS,1,K562,chr6_+_44247086_44247195_44248629_44248776_44249376_44249583_ENCSR031RRO_CTRL-1,-0.0,-0.008078745,1.0
GARS_1_binding,GARS,1,K562,chr1_-_110407664_110407585_110406379_110406317_110404036_110403608_ENCSR031RRO_CTRL-1,0.001,-0.0030780153,1.0
GARS_1_binding,GARS,1,K562,chr6_+_2999988_3000085_3004494_3004651_3006467_3006559_ENCSR031RRO_CTRL-1,0.031,-0.008229313,0.1960413034802591
GARS_1_binding,GARS,1,K562,chr12_+_27710821_27710955_27716290_27716458_27719807_27719868_ENCSR129RWD_CTRL-1,-0.003,-0.13224989,1.0
GARS_1_binding,GARS,1,K562,chr19_+_55655108_55655153_55658861_55658981_55659209_55659345_ENCSR031RRO_CTRL-1,-0.0,-0.008122621,1.0
GARS_1_binding,GARS,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,0.002,-0.008076874,1.0
