Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864674_173864304_173863900_ENCSR344XID_CTRL-2,-0.035,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr12_+_98599857_98600127_98601170_98601281_98601367_98601674_ENCSR031RRO_CTRL-1,0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864704_173864256_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864506_173864483_ENCSR031RRO_CTRL-1,0.003,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr4_+_52712823_52712959_52713493_52713542_52719867_52720351_ENCSR032YMP_CTRL-1,-0.0,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853590_62853072_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853849_62853800_ENCSR031RRO_CTRL-1,-0.007,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853115_62852831_ENCSR031RRO_CTRL-1,-0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853115_62852831_ENCSR031RRO_CTRL-1,-0.008,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864304_173863900_ENCSR129RWD_CTRL-2,-0.017,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_+_68786545_68786692_68787926_68788047_68788142_68788316_ENCSR032YMP_CTRL-1,0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,-0.018,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62855236_62855132_62854064_62854017_62853833_62853800_ENCSR031RRO_CTRL-1,-0.009,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853849_62853800_62853590_62853572_ENCSR031RRO_CTRL-1,-0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853833_62853800_ENCSR031RRO_CTRL-1,0.015,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr9_-_124861555_124861418_124860264_124860182_124858067_124857882_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864506_173864483_173864304_173863901_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr12_+_103939508_103939625_103941409_103941547_103941628_103941706_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,0.006,0.00093363866,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62853800_62853590_62852810_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864704_173864256_ENCSR031RRO_CTRL-1,-0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864506_173864483_173864304_173863901_ENCSR031RRO_CTRL-1,-0.0,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864483_173864304_173864256_ENCSR031RRO_CTRL-1,0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_-_100236969_100236849_100235764_100235666_100233371_100232297_ENCSR031RRO_CTRL-1,-0.024,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR031RRO_CTRL-1,-0.019,0.0024401105,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173864871_173864674_173864506_173864256_173864075_173863901_ENCSR032YMP_CTRL-1,0.001,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853590_62853551_62853115_62852831_ENCSR031RRO_CTRL-1,-0.002,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864506_173864483_ENCSR031RRO_CTRL-1,-0.004,0.0018686712,1.0
NIPBL_1_binding,NIPBL,1,K562,chr9_+_133349386_133349700_133349911_133350052_133350239_133350318_ENCSR129RWD_CTRL-1,-0.0,0.0024401105,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_37126311_37126942_37302187_37302231_37305543_37305714_ENCSR031RRO_CTRL-1,-0.01,-0.0044917827,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_133349911_133350052_133350239_133350319_133350596_133350695_ENCSR032YMP_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr14_-_102083302_102083033_102082444_102082110_102081821_102080737_ENCSR031RRO_CTRL-1,0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr2_+_186504031_186504214_186505450_186505597_186505739_186505841_ENCSR031RRO_CTRL-1,-0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_37126311_37126942_37305543_37305714_37327798_37327834_ENCSR718EWL_CTRL-1,0.001,-0.0044917827,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_133349911_133350052_133350239_133350319_133351001_133351071_ENCSR031RRO_CTRL-1,-0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_37126311_37126942_37302187_37302231_37304187_37304313_ENCSR031RRO_CTRL-1,0.003,-0.0044917827,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_123059848_123059472_123059261_123059058_123058830_123058631_ENCSR129RWD_CTRL-1,-0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_-_66503529_66503357_66503164_66503057_66502750_66502269_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_133349911_133350052_133350596_133350727_133351001_133351071_ENCSR032YMP_CTRL-1,-0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr20_-_34096805_34096656_34093731_34093674_34089905_34088297_ENCSR129RWD_CTRL-1,0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr10_+_69389196_69389296_69394949_69395105_69398594_69398828_ENCSR129RWD_CTRL-1,-0.004,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_+_811371_811645_812534_812633_812759_812861_ENCSR032YMP_CTRL-1,-0.0,-0.0000075867,1.0
NIPBL_2_binding,NIPBL,2,K562,chr3_+_186784563_186784696_186785882_186786051_186786163_186786273_ENCSR031RRO_CTRL-1,-0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr10_+_69389196_69389296_69392124_69392308_69394949_69395105_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_+_44777225_44777789_44777999_44778129_44778575_44778779_ENCSR031RRO_CTRL-1,-0.0,-0.000007443466,1.0
NIPBL_2_binding,NIPBL,2,K562,chr3_+_186784563_186784696_186784961_186785101_186785882_186785913_ENCSR031RRO_CTRL-1,0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_37126311_37126942_37304187_37304313_37305543_37305714_ENCSR031RRO_CTRL-1,-0.002,-0.0044917827,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_-_66503529_66503357_66502750_66502611_66501912_66501559_ENCSR031RRO_CTRL-1,0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_-_66503529_66503357_66502871_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr12_+_103939508_103939625_103941409_103941547_103941628_103941706_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr20_+_2656639_2656895_2657080_2657218_2657928_2658393_ENCSR031RRO_CTRL-1,-0.002,-0.000007728864,1.0
NIPBL_2_binding,NIPBL,2,K562,chr20_-_34096805_34096656_34090602_34090516_34089905_34088297_ENCSR084SCN_CTRL-1,0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_133349911_133350052_133350239_133350727_133351001_133351071_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_-_173867030_173866990_173866567_173866527_173866206_173865856_ENCSR031RRO_CTRL-1,-0.006,-0.0000075624102,1.0
NIPBL_2_binding,NIPBL,2,K562,chr2_+_202291124_202291270_202292776_202292903_202297378_202297513_ENCSR031RRO_CTRL-1,-0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr19_+_49490778_49490864_49491039_49491099_49491424_49491547_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_-_173867030_173866990_173866796_173866760_173865282_173864954_ENCSR031RRO_CTRL-1,-0.0,-0.0000075624102,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_-_173867043_173866990_173866796_173866527_173866206_173865856_ENCSR031RRO_CTRL-1,-0.001,-0.0000075624102,1.0
NIPBL_2_binding,NIPBL,2,K562,chr9_+_37126311_37126942_37147361_37147445_37302187_37302231_ENCSR031RRO_CTRL-1,0.001,-0.0044917827,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_62853833_62853800_62853590_62853551_62853115_62852831_ENCSR031RRO_CTRL-1,-0.001,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_62854064_62854017_62853115_62853074_62852839_62852810_ENCSR032YMP_CTRL-1,0.002,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr12_+_95494956_95495138_95496003_95496098_95504064_95504161_ENCSR032YMP_CTRL-1,-0.002,-0.0000075867,1.0
NIPBL_2_binding,NIPBL,2,K562,chr11_-_62854064_62854017_62853833_62853800_62853115_62852831_ENCSR031RRO_CTRL-1,-0.014,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr15_+_43792974_43793083_43793709_43793936_43794373_43796089_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_-_173867030_173866990_173866796_173866760_173866567_173866215_ENCSR031RRO_CTRL-1,-0.0,-0.0000075624102,1.0
NIPBL_2_binding,NIPBL,2,K562,chr20_-_34096805_34096656_34093731_34093674_34090602_34090516_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
NIPBL_2_binding,NIPBL,2,K562,chr1_-_173867030_173866990_173866796_173866760_173866206_173865856_ENCSR031RRO_CTRL-1,-0.002,-0.0000075624102,1.0
NIPBL_2_binding,NIPBL,2,K562,chr16_+_30067449_30068978_30069305_30069389_30069498_30069547_ENCSR031RRO_CTRL-1,-0.0,-0.000008407762,1.0
