Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
IGF2BP1_1_binding,IGF2BP1,1,K562,chr8_-_100717888_100717772_100713181_100713086_100712789_100712651_ENCSR031RRO_CTRL-1,-0.0,-0.0605286,0.00067529373,-0.061203893,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr12_+_53459271_53459403_53460330_53460425_53461014_53461143_ENCSR031RRO_CTRL-1,-0.001,-0.09807486,0.00083284563,-0.09890771,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr5_-_43294162_43294055_43292973_43292847_43292637_43292473_ENCSR084SCN_CTRL-1,0.0,0.017281156,-0.00058867625,0.017869832,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr14_+_101786017_101786183_101831700_101831804_101836168_101836432_ENCSR031RRO_CTRL-1,0.002,-0.0747122,0.0016844323,-0.07639664,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr6_-_13637955_13637807_13634552_13634430_13632521_13632369_ENCSR031RRO_CTRL-1,0.001,0.010908379,0.00010238405,0.010805995,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr12_+_53464759_53464852_53465931_53465973_53467220_53467293_ENCSR031RRO_CTRL-1,-0.003,-0.017138911,0.00053615554,-0.017675066,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr1_-_155188212_155188162_155188063_155188007_155187858_155187721_ENCSR129RWD_CTRL-1,-0.014,0.033360433,-0.0041797613,0.037540194,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr22_+_16614076_16614178_16620051_16620160_16637039_16637090_ENCSR031RRO_CTRL-1,-0.003,-0.09178117,0.00085737894,-0.092638545,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr10_+_35516522_35516623_35525963_35525999_35529972_35530030_ENCSR031RRO_CTRL-1,-0.013,-0.07824017,0.00070879236,-0.07894896,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr5_+_72896457_72896556_72897055_72897151_72900005_72900081_ENCSR031RRO_CTRL-1,0.005,-0.009210117,0.000100812,-0.009310929,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr14_+_96556174_96556413_96560648_96560711_96562818_96562893_ENCSR031RRO_CTRL-1,0.015,-0.009449835,0.000113583985,-0.009563419,1.0
IGF2BP1_1_binding,IGF2BP1,1,K562,chr8_-_96231940_96231773_96231621_96231531_96231132_96230938_ENCSR031RRO_CTRL-1,-0.001,-0.009221795,0.0001024013,-0.009324197,1.0
