Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
ADAT1_1_binding,ADAT1,1,K562,chr11_-_73981632_73981475_73980052_73979935_73978477_73978280_ENCSR031RRO_CTRL-1,0.001,0.0,0.0,0.0,1.0
ADAT1_1_binding,ADAT1,1,K562,chr9_-_133356320_133356268_133354957_133354823_133354741_133354658_ENCSR031RRO_CTRL-1,0.012,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr3_-_49786527_49786353_49748168_49747817_49738422_49738211_ENCSR031RRO_CTRL-1,-0.001,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504593_63504830_63537024_63537156_63553714_63553733_ENCSR031RRO_CTRL-1,-0.006,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504510_63504830_63532646_63532707_63553714_63553798_ENCSR143COQ_CTRL-1,-0.016,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504510_63504830_63532646_63532707_63537024_63537056_ENCSR031RRO_CTRL-1,-0.004,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504593_63504830_63530497_63530590_63532646_63532707_ENCSR031RRO_CTRL-1,0.005,0.0,0.0,0.0,1.0
ADAT1_2_binding,ADAT1,2,K562,chr15_+_63504611_63504830_63529013_63529166_63532646_63532707_ENCSR031RRO_CTRL-1,0.046,0.0,0.0,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr11_+_126276058_126276219_126276393_126276523_126277070_126277175_ENCSR031RRO_CTRL-1,-0.009,0.0,0.0,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr19_+_50406982_50407174_50407326_50407415_50408784_50408901_ENCSR031RRO_CTRL-1,-0.004,0.0,0.0,0.0,1.0
ADAT1_3_binding,ADAT1,3,K562,chr4_+_1801834_1802025_1804823_1804969_1805354_1805476_ENCSR031RRO_CTRL-1,0.009,0.0,0.0,0.0,1.0
