Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SRSF7_1_binding,SRSF7,1,HepG2,chr2_-_61537640_61537561_61534678_61534557_61533903_61533771_ENCSR003EKR_CTRL-1,-0.013,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr14_-_23069617_23069475_23066008_23065965_23064488_23064354_ENCSR003EKR_CTRL-1,0.009,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr10_-_103627202_103627088_103622553_103622469_103617314_103617196_ENCSR003EKR_CTRL-1,0.084,0.0,0.02049998873168081
SRSF7_1_binding,SRSF7,1,HepG2,chr6_+_158054966_158055028_158059256_158059537_158061991_158062164_ENCSR237YZT_CTRL-1,0.035,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr14_-_23069617_23069475_23064485_23064354_23064257_23064104_ENCSR067GHD_CTRL-1,-0.002,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR237YZT_CTRL-1,-0.024,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr17_+_82011542_82011605_82012230_82012283_82016475_82016527_ENCSR042QTH_CTRL-1,0.002,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr6_-_169659518_169659450_169659207_169659085_169658358_169658275_ENCSR003EKR_CTRL-1,0.039,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr17_+_82011542_82011605_82012083_82012283_82016475_82016527_ENCSR042QTH_CTRL-1,0.017,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr2_-_38748912_38748578_38748157_38748079_38746747_38746693_ENCSR042QTH_CTRL-1,0.019,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr17_-_65537835_65537323_65537063_65536868_65536553_65536319_ENCSR003EKR_CTRL-1,-0.053,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR003EKR_CTRL-1,0.043,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr17_+_41819254_41819399_41819840_41820023_41820268_41820461_ENCSR042QTH_CTRL-1,0.016,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr14_-_23069617_23069475_23066008_23065965_23064485_23064354_ENCSR003EKR_CTRL-1,0.008,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr17_+_82011542_82011605_82012155_82012283_82016475_82016527_ENCSR042QTH_CTRL-1,0.013,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr4_-_151325632_151325240_151226086_151226046_151187463_151187422_ENCSR585KOJ_CTRL-1,0.014,0.0,1.0
SRSF7_1_binding,SRSF7,1,HepG2,chr2_-_75560913_75560679_75522487_75522364_75518208_75518055_ENCSR003EKR_CTRL-1,0.3,0.0,0.00464699946091304
