Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
DDX21_1_binding,DDX21,1,K562,chr11_-_62854551_62854518_62853849_62853800_62853590_62853572_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr12_+_131917410_131917554_131918496_131918681_131919211_131919384_ENCSR718EWL_CTRL-1,0.04,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853833_62853800_ENCSR031RRO_CTRL-1,0.014,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr11_-_123059261_123059058_123058830_123058631_123058484_123058251_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr11_-_62854551_62854518_62854064_62853800_62853590_62852810_ENCSR031RRO_CTRL-1,-0.005,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853849_62853800_ENCSR031RRO_CTRL-1,-0.001,0.0,1.0
DDX21_1_binding,DDX21,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853590_62853072_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
DDX21_2_binding,DDX21,2,K562,chr11_-_123059261_123059058_123058830_123058631_123058484_123058251_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr11_-_62855216_62855132_62854551_62854518_62853833_62853800_ENCSR031RRO_CTRL-1,0.01,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr11_-_62855216_62855132_62854551_62854518_62854064_62853800_ENCSR031RRO_CTRL-1,-0.002,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr4_-_82898062_82897988_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,-0.039,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr11_-_62854938_62854887_62854551_62854518_62853833_62853800_ENCSR031RRO_CTRL-1,0.014,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr11_-_123059261_123059058_123058830_123058631_123058484_123058251_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr12_+_6495075_6495225_6510628_6510810_6511109_6511192_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr11_+_126276058_126276219_126276393_126276523_126277070_126277175_ENCSR031RRO_CTRL-1,-0.015,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr4_-_82900223_82900076_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,0.079,0.0,1.0
DDX21_3_binding,DDX21,3,K562,chr5_+_112160525_112161295_112161702_112161775_112162150_112162311_ENCSR031RRO_CTRL-1,0.01,0.0,1.0
DDX21_5_binding,DDX21,5,K562,chr9_+_133349911_133350052_133350239_133350319_133351001_133351071_ENCSR031RRO_CTRL-1,0.002,0.057199378,1.0
