Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
PRPF8_1_binding,PRPF8,1,K562,chr11_-_108185319_108185231_108173851_108172198_108170043_108169927_ENCSR129RWD_CTRL-1,0.022,0.14054751,1.0
PRPF8_1_binding,PRPF8,1,K562,chr19_-_9419299_9419050_9418895_9418761_9418631_9418504_ENCSR143COQ_CTRL-1,0.007,0.18922593,1.0
PRPF8_1_binding,PRPF8,1,K562,chr15_+_90877134_90877211_90877526_90877615_90878131_90878304_ENCSR031RRO_CTRL-1,0.004,0.15723301,1.0
PRPF8_1_binding,PRPF8,1,K562,chr7_-_5529400_5529160_5529059_5529018_5528719_5528280_ENCSR031RRO_CTRL-1,-0.0,0.089238204,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_+_161209856_161209931_161210110_161210188_161210590_161210696_ENCSR031RRO_CTRL-1,0.008,0.17660977,1.0
PRPF8_1_binding,PRPF8,1,K562,chr21_-_39348339_39348291_39347478_39347378_39345958_39345829_ENCSR031RRO_CTRL-1,-0.128,0.16212144,0.5212049033012711
PRPF8_1_binding,PRPF8,1,K562,chr19_-_1012188_1012065_1011798_1011740_1011663_1011579_ENCSR143COQ_CTRL-1,0.008,0.0529195,1.0
PRPF8_1_binding,PRPF8,1,K562,chr22_+_19721639_19721736_19721832_19721957_19722236_19722339_ENCSR031RRO_CTRL-1,0.02,0.000731697,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_248855943_248855724_248855635_248855557_248855458_248855379_ENCSR031RRO_CTRL-1,0.07,0.20458587,0.0
PRPF8_1_binding,PRPF8,1,K562,chr19_+_58183920_58183998_58186946_58187042_58206719_58207089_ENCSR031RRO_CTRL-1,-0.014,0.22169544,1.0
PRPF8_1_binding,PRPF8,1,K562,chr17_-_75831348_75831242_75831169_75831097_75830661_75830577_ENCSR031RRO_CTRL-1,0.027,0.20201276,0.5663372307020964
PRPF8_1_binding,PRPF8,1,K562,chr5_-_32444328_32444228_32420103_32419820_32417792_32417647_ENCSR031RRO_CTRL-1,0.004,0.05222729,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_635774_635611_635340_635280_634797_634663_ENCSR031RRO_CTRL-1,0.052,-0.023823697,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_173865894_173865856_173865547_173865509_173864304_173863900_ENCSR084SCN_CTRL-1,-0.0,0.13680658,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_150966862_150966755_150966629_150966475_150966288_150965172_ENCSR031RRO_CTRL-1,0.002,0.15540092,1.0
PRPF8_1_binding,PRPF8,1,K562,chr11_+_67280731_67280783_67281092_67281184_67281458_67281558_ENCSR031RRO_CTRL-1,-0.016,0.19134475,1.0
PRPF8_1_binding,PRPF8,1,K562,chr17_+_28720568_28720890_28722722_28722899_28723570_28723640_ENCSR032YMP_CTRL-1,0.002,0.19748038,1.0
PRPF8_1_binding,PRPF8,1,K562,chr2_-_61492198_61492034_61490776_61490641_61484105_61483936_ENCSR031RRO_CTRL-1,0.021,0.15264946,1.0
PRPF8_1_binding,PRPF8,1,K562,chr7_+_861379_861464_865951_866067_872469_872562_ENCSR092WKG_CTRL-1,-0.012,0.2228131,1.0
PRPF8_1_binding,PRPF8,1,K562,chr17_+_42567618_42567655_42568469_42568559_42568836_42568943_ENCSR031RRO_CTRL-1,-0.022,0.12446415,1.0
PRPF8_1_binding,PRPF8,1,K562,chr21_-_39348339_39348291_39347483_39347378_39345274_39345145_ENCSR031RRO_CTRL-1,0.001,0.19521166,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_+_89949416_89949513_89950066_89950328_89954242_89954376_ENCSR031RRO_CTRL-1,0.002,-0.03651594,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_+_40533142_40533181_40540585_40540712_40541614_40541710_ENCSR143COQ_CTRL-1,0.416,0.21937978,0.00024712715252879855
PRPF8_1_binding,PRPF8,1,K562,chr14_-_104773980_104773911_104773580_104773454_104773379_104773250_ENCSR031RRO_CTRL-1,0.009,0.09631187,1.0
PRPF8_1_binding,PRPF8,1,K562,chr22_+_19721639_19721736_19721821_19721957_19722236_19722339_ENCSR031RRO_CTRL-1,0.016,-0.037234996,1.0
PRPF8_1_binding,PRPF8,1,K562,chr15_+_97965894_97966042_97968013_97968116_97969122_97969379_ENCSR031RRO_CTRL-1,-0.006,0.20530935,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_+_150557149_150557335_150557493_150557623_150557944_150558149_ENCSR031RRO_CTRL-1,0.008,0.16467212,1.0
PRPF8_1_binding,PRPF8,1,K562,chr14_-_24442260_24442177_24441795_24441673_24440926_24440203_ENCSR031RRO_CTRL-1,-0.023,0.24099198,0.8574015145475125
PRPF8_1_binding,PRPF8,1,K562,chr20_+_32429337_32429431_32429900_32430053_32431320_32431484_ENCSR031RRO_CTRL-1,0.262,0.11264041,0.00034527422885450237
PRPF8_1_binding,PRPF8,1,K562,chr4_+_53379224_53379264_53382277_53382335_53383772_53383876_ENCSR031RRO_CTRL-1,0.004,0.06909075,1.0
PRPF8_1_binding,PRPF8,1,K562,chr1_-_244862730_244862618_244862534_244862460_244860474_244860334_ENCSR031RRO_CTRL-1,0.002,0.08131603,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_+_727245_727614_727964_728029_728115_728233_ENCSR031RRO_CTRL-2,-0.038,0.2159854,1.0
PRPF8_1_binding,PRPF8,1,K562,chr11_-_57330429_57330290_57330138_57330092_57328426_57328296_ENCSR031RRO_CTRL-1,0.002,0.08123744,1.0
PRPF8_1_binding,PRPF8,1,K562,chr8_+_63169386_63169411_63173650_63173681_63175330_63175416_ENCSR031RRO_CTRL-1,0.009,0.11715857,1.0
PRPF8_1_binding,PRPF8,1,K562,chr18_-_50285928_50285748_50285351_50285324_50285247_50285001_ENCSR031RRO_CTRL-1,-0.029,0.044291463,0.2901419313522307
PRPF8_1_binding,PRPF8,1,K562,chr6_-_31144788_31144686_31143413_31143261_31143134_31142962_ENCSR031RRO_CTRL-1,0.005,0.24099198,1.0
PRPF8_1_binding,PRPF8,1,K562,chr14_-_23068671_23067313_23066008_23065965_23064485_23064354_ENCSR031RRO_CTRL-1,-0.006,0.07089822,1.0
PRPF8_1_binding,PRPF8,1,K562,chr22_-_19854539_19854442_19821375_19821227_19812447_19812294_ENCSR031RRO_CTRL-1,-0.037,0.1471308,0.07601766935714543
PRPF8_1_binding,PRPF8,1,K562,chr1_+_155325315_155325490_155325600_155325672_155325863_155325910_ENCSR031RRO_CTRL-1,0.006,0.21812421,1.0
PRPF8_1_binding,PRPF8,1,K562,chr16_-_1853134_1853038_1844963_1844861_1841973_1841819_ENCSR031RRO_CTRL-1,0.006,0.2609392,1.0
PRPF8_1_binding,PRPF8,1,K562,chr15_+_78541904_78541930_78542176_78542219_78542482_78542645_ENCSR031RRO_CTRL-1,0.001,0.1775783,1.0
