Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
RPS6_1_binding,RPS6,1,K562,chr1_+_40373696_40374223_40406735_40406869_40408652_40408738_ENCSR031RRO_CTRL-1,0.007,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr2_-_175181466_175181354_175180178_175180097_175179250_175178185_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr1_+_40373696_40374223_40413015_40413102_40414158_40414240_ENCSR164MUK_CTRL-1,-0.002,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr7_-_75486108_75485863_75484256_75484197_75475188_75475061_ENCSR031RRO_CTRL-1,0.055,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr3_-_196503677_196502872_196487578_196487398_196483891_196483769_ENCSR031RRO_CTRL-1,0.012,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr7_-_45104709_45104537_45104256_45104098_45103443_45103030_ENCSR031RRO_CTRL-1,-0.008,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr20_+_2656639_2656895_2657080_2657218_2657928_2658393_ENCSR031RRO_CTRL-1,-0.008,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr5_-_40834606_40834470_40834265_40834180_40832573_40825261_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr5_-_40835212_40835182_40834606_40834470_40834265_40833878_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr7_+_156949722_156950724_156954102_156954298_156959850_156960174_ENCSR129RWD_CTRL-1,0.016,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr7_+_156949722_156950724_156952473_156952598_156954102_156954298_ENCSR031RRO_CTRL-1,0.014,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr6_+_31669096_31669172_31669318_31669508_31670972_31671008_ENCSR031RRO_CTRL-1,-0.001,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr11_+_66059781_66060009_66060581_66060731_66061685_66061775_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr1_+_23019492_23019947_23044426_23044486_23050386_23050520_ENCSR031RRO_CTRL-1,0.008,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr6_+_31669096_31669172_31669318_31669508_31669835_31670070_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr11_+_290389_290600_290677_290781_291001_291113_ENCSR031RRO_CTRL-1,-0.021,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr16_+_22297419_22297537_22298952_22299036_22302930_22303004_ENCSR031RRO_CTRL-1,0.014,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr4_-_82373777_82373445_82359639_82359470_82358820_82358658_ENCSR031RRO_CTRL-1,0.0,0.0,1.0
RPS6_1_binding,RPS6,1,K562,chr6_+_31669096_31669172_31669318_31669508_31671155_31671284_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
RPS6_2_binding,RPS6,2,K562,chr1_+_26473482_26473527_26473702_26473817_26474084_26474135_ENCSR031RRO_CTRL-1,0.007,-0.0045741536,1.0
RPS6_2_binding,RPS6,2,K562,chr1_-_1321093_1320995_1320529_1320455_1319524_1318678_ENCSR031RRO_CTRL-1,-0.002,-0.0036237172,1.0
RPS6_2_binding,RPS6,2,K562,chr3_-_64023472_64023274_64022801_64022642_64022523_64022317_ENCSR031RRO_CTRL-1,0.018,-0.069050044,1.0
RPS6_2_binding,RPS6,2,K562,chr1_-_1321093_1320995_1320682_1320455_1319524_1319380_ENCSR031RRO_CTRL-1,-0.003,-0.0035277302,1.0
RPS6_2_binding,RPS6,2,K562,chr20_+_64011284_64011503_64016722_64016845_64022756_64022878_ENCSR031RRO_CTRL-1,0.002,-0.003573404,1.0
RPS6_2_binding,RPS6,2,K562,chr1_-_1321093_1320995_1320529_1320455_1315618_1315519_ENCSR032YMP_CTRL-1,-0.006,-0.0036592379,1.0
RPS6_2_binding,RPS6,2,K562,chr17_-_78125263_78125157_78124985_78124888_78124781_78124178_ENCSR031RRO_CTRL-1,0.041,-0.04704195,1.0
RPS6_2_binding,RPS6,2,K562,chr20_+_2656639_2656895_2657080_2657218_2657928_2658393_ENCSR031RRO_CTRL-1,-0.008,-0.018323008,1.0
RPS6_2_binding,RPS6,2,K562,chr12_-_56724523_56724451_56721459_56715870_56714687_56714601_ENCSR031RRO_CTRL-1,-0.0,-0.0033338973,1.0
RPS6_2_binding,RPS6,2,K562,chr11_-_64778507_64778361_64778146_64777986_64776626_64776497_ENCSR031RRO_CTRL-1,0.005,-0.015723038,1.0
RPS6_2_binding,RPS6,2,K562,chr12_+_120496090_120496216_120496401_120496553_120498072_120498491_ENCSR031RRO_CTRL-1,-0.001,-0.0032399173,1.0
RPS6_2_binding,RPS6,2,K562,chr12_-_56724523_56724451_56721459_56719725_56714687_56714601_ENCSR344XID_CTRL-1,-0.0,-0.0033338973,1.0
RPS6_2_binding,RPS6,2,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.001,-0.0054665683,1.0
RPS6_2_binding,RPS6,2,K562,chr12_+_120496055_120496216_120496415_120496553_120498072_120498237_ENCSR031RRO_CTRL-1,-0.0,-0.0032399173,1.0
RPS6_2_binding,RPS6,2,K562,chr6_+_132814971_132815088_132816460_132816563_132816959_132817061_ENCSR031RRO_CTRL-1,-0.0,-0.0033403256,1.0
RPS6_2_binding,RPS6,2,K562,chr4_-_674338_674211_673966_673911_673401_673302_ENCSR031RRO_CTRL-1,0.016,-0.018922333,0.34391068555682447
RPS6_2_binding,RPS6,2,K562,chr5_-_40835212_40835182_40834606_40834470_40834265_40833878_ENCSR031RRO_CTRL-1,-0.0,-0.0016188018,1.0
RPS6_2_binding,RPS6,2,K562,chr6_+_132814971_132815088_132816959_132817061_132817479_132817564_ENCSR032YMP_CTRL-1,-0.0,-0.0033306647,1.0
RPS6_2_binding,RPS6,2,K562,chr12_-_56725299_56725262_56724549_56724451_56714687_56714601_ENCSR031RRO_CTRL-1,0.001,-0.0034587816,1.0
RPS6_2_binding,RPS6,2,K562,chr16_-_88737646_88737558_88736739_88736638_88736408_88736147_ENCSR031RRO_CTRL-1,0.002,-0.0035503353,1.0
RPS6_2_binding,RPS6,2,K562,chr8_+_97644178_97644887_97661071_97661173_97686667_97686752_ENCSR031RRO_CTRL-1,-0.011,-0.0033894249,1.0
RPS6_2_binding,RPS6,2,K562,chr22_-_22557580_22557544_22556930_22556811_22551089_22550766_ENCSR031RRO_CTRL-1,-0.025,-0.014534818,0.18032441220161166
RPS6_2_binding,RPS6,2,K562,chr22_-_22557580_22557544_22556909_22556811_22551089_22550766_ENCSR031RRO_CTRL-1,-0.024,-0.014138444,0.2172023821726164
RPS6_2_binding,RPS6,2,K562,chr3_-_64023456_64023274_64022801_64022738_64022523_64022317_ENCSR031RRO_CTRL-1,-0.002,-0.07056401,1.0
RPS6_2_binding,RPS6,2,K562,chr19_+_2270290_2270676_2271384_2271530_2271781_2271954_ENCSR031RRO_CTRL-1,0.0,-0.029299041,1.0
RPS6_2_binding,RPS6,2,K562,chr22_-_22557580_22557544_22557086_22556811_22551089_22550753_ENCSR031RRO_CTRL-1,-0.029,-0.014130469,0.2288311169578971
RPS6_2_binding,RPS6,2,K562,chr22_-_22557580_22557544_22556977_22556811_22551089_22550766_ENCSR031RRO_CTRL-1,-0.03,-0.014146652,0.22702856826645007
RPS6_2_binding,RPS6,2,K562,chr17_+_77088748_77089271_77093243_77093347_77099017_77099174_ENCSR129RWD_CTRL-1,0.022,-0.0031694577,1.0
RPS6_2_binding,RPS6,2,K562,chr19_+_2217771_2217918_2220107_2220222_2221975_2222559_ENCSR031RRO_CTRL-1,0.008,-0.0058479896,1.0
RPS6_2_binding,RPS6,2,K562,chr16_-_88717211_88717022_88716898_88716805_88716731_88716558_ENCSR031RRO_CTRL-1,-0.002,-0.05361243,1.0
RPS6_2_binding,RPS6,2,K562,chr19_+_2217771_2217918_2221975_2222559_2223280_2223486_ENCSR143COQ_CTRL-1,0.013,-0.003448471,1.0
RPS6_2_binding,RPS6,2,K562,chr11_-_61967453_61967311_61965515_61965368_61965112_61964746_ENCSR031RRO_CTRL-1,-0.0,-0.0046976972,1.0
RPS6_2_binding,RPS6,2,K562,chr11_+_290389_290600_290677_290781_291001_291113_ENCSR031RRO_CTRL-1,-0.021,-0.004519716,1.0
RPS6_2_binding,RPS6,2,K562,chr1_-_1321093_1320995_1319524_1319295_1315618_1315519_ENCSR031RRO_CTRL-1,-0.009,-0.0037103053,1.0
RPS6_2_binding,RPS6,2,K562,chr22_-_22557721_22557544_22551089_22550766_22550334_22549725_ENCSR031RRO_CTRL-1,-0.001,-0.007327047,1.0
RPS6_2_binding,RPS6,2,K562,chr17_-_78125263_78125157_78124781_78124523_78124179_78123988_ENCSR031RRO_CTRL-1,0.01,-0.0064641647,1.0
RPS6_2_binding,RPS6,2,K562,chr11_-_61967453_61967311_61965515_61965368_61959904_61959821_ENCSR031RRO_CTRL-1,0.001,-0.003353387,1.0
RPS6_2_binding,RPS6,2,K562,chr11_-_61967371_61967311_61965577_61965368_61965112_61964986_ENCSR031RRO_CTRL-1,0.0,-0.004797677,1.0
RPS6_3_binding,RPS6,3,K562,chr4_-_82374144_82374118_82373737_82373445_82371584_82371527_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
RPS6_3_binding,RPS6,3,K562,chr16_-_89286186_89286038_89285649_89279071_89275191_89275092_ENCSR031RRO_CTRL-1,0.008,0.0,1.0
RPS6_3_binding,RPS6,3,K562,chr1_+_26473482_26473527_26473702_26473817_26474084_26474135_ENCSR031RRO_CTRL-1,0.007,0.0,1.0
