Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
SAFB_1_binding,SAFB,1,K562,chr9_-_123268564_123268435_123236966_123236829_123184298_123184131_ENCSR031RRO_CTRL-1,0.149,0.0,0.21230750273622795
SAFB_2_binding,SAFB,2,K562,chr9_-_123268564_123268435_123236966_123236829_123184298_123184131_ENCSR031RRO_CTRL-1,0.149,0.0,0.21230750273622795
SAFB_2_binding,SAFB,2,K562,chr11_+_65581898_65581965_65583591_65583765_65584240_65584398_ENCSR031RRO_CTRL-1,0.029,0.0,1.0
SAFB_3_binding,SAFB,3,K562,chr17_-_29294118_29293782_29287716_29285991_29267530_29267497_ENCSR031RRO_CTRL-1,-0.005,-2.1606147,1.0
SAFB_3_binding,SAFB,3,K562,chr17_+_50737286_50737479_50738136_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,-0.142,-2.3634207,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001476_90001561_90005447_90005845_90017123_90017326_ENCSR031RRO_CTRL-1,-0.003,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001476_90001561_90005447_90005731_90017123_90017326_ENCSR031RRO_CTRL-1,-0.004,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr8_+_90001475_90001561_90005291_90005369_90017123_90017326_ENCSR031RRO_CTRL-1,0.008,-2.4710784,1.0
SAFB_3_binding,SAFB,3,K562,chr17_+_50736959_50737026_50738140_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,0.009,-2.3686726,1.0
SAFB_4_binding,SAFB,4,K562,chr17_+_50737286_50737479_50738136_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,-0.142,0.0010589936,1.0
SAFB_4_binding,SAFB,4,K562,chr17_+_50736959_50737026_50738140_50738199_50740305_50740345_ENCSR031RRO_CTRL-1,0.009,0.0010589936,1.0
SAFB_5_binding,SAFB,5,K562,chr22_-_19447691_19447664_19447545_19447377_19444390_19441776_ENCSR031RRO_CTRL-1,0.078,0.0,0.8263603885182647
SAFB_5_binding,SAFB,5,K562,chr8_+_17956603_17956777_17957263_17957421_17957539_17957775_ENCSR031RRO_CTRL-1,-0.008,0.0,1.0
SAFB_6_binding,SAFB,6,K562,chr19_+_28606687_28607104_28610981_28612154_28612438_28615229_ENCSR031RRO_CTRL-1,-0.246,-0.038057633,0.0
SAFB_6_binding,SAFB,6,K562,chr19_+_28610259_28610331_28610981_28612154_28612438_28615229_ENCSR031RRO_CTRL-1,-0.005,-0.036556046,1.0
SAFB_6_binding,SAFB,6,K562,chr3_+_160431642_160431825_160432282_160432515_160433025_160433209_ENCSR031RRO_CTRL-1,-0.0,-0.000138615,1.0
SAFB_6_binding,SAFB,6,K562,chr19_+_28606687_28607104_28610259_28610331_28612438_28615229_ENCSR031RRO_CTRL-1,-0.262,-0.03865543,0.0
