Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049250_76049199_76048464_76048420_76047718_76046903_ENCSR031RRO_CTRL-1,-0.002,-0.017935012,0.00033998484,-0.018274996,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18436877_18436683_18436479_18436329_ENCSR031RRO_CTRL-1,0.025,-0.005455275,0.00006895368,-0.005524229,1.0
SRSF7_1_binding,SRSF7,1,K562,chr15_+_75868950_75869010_75873427_75873568_75876186_75876271_ENCSR031RRO_CTRL-1,0.004,-0.046770185,0.0030801243,-0.04985031,1.0
SRSF7_1_binding,SRSF7,1,K562,chr18_-_77990174_77990092_77989914_77989818_77986997_77986873_ENCSR031RRO_CTRL-1,0.001,-0.0008860236,0.000008734691,-0.0008947583,1.0
SRSF7_1_binding,SRSF7,1,K562,chr2_+_85541828_85541972_85542154_85542373_85542564_85542747_ENCSR129RWD_CTRL-1,-0.0,-0.017598612,0.00027662292,-0.017875236,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_+_670455_670557_670674_670773_670891_670940_ENCSR031RRO_CTRL-1,0.04,-0.0041683065,0.00005829768,-0.004226604,0.21628697785323672
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437105_18436972_18436877_18436683_ENCSR031RRO_CTRL-1,-0.046,-0.0055553787,0.00007046205,-0.0056258407,0.7220312022295003
SRSF7_1_binding,SRSF7,1,K562,chr20_-_35742236_35741940_35740887_35738967_35732135_35731940_ENCSR031RRO_CTRL-1,0.006,-0.0013486336,0.000023060029,-0.0013716936,1.0
SRSF7_1_binding,SRSF7,1,K562,chr22_+_20043354_20043443_20047969_20048328_20052464_20052584_ENCSR031RRO_CTRL-1,-0.008,-0.0008828925,0.000008619778,-0.0008915123,1.0
SRSF7_1_binding,SRSF7,1,K562,chr3_-_47781881_47781602_47772936_47772816_47745993_47745907_ENCSR031RRO_CTRL-1,-0.009,-0.0037407298,0.00004029547,-0.0037810253,1.0
SRSF7_1_binding,SRSF7,1,K562,chr7_+_139376061_139376156_139398598_139398697_139402136_139402247_ENCSR031RRO_CTRL-1,-0.003,-0.018221991,0.00033699782,-0.018558988,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95483214_95483280_95485947_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,0.043,-0.057645172,0.004104913,-0.061750084,1.0
SRSF7_1_binding,SRSF7,1,K562,chr2_-_27383600_27383365_27382605_27382475_27382228_27382125_ENCSR031RRO_CTRL-1,0.006,-0.029620651,0.0005305227,-0.030151173,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437760_18437598_18436479_18436329_ENCSR031RRO_CTRL-1,0.036,-0.005471821,0.000067863104,-0.005539684,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049250_76049199_76048464_76048392_76047718_76044901_ENCSR031RRO_CTRL-1,-0.001,-0.017088154,0.00032648066,-0.017414635,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_+_89588674_89588808_89589896_89589951_89591006_89591058_ENCSR031RRO_CTRL-1,0.004,-0.0007596678,0.000005902946,-0.00076557073,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33446643_33446764_33448540_33448731_ENCSR031RRO_CTRL-1,-0.001,-0.018123467,0.0009021332,-0.0190256,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95485878_95485981_95494055_95494217_95494956_95494974_ENCSR815CVQ_CTRL-1,0.002,-0.01700984,0.0003163417,-0.017326182,1.0
SRSF7_1_binding,SRSF7,1,K562,chr10_+_68765887_68766079_68771205_68771445_68772987_68773099_ENCSR031RRO_CTRL-1,-0.001,-0.006149179,0.00034357162,-0.0064927503,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_+_98015725_98015781_98016728_98016851_98018484_98018704_ENCSR032YMP_CTRL-1,0.007,-0.027750915,0.00046834597,-0.02821926,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206724_54207397_54207644_ENCSR031RRO_CTRL-1,0.02,-0.005385427,0.000052209827,-0.0054376367,0.41028103660185966
SRSF7_1_binding,SRSF7,1,K562,chr10_+_42802136_42802218_42816598_42816672_42817317_42817494_ENCSR031RRO_CTRL-1,0.031,-0.00083244697,0.00000872985,-0.00084117684,0.07307248089990634
SRSF7_1_binding,SRSF7,1,K562,chr19_-_2328477_2328386_2326139_2325979_2324196_2324124_ENCSR031RRO_CTRL-1,0.001,-0.001840403,0.00005144634,-0.0018918493,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437105_18436972_18436479_18436329_ENCSR092WKG_CTRL-2,0.023,-0.005548735,0.000069402246,-0.0056181373,1.0
SRSF7_1_binding,SRSF7,1,K562,chr7_+_98881974_98882024_98890334_98890445_98892423_98892528_ENCSR031RRO_CTRL-1,0.012,-0.0008316149,0.000007590095,-0.000839205,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_95752238_95752350_95755395_95755761_95763507_95763542_ENCSR031RRO_CTRL-1,-0.001,-0.027349692,0.0004728295,-0.02782252,1.0
SRSF7_1_binding,SRSF7,1,K562,chr20_-_35714251_35714184_35713096_35713018_35709256_35709032_ENCSR031RRO_CTRL-1,0.009,-0.042628307,0.00075699936,-0.043385305,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50750500_50750694_50752199_50752709_ENCSR129RWD_CTRL-1,-0.0,-0.0066576386,0.0001532204,-0.006810859,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437760_18437598_18437105_18436329_ENCSR031RRO_CTRL-1,0.005,-0.0036151763,0.000051743227,-0.0036669194,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18437988_18437859_18437760_18437598_18436877_18436683_ENCSR031RRO_CTRL-1,-0.036,-0.0054804655,0.000069000074,-0.005549466,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_+_95483214_95483280_95485878_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,0.008,-0.052081544,0.004027749,-0.056109294,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18995280_18994365_18993740_18993647_18991553_18991339_ENCSR092WKG_CTRL-1,-0.014,0.08599693,-0.004380216,0.09037715,1.0
SRSF7_1_binding,SRSF7,1,K562,chr11_-_93736239_93736140_93734660_93734624_93733397_93732976_ENCSR031RRO_CTRL-1,0.018,-0.0054726484,0.00009727176,-0.0055699204,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206462_54207397_54207647_ENCSR031RRO_CTRL-1,0.015,-0.0053923163,0.00005246962,-0.005444786,0.1952005895325281
SRSF7_1_binding,SRSF7,1,K562,chr17_-_28579406_28579364_28579252_28579140_28578752_28578009_ENCSR031RRO_CTRL-1,0.001,-0.013394443,0.00024287326,-0.013637316,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206552_54206724_54207397_54207522_ENCSR031RRO_CTRL-1,-0.064,-0.0037204374,0.00003820607,-0.0037586435,0.8425380365556843
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33448540_33448731_33453288_33453346_ENCSR031RRO_CTRL-1,0.002,-0.050848477,0.0041949614,-0.055043437,1.0
SRSF7_1_binding,SRSF7,1,K562,chr12_-_76049785_76049755_76049250_76049199_76048464_76036586_ENCSR031RRO_CTRL-1,-0.001,-0.02708595,0.0024936765,-0.029579626,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_171400152_171400210_171400838_171400925_171405301_171405403_ENCSR031RRO_CTRL-1,0.009,-0.004608073,0.00006256679,-0.0046706395,0.09102332311137157
SRSF7_1_binding,SRSF7,1,K562,chr7_+_139409562_139409654_139412550_139412580_139417537_139417729_ENCSR031RRO_CTRL-1,-0.002,-0.04081124,0.002037492,-0.042848732,1.0
SRSF7_1_binding,SRSF7,1,K562,chr1_-_51840454_51840225_51836438_51836368_51836212_51836130_ENCSR031RRO_CTRL-1,0.003,-0.005705104,0.00014710883,-0.005852213,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33446606_33446764_33448540_33448731_ENCSR031RRO_CTRL-1,-0.006,-0.018123467,0.0009021332,-0.0190256,1.0
SRSF7_1_binding,SRSF7,1,K562,chr1_-_186326235_186326103_186325854_186325763_186323870_186323685_ENCSR031RRO_CTRL-1,0.002,0.025951931,-0.0007297876,0.02668172,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_+_26254103_26254769_26337566_26337642_26349071_26349182_ENCSR031RRO_CTRL-1,0.008,-0.0008741437,0.000008604548,-0.0008827482,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_8465323_8465362_8465479_8465515_8466234_8466388_ENCSR031RRO_CTRL-1,-0.001,-0.0044853194,0.00005487763,-0.004540197,1.0
SRSF7_1_binding,SRSF7,1,K562,chr13_-_106559657_106559431_106557616_106557558_106557131_106557047_ENCSR031RRO_CTRL-1,0.028,-0.07690181,0.0042333095,-0.08113512,0.934255951909146
SRSF7_1_binding,SRSF7,1,K562,chr19_-_18995280_18994365_18993740_18993647_18991149_18990889_ENCSR031RRO_CTRL-1,0.033,0.08854608,-0.004471822,0.093017906,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50749218_50749344_50750500_50750550_ENCSR031RRO_CTRL-1,0.039,-0.009620411,0.00038240562,-0.010002817,0.002116408130070657
SRSF7_1_binding,SRSF7,1,K562,chr17_-_28585998_28585863_28585653_28585533_28585411_28585318_ENCSR031RRO_CTRL-1,-0.008,-0.00091517315,0.0000084328985,-0.00092360604,1.0
SRSF7_1_binding,SRSF7,1,K562,chr1_-_150235983_150235732_150229144_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,0.002,-0.005460736,0.00008898611,-0.005549722,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_33445323_33445404_33448540_33448731_33453293_33453412_ENCSR084SCN_CTRL-1,-0.004,-0.052676994,0.0042786454,-0.05695564,1.0
SRSF7_1_binding,SRSF7,1,K562,chr5_+_95752238_95752350_95763507_95763620_95768045_95768166_ENCSR031RRO_CTRL-1,0.012,-0.004398527,0.00005925107,-0.0044577783,1.0
SRSF7_1_binding,SRSF7,1,K562,chr11_+_32588593_32588732_32589011_32589135_32589546_32589603_ENCSR031RRO_CTRL-1,-0.002,-0.0037701377,0.00003947447,-0.0038096122,1.0
SRSF7_1_binding,SRSF7,1,K562,chr10_+_60785663_60785787_60788059_60788230_60791889_60791969_ENCSR031RRO_CTRL-1,-0.001,-0.0007109331,0.0000065412933,-0.00071747444,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_-_2328477_2328386_2326139_2325979_2324192_2324124_ENCSR031RRO_CTRL-1,0.002,-0.0018383492,0.000051309635,-0.0018896587,1.0
SRSF7_1_binding,SRSF7,1,K562,chr19_+_54201486_54201609_54206275_54206462_54206552_54206565_ENCSR031RRO_CTRL-1,0.0,-0.004273613,0.00004317156,-0.0043167844,1.0
SRSF7_1_binding,SRSF7,1,K562,chr9_-_128273972_128273849_128272865_128272784_128268524_128268419_ENCSR031RRO_CTRL-1,0.02,-0.016129872,0.00026870938,-0.01639858,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_-_229374_229278_228402_228332_227336_227241_ENCSR031RRO_CTRL-1,-0.105,-0.0008831693,0.0000075619696,-0.0008907313,1.0
SRSF7_1_binding,SRSF7,1,K562,chr11_-_93736239_93736140_93734660_93734624_93733419_93733349_ENCSR031RRO_CTRL-1,0.009,-0.004164986,0.000058558304,-0.004223544,1.0
SRSF7_1_binding,SRSF7,1,K562,chr6_-_18258405_18258303_18258062_18257952_18256455_18256360_ENCSR031RRO_CTRL-1,0.001,-0.0042099585,0.00005842843,-0.004268387,1.0
SRSF7_1_binding,SRSF7,1,K562,chr10_-_101817866_101817823_101813606_101813554_101813127_101813029_ENCSR031RRO_CTRL-1,-0.013,-0.009640358,0.00018164532,-0.009822004,1.0
SRSF7_1_binding,SRSF7,1,K562,chr9_+_131135939_131136006_131139280_131139407_131140548_131140710_ENCSR031RRO_CTRL-1,0.0,-0.010528426,0.00015531776,-0.010683743,1.0
SRSF7_1_binding,SRSF7,1,K562,chr17_+_50746541_50746702_50750500_50750641_50750746_50750852_ENCSR031RRO_CTRL-1,-0.0,-0.0066637835,0.00015372912,-0.0068175127,1.0
SRSF7_1_binding,SRSF7,1,K562,chr16_+_670455_670557_670674_670773_670888_671000_ENCSR031RRO_CTRL-1,0.018,-0.0023998586,0.000031637126,-0.0024314956,1.0
SRSF7_2_binding,SRSF7,2,K562,chr12_-_76049250_76049199_76048464_76048420_76047718_76046903_ENCSR031RRO_CTRL-1,-0.002,-0.12553418,0.00066529465,-0.12619947,1.0
SRSF7_2_binding,SRSF7,2,K562,chr16_-_227336_227241_220747_220648_208188_208077_ENCSR031RRO_CTRL-1,-0.004,-0.16254175,0.0012933512,-0.1638351,1.0
SRSF7_2_binding,SRSF7,2,K562,chr20_-_35732135_35731940_35729551_35729461_35729365_35729311_ENCSR031RRO_CTRL-1,-0.011,-0.10945685,0.00030964147,-0.10976649,1.0
SRSF7_2_binding,SRSF7,2,K562,chr12_-_76059878_76059797_76057776_76057743_76056161_76056032_ENCSR031RRO_CTRL-1,-0.001,-0.15165222,0.0006944868,-0.1523467,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_+_212333496_212333598_212342187_212342280_212345802_212345933_ENCSR031RRO_CTRL-1,0.011,-0.0666025,0.00020350839,-0.066806,1.0
SRSF7_2_binding,SRSF7,2,K562,chr7_-_148818117_148817876_148817391_148817221_148816778_148816683_ENCSR031RRO_CTRL-1,0.026,-0.057880007,0.00013238071,-0.05801239,0.2838997818172327
SRSF7_2_binding,SRSF7,2,K562,chr20_-_35732135_35731940_35729527_35729461_35729365_35729311_ENCSR031RRO_CTRL-1,-0.006,-0.1988227,0.0017739838,-0.20059669,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_-_154183078_154182987_154176179_154176114_154173201_154173083_ENCSR031RRO_CTRL-1,-0.005,-0.21118183,0.0021319985,-0.21331383,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_-_150226795_150226607_150223240_150223185_150220758_150220391_ENCSR031RRO_CTRL-1,-0.0,-0.17741081,0.0013563153,-0.17876713,1.0
SRSF7_2_binding,SRSF7,2,K562,chr12_-_76059878_76059797_76056672_76056573_76056161_76056032_ENCSR031RRO_CTRL-1,0.001,-0.15165222,0.0006944868,-0.1523467,1.0
SRSF7_2_binding,SRSF7,2,K562,chr6_-_52266696_52266610_52266144_52266074_52264786_52264008_ENCSR032YMP_CTRL-1,0.004,-0.13540904,0.001337202,-0.13674624,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_-_150226795_150226607_150223240_150223185_150220761_150218416_ENCSR031RRO_CTRL-1,-0.0,-0.17818171,0.0014840993,-0.1796658,1.0
SRSF7_2_binding,SRSF7,2,K562,chr12_-_76049250_76049199_76048464_76048392_76047718_76044901_ENCSR031RRO_CTRL-1,-0.001,-0.14156978,0.0007459033,-0.14231569,1.0
SRSF7_2_binding,SRSF7,2,K562,chr2_+_231711889_231711983_231712451_231712516_231712803_231713289_ENCSR031RRO_CTRL-1,-0.0,-0.18349886,0.0015834791,-0.18508233,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_-_205750276_205749956_205727805_205727699_205723981_205723925_ENCSR031RRO_CTRL-1,0.005,-0.21416064,0.001949691,-0.21611033,1.0
SRSF7_2_binding,SRSF7,2,K562,chr19_+_54201132_54201281_54206275_54206462_54207397_54207647_ENCSR031RRO_CTRL-1,-0.001,-0.086527616,0.0023994842,-0.0889271,1.0
SRSF7_2_binding,SRSF7,2,K562,chr20_-_35732135_35731940_35729527_35729461_35725155_35725037_ENCSR031RRO_CTRL-1,-0.001,-0.18344513,0.0019542747,-0.1853994,1.0
SRSF7_2_binding,SRSF7,2,K562,chr12_+_54282572_54282665_54282799_54282874_54283811_54283878_ENCSR031RRO_CTRL-1,-0.0,-0.115014836,0.000962238,-0.11597707,1.0
SRSF7_2_binding,SRSF7,2,K562,chr19_+_54201132_54201281_54201486_54201609_54207397_54207647_ENCSR031RRO_CTRL-1,-0.001,-0.09282108,0.0028207116,-0.09564179,1.0
SRSF7_2_binding,SRSF7,2,K562,chr7_+_156949722_156950724_156952473_156952598_156954102_156954298_ENCSR031RRO_CTRL-1,0.0,-0.19674838,0.0017125808,-0.19846095,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_+_29053103_29053312_29058588_29058645_29058810_29058852_ENCSR031RRO_CTRL-1,-0.005,-0.11870742,0.0006698688,-0.119377285,1.0
SRSF7_2_binding,SRSF7,2,K562,chr1_-_1223357_1223243_1218943_1218768_1218633_1218457_ENCSR031RRO_CTRL-1,0.002,-0.1081839,0.00030327024,-0.10848717,1.0
