Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
NPM1_1_binding,NPM1,1,K562,chr2_-_61537640_61537561_61534678_61534557_61533903_61533771_ENCSR031RRO_CTRL-1,-0.029,0.0,0.2796360992394991
NPM1_2_binding,NPM1,2,K562,chr19_+_8474166_8474244_8483157_8483211_8485602_8485648_ENCSR031RRO_CTRL-1,0.006,0.0,1.0
NPM1_3_binding,NPM1,3,K562,chr4_-_82900223_82900076_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,-0.192,0.0,0.015643580449247643
NPM1_3_binding,NPM1,3,K562,chr4_-_82898062_82897988_82895774_82895691_82894847_82893008_ENCSR031RRO_CTRL-1,-0.085,0.0,0.26493417310397976
NPM1_4_binding,NPM1,4,K562,chr19_+_8471325_8471427_8474166_8474244_8485602_8486273_ENCSR031RRO_CTRL-1,-0.041,0.0,1.0
NPM1_4_binding,NPM1,4,K562,chr19_+_8471325_8471427_8474166_8474244_8483157_8483211_ENCSR031RRO_CTRL-1,-0.006,0.0,1.0
NPM1_5_binding,NPM1,5,K562,chr4_-_82899737_82899712_82898062_82897988_82895774_82895690_ENCSR031RRO_CTRL-1,0.046,0.0,1.0
NPM1_5_binding,NPM1,5,K562,chr4_-_82900223_82900076_82898062_82897988_82895774_82895690_ENCSR031RRO_CTRL-1,-0.021,0.0,1.0
NPM1_5_binding,NPM1,5,K562,chr9_+_97998555_97998678_98004963_98005153_98015363_98015943_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
NPM1_5_binding,NPM1,5,K562,chr9_+_98004963_98005153_98012420_98012472_98015363_98015943_ENCSR031RRO_CTRL-1,0.0,0.0,1.0
NPM1_5_binding,NPM1,5,K562,chr4_-_82900223_82900076_82899737_82899712_82895774_82893544_ENCSR620PUP_CTRL-2,0.183,0.0,0.7721773187840136
NPM1_6_binding,NPM1,6,K562,chr19_+_8471325_8471427_8473663_8473708_8474166_8474244_ENCSR031RRO_CTRL-1,-0.015,0.0,0.17937456118870454
NPM1_6_binding,NPM1,6,K562,chr19_+_8468773_8468834_8471325_8471427_8474166_8474244_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
NPM1_6_binding,NPM1,6,K562,chr19_+_8468773_8468834_8473663_8473708_8474166_8474244_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
