run_id	run_name	state	sweep_name	sweep_id	model.name	dataset.name	model.n_jobs	training.seed	model.max_depth	model.reg_alpha	model.subsample	dataset.cell_line	model.eval_metric	model.n_estimators	training.criterion	model.learning_rate	training.batch_size	training.wandb.track	dataset.target_fields	training.wandb.entity	dataset.min_read_count	training.profile.plots	training.wandb.project	model.enable_categorical	training.profile.metrics	training.wandb.save_code	dataset.three_exon_combos	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	training.data_split.test_set	training.data_split.train_set	training.wandb.save_artifacts	training.data_split.validate_set	dataset.features.binding_matrix.window	dataset.features.binding_matrix.exp_log	dataset.features.binding_matrix.flatten	dataset.features.binding_matrix.exp_norm	dataset.features.binding_matrix.binding_format	runtime.avg_nodes_per_tree	test_loss	test_mean_absolute_error	test_r2_score	test_rmse	train_loss	train_mean_absolute_error	train_r2_score	train_rmse	val_loss	val_mean_absolute_error	val_r2_score	val_rmse
1o95bl4u	glamorous-sweep-6	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	69.5	0.0001656	0.1645	0.2155	0.2772	4.726e-05	0.1331	0.3402	0.233	0.0001808	0.1529	0.2067	0.2604
5j9ipstu	brisk-sweep-1	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	81.63432835820896	5.451e-05	0.2571	0.1746	0.3328	2.081e-05	0.2372	0.2062	0.3124	6.926e-05	0.2484	0.1676	0.3229
9kh7spri	sandy-sweep-4	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	76.02307692307693	7.487e-05	0.2013	0.1953	0.3001	2.64e-05	0.1799	0.2428	0.2745	9.186e-05	0.192	0.1891	0.2883
ainnw5al	iconic-sweep-3	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	76.43609022556392	6.385e-05	0.2202	0.1897	0.312	2.319e-05	0.1989	0.2338	0.2877	8.007e-05	0.2103	0.1848	0.3003
nhhpps7z	clean-sweep-7	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	82.54961832061069	5.381e-05	0.259	0.17	0.3339	2.061e-05	0.2395	0.2015	0.3142	6.788e-05	0.2506	0.1626	0.3244
ocrtuevu	magic-sweep-5	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	75.37984496124031	0.0001023	0.1816	0.2041	0.2882	3.322e-05	0.1564	0.2745	0.2555	0.0001187	0.1708	0.1986	0.2739
wssi7pq0	dandy-sweep-2	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	76.84507042253522	5.849e-05	0.2319	0.1936	0.3184	2.128e-05	0.2088	0.2438	0.2928	7.334e-05	0.2215	0.1887	0.3064
1k2j8w0q	wandering-sweep-9	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	78.45138888888889	6.191e-05	0.2185	0.2029	0.3096	2.216e-05	0.1953	0.2581	0.2835	7.715e-05	0.2087	0.1965	0.2981
22q9uagv	earthy-sweep-17	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	73.04430379746836	9.708e-05	0.1769	0.2351	0.2833	2.878e-05	0.1446	0.3602	0.2397	0.0001112	0.1654	0.2315	0.268
2v89051b	unique-sweep-11	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	77.1076923076923	0.000101	0.1818	0.2068	0.2879	3.274e-05	0.1559	0.2788	0.2548	0.0001167	0.1709	0.1998	0.2735
