Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
DDX42_1_binding,DDX42,1,K562,chr3_+_9434333_9434485_9434589_9434630_9434823_9434882_ENCSR031RRO_CTRL-1,0.04,0.0,0.8746276586948188
DDX42_1_binding,DDX42,1,K562,chr6_+_43778171_43778536_43781955_43782087_43784540_43784562_ENCSR129RWD_CTRL-1,0.009,0.0,0.6799811503314218
DDX42_1_binding,DDX42,1,K562,chr21_-_39348577_39348544_39348451_39348421_39348339_39345145_ENCSR031RRO_CTRL-1,0.0,0.0,1.0
DDX42_1_binding,DDX42,1,K562,chr16_+_28826239_28826390_28826861_28826986_28829400_28829492_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
DDX42_1_binding,DDX42,1,K562,chr16_+_28826239_28826390_28826861_28826923_28829400_28829492_ENCSR031RRO_CTRL-1,-0.009,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr5_-_43483885_43483821_43454043_43453657_43446557_43444251_ENCSR031RRO_CTRL-1,0.052,0.0,0.9687096764170162
DDX42_2_binding,DDX42,2,K562,chr6_+_32974461_32974765_32975383_32975521_32976030_32976169_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr19_+_11089361_11089615_11100222_11100345_11102663_11102786_ENCSR031RRO_CTRL-1,-0.004,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr5_-_43483891_43483821_43454605_43454454_43454043_43453657_ENCSR092WKG_CTRL-2,-0.064,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr15_+_90912042_90912279_90912541_90912664_90912876_90912991_ENCSR031RRO_CTRL-1,0.005,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr2_+_177212562_177212871_177215749_177215896_177215977_177216188_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr15_+_90911851_90912279_90912516_90912664_90912876_90912991_ENCSR031RRO_CTRL-1,0.004,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr20_-_5610924_5610841_5604440_5604363_5598821_5598724_ENCSR129RWD_CTRL-2,0.149,0.0,0.19657893944643032
DDX42_2_binding,DDX42,2,K562,chr20_+_43458360_43458509_43459152_43459420_43459770_43459895_ENCSR031RRO_CTRL-1,0.046,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr2_+_177212562_177212871_177215538_177215661_177215749_177215896_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr2_-_96869971_96869875_96866431_96866282_96865929_96865866_ENCSR031RRO_CTRL-1,-0.027,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr5_-_43483836_43483821_43479987_43479889_43454043_43453657_ENCSR031RRO_CTRL-1,0.006,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr17_+_68035518_68035840_68037109_68037207_68037357_68037495_ENCSR143COQ_CTRL-1,0.0,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr6_+_32974461_32974765_32975020_32975112_32975383_32975521_ENCSR031RRO_CTRL-1,0.027,0.0,0.7993774706931044
DDX42_2_binding,DDX42,2,K562,chr2_-_96869971_96869875_96867926_96867777_96866431_96866282_ENCSR031RRO_CTRL-2,-0.06,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr2_-_96869971_96869875_96867923_96867777_96866431_96866282_ENCSR031RRO_CTRL-1,-0.068,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr5_-_43483836_43483821_43476258_43476113_43454043_43453657_ENCSR031RRO_CTRL-1,-0.082,0.0,1.0
DDX42_2_binding,DDX42,2,K562,chr17_+_68035734_68035840_68037079_68037207_68037357_68037495_ENCSR143COQ_CTRL-1,0.002,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr16_+_2767721_2768261_2768504_2768599_2768996_2769248_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr17_+_47974399_47974448_47975868_47976013_47976711_47976771_ENCSR031RRO_CTRL-1,0.004,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr21_-_39348991_39348902_39348577_39348544_39348339_39348291_ENCSR031RRO_CTRL-1,0.029,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr20_+_43458360_43458509_43459152_43459420_43459770_43459895_ENCSR031RRO_CTRL-1,0.046,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr3_+_9433992_9434485_9434823_9434882_9435727_9435825_ENCSR031RRO_CTRL-1,0.003,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr21_-_39348991_39348902_39348577_39348544_39348451_39348421_ENCSR031RRO_CTRL-1,0.0,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr3_-_47855360_47855247_47853352_47853162_47853039_47851093_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr3_-_47855360_47855247_47853352_47853162_47852938_47850689_ENCSR031RRO_CTRL-1,-0.001,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr17_+_47975513_47975638_47975868_47976013_47976711_47976771_ENCSR129RWD_CTRL-1,-0.001,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr4_-_24540299_24540107_24537173_24537050_24533054_24532863_ENCSR031RRO_CTRL-1,-0.002,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr16_-_88663029_88663010_88658720_88658649_88658029_88657435_ENCSR031RRO_CTRL-1,-0.0,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr11_-_126268867_126268687_126268086_126268002_126267712_126267173_ENCSR031RRO_CTRL-1,-0.01,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr17_+_47975513_47975653_47975868_47976013_47976711_47976771_ENCSR129RWD_CTRL-1,-0.0,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr21_-_39349054_39348902_39348577_39348421_39348339_39348064_ENCSR031RRO_CTRL-1,0.0,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr7_-_5530601_5530523_5529733_5529534_5529400_5529160_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr19_+_799405_799443_803560_803636_804035_804083_ENCSR031RRO_CTRL-1,0.001,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr19_+_797426_797505_803560_803636_804035_804083_ENCSR031RRO_CTRL-1,0.002,0.0,1.0
DDX42_3_binding,DDX42,3,K562,chr3_+_9434589_9434630_9434823_9434882_9435727_9435825_ENCSR129RWD_CTRL-1,0.002,0.0,1.0
DDX42_4_binding,DDX42,4,K562,chr17_-_64507530_64506754_64506259_64506075_64504842_64504676_ENCSR031RRO_CTRL-1,0.001,0.0006498625,1.0
DDX42_4_binding,DDX42,4,K562,chr10_+_68337198_68337333_68337857_68337996_68338502_68338642_ENCSR031RRO_CTRL-1,-0.001,0.1701988,1.0
DDX42_4_binding,DDX42,4,K562,chr5_-_39074389_39074328_39074158_39074110_39021136_39021038_ENCSR031RRO_CTRL-1,0.001,0.00066051586,1.0
DDX42_4_binding,DDX42,4,K562,chr7_+_139360204_139360322_139371386_139371463_139376061_139376156_ENCSR031RRO_CTRL-1,-0.003,0.00064676616,1.0
DDX42_4_binding,DDX42,4,K562,chr17_-_64507530_64506754_64506262_64506075_64504842_64504676_ENCSR031RRO_CTRL-1,0.001,0.0006498625,1.0
DDX42_5_binding,DDX42,5,K562,chr22_+_50439960_50440049_50440800_50441026_50443865_50444117_ENCSR620PUP_CTRL-2,-0.129,-0.02646074,1.0
DDX42_5_binding,DDX42,5,K562,chr22_+_50439960_50440049_50440821_50441026_50443865_50444117_ENCSR092WKG_CTRL-1,-0.03,-0.02646074,1.0
DDX42_5_binding,DDX42,5,K562,chr3_+_9429826_9430051_9433844_9433950_9434333_9434485_ENCSR032YMP_CTRL-1,-0.085,-0.04509196,0.010623331778470444
