Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
WDR43_1_binding,WDR43,1,HepG2,chr17_-_43533985_43533858_43532939_43532673_43530181_43530106_ENCSR042QTH_CTRL-1,0.01,0.49845815,1.0
WDR43_1_binding,WDR43,1,HepG2,chr2_-_27383600_27383365_27382605_27382475_27382228_27382125_ENCSR003EKR_CTRL-1,-0.003,0.49608266,1.0
WDR43_1_binding,WDR43,1,HepG2,chr8_+_144096336_144096494_144096583_144096744_144097033_144097134_ENCSR003EKR_CTRL-1,-0.0,0.49445146,1.0
WDR43_1_binding,WDR43,1,HepG2,chr17_-_43533985_43533858_43533348_43533186_43530181_43530106_ENCSR042QTH_CTRL-1,0.002,0.49844036,1.0
WDR43_1_binding,WDR43,1,HepG2,chr17_-_43533985_43533858_43533348_43533186_43532939_43532673_ENCSR003EKR_CTRL-1,0.005,0.49367574,0.5691428051545008
WDR43_1_binding,WDR43,1,HepG2,chr1_-_173865894_173865856_173865547_173865509_173865282_173865228_ENCSR003EKR_CTRL-1,0.004,0.46190014,1.0
WDR43_1_binding,WDR43,1,HepG2,chr16_+_30076314_30076475_30081199_30081310_30082483_30082534_ENCSR003EKR_CTRL-1,0.06,0.37374508,0.47103494591534784
WDR43_1_binding,WDR43,1,HepG2,chr9_+_114235598_114235652_114236980_114237034_114237661_114237715_ENCSR003EKR_CTRL-1,-0.019,0.48137313,0.4414367307500312
WDR43_1_binding,WDR43,1,HepG2,chr20_-_35721839_35721739_35716805_35716739_35714389_35714184_ENCSR003EKR_CTRL-1,0.001,0.49475804,1.0
WDR43_1_binding,WDR43,1,HepG2,chr1_-_173865894_173865856_173865547_173865470_173865282_173864256_ENCSR003EKR_CTRL-1,0.002,0.46459657,1.0
WDR43_1_binding,WDR43,1,HepG2,chr10_-_100236969_100236849_100235764_100235666_100233371_100232297_ENCSR003EKR_CTRL-1,-0.023,0.48347974,1.0
WDR43_1_binding,WDR43,1,HepG2,chr4_+_52712823_52712959_52713493_52713542_52714198_52714238_ENCSR135LXL_CTRL-1,-0.022,0.50872105,1.0
WDR43_1_binding,WDR43,1,HepG2,chr20_-_62338150_62338015_62337938_62337803_62337727_62337589_ENCSR042QTH_CTRL-1,0.011,0.49366772,1.0
WDR43_2_binding,WDR43,2,HepG2,chr1_-_19164441_19164252_19163827_19163763_19162611_19162419_ENCSR225PRV_CTRL-1,0.007,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr9_+_114288701_114288755_114288913_114288967_114290057_114290111_ENCSR603TCV_CTRL-1,-0.004,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr17_-_7179564_7179189_7178588_7178493_7177326_7177209_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr17_-_7179355_7179189_7178899_7178493_7177326_7177209_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr17_-_29167021_29165941_29137084_29137015_29122253_29122165_ENCSR042QTH_CTRL-1,-0.013,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr9_+_114288701_114288755_114289241_114289295_114290057_114290111_ENCSR067GHD_CTRL-2,-0.007,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr9_+_114288701_114288755_114288913_114288967_114289241_114289295_ENCSR042QTH_CTRL-1,-0.0,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr19_-_51353290_51353131_51350391_51350328_51345381_51345168_ENCSR042QTH_CTRL-1,0.001,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr19_-_51353290_51353131_51347058_51346899_51345381_51345168_ENCSR042QTH_CTRL-1,0.002,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr9_+_128618870_128619003_128621157_128621256_128624327_128624487_ENCSR003EKR_CTRL-1,0.006,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr2_+_101829503_101829594_101831720_101831851_101834408_101834463_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr19_-_51353290_51353131_51350391_51350328_51347058_51346899_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
WDR43_2_binding,WDR43,2,HepG2,chr19_-_51354308_51354149_51353290_51353131_51350391_51350186_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr17_-_43536479_43536425_43533985_43533858_43530181_43530106_ENCSR042QTH_CTRL-1,0.004,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr9_+_114245865_114245910_114252592_114252646_114252878_114252932_ENCSR067GHD_CTRL-1,-0.009,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr2_-_27384092_27383951_27383600_27383365_27382605_27382475_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr14_+_23644408_23644543_23644826_23644882_23645141_23645637_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr3_+_52800964_52801146_52802333_52802519_52802666_52802696_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr16_+_28835932_28836176_28836325_28836490_28836727_28837237_ENCSR135LXL_CTRL-1,-0.432,0.0,0.011668387161847074
WDR43_3_binding,WDR43,3,HepG2,chr12_+_57173167_57173350_57173779_57173980_57175459_57175705_ENCSR067GHD_CTRL-1,0.002,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr9_+_114245865_114245910_114252592_114252653_114252878_114252932_ENCSR067GHD_CTRL-2,-0.072,0.0,0.20554230810911645
WDR43_3_binding,WDR43,3,HepG2,chr1_-_39576790_39576551_39576223_39575758_39572586_39572392_ENCSR042QTH_CTRL-1,0.005,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr7_-_26195855_26195846_26193694_26193574_26193373_26193250_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr2_-_27384092_27383951_27383600_27383365_27382228_27382125_ENCSR003EKR_CTRL-1,0.008,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr17_+_82229059_82229106_82235982_82236050_82236128_82236231_ENCSR003EKR_CTRL-1,0.001,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr17_-_43536479_43536425_43533985_43533858_43533348_43533186_ENCSR003EKR_CTRL-1,-0.002,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr16_+_28835932_28836122_28836325_28836490_28836750_28837237_ENCSR042QTH_CTRL-1,-0.026,0.0,1.0
WDR43_3_binding,WDR43,3,HepG2,chr16_+_28835932_28836122_28836325_28836490_28836727_28837237_ENCSR042QTH_CTRL-1,-0.073,0.0,0.19672503969799884
WDR43_3_binding,WDR43,3,HepG2,chr10_-_100238231_100238021_100236969_100236849_100235764_100235666_ENCSR003EKR_CTRL-1,-0.001,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr4_+_1804329_1804520_1804820_1804969_1805354_1805476_ENCSR067GHD_CTRL-1,-0.003,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr14_+_23322180_23322295_23322998_23323066_23323376_23323483_ENCSR305XWT_CTRL-1,-0.001,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr20_-_62329253_62329137_62329055_62328843_62328445_62328240_ENCSR003EKR_CTRL-1,-0.004,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr14_+_21078176_21078272_21078372_21078488_21078883_21079010_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr6_+_144435934_144436138_144437564_144437746_144438744_144438895_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr3_+_58081628_58081776_58094835_58094954_58096140_58096218_ENCSR067GHD_CTRL-1,0.001,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr4_+_1804329_1804520_1804823_1804969_1805354_1805476_ENCSR067GHD_CTRL-1,-0.002,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr7_-_149028641_149028320_149021147_149020966_149019197_149018991_ENCSR042QTH_CTRL-1,-0.0,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr9_+_114264923_114264968_114265065_114265110_114265421_114265475_ENCSR067GHD_CTRL-1,-0.019,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr9_+_114231078_114231132_114231821_114231858_114235598_114235652_ENCSR003EKR_CTRL-1,-0.003,0.0,1.0
WDR43_4_binding,WDR43,4,HepG2,chr19_-_51354308_51354149_51353290_51353131_51350391_51350186_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
WDR43_5_binding,WDR43,5,HepG2,chr14_-_102086378_102086216_102086124_102085757_102085431_102085297_ENCSR042QTH_CTRL-1,-0.0,0.0,1.0
WDR43_5_binding,WDR43,5,HepG2,chr17_-_43545367_43545273_43545022_43544974_43533985_43533858_ENCSR856ZRV_CTRL-1,-0.009,0.0,1.0
WDR43_5_binding,WDR43,5,HepG2,chr14_-_102086378_102086216_102086124_102085964_102085431_102085297_ENCSR042QTH_CTRL-1,-0.002,0.0,1.0
WDR43_5_binding,WDR43,5,HepG2,chr17_-_43545022_43544974_43536479_43536425_43533985_43533858_ENCSR042QTH_CTRL-1,0.0,0.0,1.0
