Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
EIF4E_1_binding,EIF4E,1,K562,chr9_+_4792868_4793227_4826857_4827033_4833153_4833228_ENCSR031RRO_CTRL-1,0.012,-0.17603259,1.0
EIF4E_1_binding,EIF4E,1,K562,chr19_+_58544468_58545097_58545424_58545537_58545763_58545896_ENCSR031RRO_CTRL-1,0.002,-0.14951012,1.0
EIF4E_1_binding,EIF4E,1,K562,chr9_+_97501638_97501803_97524140_97524308_97546184_97546341_ENCSR031RRO_CTRL-1,-0.015,-0.15326154,1.0
EIF4E_1_binding,EIF4E,1,K562,chr1_-_154220533_154220341_154213946_154213892_154212624_154212457_ENCSR031RRO_CTRL-1,0.002,-0.16810033,1.0
EIF4E_1_binding,EIF4E,1,K562,chr6_+_34236872_34236963_34237203_34237317_34240736_34240882_ENCSR031RRO_CTRL-1,0.029,-0.18704437,1.0
EIF4E_1_binding,EIF4E,1,K562,chr16_-_18789118_18788980_18788142_18788062_18784823_18784020_ENCSR031RRO_CTRL-1,-0.0,-0.1321362,1.0
EIF4E_1_binding,EIF4E,1,K562,chr7_+_77537553_77537645_77563935_77564195_77571077_77571186_ENCSR031RRO_CTRL-1,-0.003,-0.3349316,1.0
EIF4E_1_binding,EIF4E,1,K562,chr1_-_110407664_110407585_110406379_110406317_110404036_110403608_ENCSR031RRO_CTRL-1,-0.002,-0.18680584,1.0
EIF4E_1_binding,EIF4E,1,K562,chr2_+_101697702_101698137_101698472_101698538_101790719_101790776_ENCSR032YMP_CTRL-1,-0.002,-0.14359556,1.0
EIF4E_1_binding,EIF4E,1,K562,chr17_+_58083414_58083683_58087081_58087222_58089141_58095536_ENCSR031RRO_CTRL-1,0.047,-0.18022652,0.003097784758512272
EIF4E_1_binding,EIF4E,1,K562,chr19_+_18571874_18571909_18572350_18572607_18573292_18573403_ENCSR031RRO_CTRL-1,-0.006,-0.22084615,0.6622984545411201
