Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
FXR2_1_binding,FXR2,1,K562,chr7_-_26192577_26192494_26191128_26190992_26190460_26190124_ENCSR031RRO_CTRL-1,-0.106,0.011230986,1.0
FXR2_1_binding,FXR2,1,K562,chr11_-_86068733_86068650_86031611_86031468_86022469_86022366_ENCSR031RRO_CTRL-1,-0.014,0.0028453055,1.0
FXR2_1_binding,FXR2,1,K562,chr1_+_24660718_24660799_24661309_24661396_24662659_24662804_ENCSR031RRO_CTRL-1,0.002,-0.0007353874,1.0
FXR2_1_binding,FXR2,1,K562,chr11_+_67180078_67180217_67181319_67181398_67181845_67181892_ENCSR031RRO_CTRL-1,-0.008,0.003011079,1.0
FXR2_1_binding,FXR2,1,K562,chr10_+_100348063_100348346_100352365_100352496_100354426_100354632_ENCSR031RRO_CTRL-1,0.0,0.0076879365,1.0
FXR2_1_binding,FXR2,1,K562,chr17_+_50746541_50746702_50749218_50749344_50750500_50750550_ENCSR031RRO_CTRL-1,-0.018,-0.00011337017,0.46691609820784463
FXR2_1_binding,FXR2,1,K562,chr2_+_26792130_26792240_26792501_26792833_26793144_26793326_ENCSR031RRO_CTRL-1,0.186,0.0031002515,0.02960198170072915
FXR2_1_binding,FXR2,1,K562,chr16_+_4847630_4848210_4852878_4853166_4857989_4858076_ENCSR031RRO_CTRL-1,0.047,0.00394984,0.13854317658429716
FXR2_1_binding,FXR2,1,K562,chr16_-_8963422_8963206_8930397_8930292_8923413_8923214_ENCSR031RRO_CTRL-1,0.003,0.004176398,1.0
FXR2_1_binding,FXR2,1,K562,chr6_-_36986125_36985852_36981672_36981587_36978611_36978504_ENCSR031RRO_CTRL-1,-0.098,0.0033422508,0.9011262335761642
FXR2_1_binding,FXR2,1,K562,chr1_-_6602869_6601796_6599452_6599046_6595557_6590723_ENCSR031RRO_CTRL-1,0.031,0.004900914,1.0
FXR2_1_binding,FXR2,1,K562,chr20_-_50930990_50930825_50928825_50928650_50904001_50903888_ENCSR031RRO_CTRL-1,0.115,0.0029018393,0.4584585463007154
FXR2_1_binding,FXR2,1,K562,chr1_-_1825499_1825396_1817875_1817836_1815862_1815755_ENCSR031RRO_CTRL-1,-0.027,0.008380637,0.19810884531816447
FXR2_1_binding,FXR2,1,K562,chr17_-_78121164_78121012_78120832_78120652_78119392_78119296_ENCSR031RRO_CTRL-1,0.084,0.005346558,0.054824419320516564
FXR2_1_binding,FXR2,1,K562,chr16_-_28846106_28845911_28845480_28845313_28845055_28844950_ENCSR031RRO_CTRL-1,0.001,-0.004039916,1.0
FXR2_1_binding,FXR2,1,K562,chr10_-_117375467_117374355_117341102_117340979_117318974_117318871_ENCSR031RRO_CTRL-1,0.063,0.0027888033,0.2718915764465298
FXR2_1_binding,FXR2,1,K562,chr11_-_61314210_61314046_61313969_61313861_61313706_61313498_ENCSR031RRO_CTRL-1,-0.014,0.0048342566,1.0
FXR2_1_binding,FXR2,1,K562,chr7_+_157138912_157139338_157163809_157163863_157170303_157170450_ENCSR031RRO_CTRL-1,0.028,0.0044689616,1.0
FXR2_1_binding,FXR2,1,K562,chr11_+_32583837_32583929_32587045_32587144_32588593_32588732_ENCSR031RRO_CTRL-1,0.014,0.003093957,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_11034913_11035132_11039457_11039553_11041306_11041560_ENCSR031RRO_CTRL-1,0.013,-0.0018340684,1.0
FXR2_1_binding,FXR2,1,K562,chr4_+_1935143_1935262_1938450_1938532_1939653_1939778_ENCSR031RRO_CTRL-1,-0.005,-0.0019894564,1.0
FXR2_1_binding,FXR2,1,K562,chr11_-_86068733_86068650_86022469_86022366_86014963_86014869_ENCSR031RRO_CTRL-1,-0.002,0.0046461523,1.0
FXR2_1_binding,FXR2,1,K562,chr16_-_28211869_28211365_28181031_28180940_28176095_28175897_ENCSR031RRO_CTRL-1,0.101,0.0053351624,0.4678074641747648
FXR2_1_binding,FXR2,1,K562,chr17_-_1684582_1684471_1683701_1683532_1682293_1682128_ENCSR129RWD_CTRL-1,0.008,0.0010506886,1.0
FXR2_1_binding,FXR2,1,K562,chr11_-_86068733_86068650_86026367_86026291_86022469_86022366_ENCSR031RRO_CTRL-1,-0.001,0.0031064772,1.0
FXR2_1_binding,FXR2,1,K562,chr5_-_141572040_141571925_141571436_141571427_141534433_141534334_ENCSR031RRO_CTRL-1,0.036,0.0100387335,1.0
FXR2_1_binding,FXR2,1,K562,chr11_-_61333008_61332907_61331691_61331542_61330074_61329956_ENCSR084SCN_CTRL-1,0.012,0.003975112,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_63635835_63636150_63646618_63646795_63679999_63680161_ENCSR031RRO_CTRL-1,-0.119,0.0008633525,0.7550481700819033
FXR2_1_binding,FXR2,1,K562,chr2_+_26792130_26792240_26792755_26792833_26793144_26793326_ENCSR031RRO_CTRL-1,0.13,0.0031002515,0.038218439791764404
FXR2_1_binding,FXR2,1,K562,chr8_-_102412689_102412172_102361626_102361581_102361206_102361124_ENCSR031RRO_CTRL-1,0.016,0.0023185678,1.0
FXR2_1_binding,FXR2,1,K562,chr7_+_151059569_151059762_151061924_151062038_151064201_151064367_ENCSR031RRO_CTRL-1,0.055,0.00045742848,0.43098913060882094
FXR2_1_binding,FXR2,1,K562,chr6_+_24781476_24781621_24784086_24784169_24784443_24784554_ENCSR031RRO_CTRL-1,0.001,0.006520537,1.0
FXR2_1_binding,FXR2,1,K562,chr12_+_53455346_53455370_53455460_53455493_53455884_53455950_ENCSR031RRO_CTRL-1,-0.0,-0.0009841047,1.0
FXR2_1_binding,FXR2,1,K562,chr6_+_2999988_3000085_3004494_3004651_3006467_3006559_ENCSR031RRO_CTRL-1,0.029,0.0040473794,0.4597260566324668
FXR2_1_binding,FXR2,1,K562,chr10_-_32040457_32040383_32039431_32039326_32037607_32037519_ENCSR129RWD_CTRL-1,0.02,0.004647179,1.0
FXR2_1_binding,FXR2,1,K562,chr8_-_143809025_143808608_143807614_143807551_143807013_143806923_ENCSR031RRO_CTRL-1,0.036,-0.005945711,0.5334121255882132
FXR2_1_binding,FXR2,1,K562,chr3_-_196503677_196502872_196487578_196487398_196483891_196483769_ENCSR031RRO_CTRL-1,0.032,0.0024166456,1.0
FXR2_1_binding,FXR2,1,K562,chr6_-_31649395_31649198_31648964_31648910_31648751_31648676_ENCSR031RRO_CTRL-1,0.004,0.001321051,1.0
FXR2_1_binding,FXR2,1,K562,chr6_-_135054800_135054648_135050647_135050581_135039767_135039572_ENCSR031RRO_CTRL-1,0.028,0.009541297,1.0
FXR2_1_binding,FXR2,1,K562,chr9_+_33817566_33817934_33886880_33886967_33900173_33900271_ENCSR031RRO_CTRL-1,0.0,0.00825499,1.0
FXR2_1_binding,FXR2,1,K562,chr1_-_19150793_19150576_19149795_19149762_19148626_19148562_ENCSR031RRO_CTRL-1,-0.028,0.0037443326,0.24391388532384484
FXR2_1_binding,FXR2,1,K562,chr7_-_5529400_5529160_5529059_5529018_5528719_5528280_ENCSR031RRO_CTRL-1,0.002,0.009448758,1.0
FXR2_1_binding,FXR2,1,K562,chr3_+_47825027_47825247_47827346_47827477_47829023_47829134_ENCSR031RRO_CTRL-1,-0.004,0.007175339,1.0
FXR2_1_binding,FXR2,1,K562,chr19_+_10718078_10718403_10759737_10759811_10772478_10772628_ENCSR032YMP_CTRL-1,0.012,0.00263902,1.0
FXR2_1_binding,FXR2,1,K562,chr3_+_49676055_49676219_49676377_49676515_49676608_49676700_ENCSR031RRO_CTRL-1,0.004,0.002560336,1.0
FXR2_1_binding,FXR2,1,K562,chr1_+_236795280_236795737_236803427_236803642_236806143_236806233_ENCSR031RRO_CTRL-1,0.051,0.0030559816,1.0
FXR2_1_binding,FXR2,1,K562,chr11_+_76453313_76453388_76454748_76454790_76458182_76458358_ENCSR031RRO_CTRL-1,-0.237,0.0031477094,0.005227697543115061
FXR2_1_binding,FXR2,1,K562,chr1_-_19126655_19126445_19125699_19125602_19124690_19124476_ENCSR031RRO_CTRL-1,0.003,0.0024388437,1.0
FXR2_1_binding,FXR2,1,K562,chr17_-_41898785_41898630_41897839_41897748_41893174_41893032_ENCSR031RRO_CTRL-1,-0.007,0.0033894095,1.0
FXR2_1_binding,FXR2,1,K562,chr7_+_2354865_2355420_2360709_2360902_2362644_2362764_ENCSR031RRO_CTRL-1,-0.003,-0.004337576,1.0
FXR2_1_binding,FXR2,1,K562,chr19_-_5219467_5219309_5218798_5218786_5218532_5218419_ENCSR031RRO_CTRL-1,-0.01,0.0082827015,1.0
FXR2_1_binding,FXR2,1,K562,chr9_-_111414651_111414428_111413986_111413894_111412148_111412013_ENCSR174OYC_CTRL-1,0.004,0.004551597,1.0
